data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Mozambique,Mozambique,Q1029,0,0,1,country in Southeastern Africa; the current form of Mozambique since 1975,Moçambique|República de Moçambique|mz|Republic of Mozambique,Q7270|Q3624078|Q6256,,Mozambique
Mozambique,Portuguese Mozambique,Q889394,0,0,1,1498–1975 Portuguese possession in East Africa,Portuguese East Africa|África Oriental Portuguesa|State of East Africa|Overseas Province of Mozambique|Africa Oriental Portuguesa|Mozambique,Q133156|Q333542|Q11514315|Q333542|Q200464,,Portuguese Mozambique
Mozambique,Mozambique,Q139808514,0,0,1,,,Q571,,
Mozambique,FRELIMO,Q504564,0,0,1,ruling party of Mozambique since 1977,Mozambique Liberation Front|Liberation Front of Mozambique|Mozambican Liberation Front|(Partido Frelimo),Q7278,,FRELIMO
Mozambique,Oreochromis mossambicus,Q1348685,0,0,1,species of fish,Mozambique tilapia|black tilapia,Q16521,,Mozambique tilapia
Mozambique,Mozambique,Q5793520,0,0,1,song by Bob Dylan,,Q134556,,Mozambique (song)
Mozambique,Mozambique Channel,Q165100,0,0,1,arm of the Indian Ocean located between the Southeast African countries of Madagascar and Mozambique,,Q37901,,Mozambique Channel
Mozambique,Mozambique,Q114479073,0,0,1,episode of Southland (S1 E2),,Q21191270,,
Mozambique,Mozambique,Q2720293,0,0,1,"style of vigorous music, developed by Pello el Afrokan (Pedro Izquierdo) in Cuba in 1963, and subsequently adapted by Eddie Palmieri in New York in the 1960s in a quite different form",,Q188451,Q1544863,Mozambique (music)
Mozambique,Mozambique,Q12126300,0,0,1,1965 film by Robert Lynn,,Q11424,,Mozambique (film)
Mozambique,Africa,Q15,0,0,2,continent,African continent,Q5107|Q2221906|Q82794,,Africa
Mozambique,Africa: Journal of the International African Institute,Q4689536,0,0,2,academic journal,Africa : journal of the International African Institute|Africa: The Journal of the International African Institute|Africa,Q5633421|Q1002697,,Africa (journal)
Mozambique,Africa,Q6172568,0,0,2,female given name,,Q11879590,,
Mozambique,Africa,Q109569182,0,0,2,vocal track by Toto; 1982 studio recording,,Q55850593,,
Mozambique,Africa,Q16159116,0,0,2,family name,,Q101352,,Africa (surname)
Mozambique,Africa,Q109569601,0,0,2,"1982 official music video by Toto, directed by Steve Barron",,Q193977,,
Mozambique,African Plant Database,Q20862705,0,0,2,,,Q7094076|Q4117139,,
Mozambique,Database of Cabinet Politics in Sub-Sahara Africa,Q96743901,0,0,2,database of Ministers who served in countries located in Sub-Sahara Africa,African Cabinet Politics - Data Repository,Q8513,,
Mozambique,African Studies,Q4689921,0,0,2,academic journal,,Q5633421,,African Studies (journal)
Mozambique,Africa,Q113568798,0,0,2,troopship of the Portuguese Navy,,Q12859788|Q671079,,
Mozambique Channel,Mozambique Channel,Q165100,0,1,1,arm of the Indian Ocean located between the Southeast African countries of Madagascar and Mozambique,,Q37901,,Mozambique Channel
Mozambique Channel,Mozambique,Q1029,0,1,2,country in Southeastern Africa; the current form of Mozambique since 1975,Moçambique|República de Moçambique|mz|Republic of Mozambique,Q7270|Q3624078|Q6256,,Mozambique
Mozambique Channel,Portuguese Mozambique,Q889394,0,1,2,1498–1975 Portuguese possession in East Africa,Portuguese East Africa|África Oriental Portuguesa|State of East Africa|Overseas Province of Mozambique|Africa Oriental Portuguesa|Mozambique,Q133156|Q333542|Q11514315|Q333542|Q200464,,Portuguese Mozambique
Mozambique Channel,Mozambique,Q139808514,0,1,2,,,Q571,,
