data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
HD 109764,HD 109764,Q12064634,0,0,1,star,,Q67206691|Q2247863,,
HD 109764,star,Q523,0,0,2,astronomical object consisting of a luminous spheroid of plasma held together by its own gravity,celestial star|stars|celestial stars|the stars|stellar,Q17444909,Q6999|Q1027098|Q1146001,Star
HD 109764,Star Trek,Q1092,0,0,2,science fiction media franchise,Star Trek franchise|StarTrek,Q196600,,Star Trek
HD 109764,Star,Q37529922,0,0,2,family name,,Q101352,,
HD 109764,Star Wars,Q462,0,0,2,epic space opera multimedia franchise created by George Lucas,,Q196600|Q431289|Q130371093,,Star Wars
HD 109764,Star,Q381936,0,0,2,international racing sailing class,,Q106179098|Q3511280,Q474161,Star (keelboat)
HD 109764,celebrity,Q211236,0,0,2,prominent person who commands some degree of public fascination and appears in the media,famous person|prominent person|famous persons|celebrities|public figures|star|icon,Q12737077|Q214339,Q215627,Celebrity
HD 109764,STAR,Q3480422,0,0,2,"public transport network in Rennes, France",,Q18325841,,
HD 109764,Starnberg,Q61936,0,0,2,"city in Bavaria, Germany",,Q134626|Q42744322,,Starnberg
HD 109764,Star TV,Q2067812,0,0,2,Turkey-based cable television channel,Magic Box|Star Magic Box,Q1616075,,Star TV (Turkey)
HD 109764,Starz Entertainment,Q515869,0,0,2,Canadian-American entertainment company,Lions Gate Entertainment Corporation|Lionsgate,Q891723|Q4830453|Q6881511,,Starz Entertainment
HD 109764,astronomical object,Q6999,0,0,2,"physical body of astronomically-significant size, mass, or role, naturally occurring in a universe",celestial body|celestial object|astronomical body|astronomical objects|celestial bodies|celestial objects|astronomical bodies|object|stellar body|stellar object,Q96251598,Q223557|Q16686022|Q4235019,Astronomical object
HD 109764,STELLAR OBJECTS SEEN DURING THE ECLIPSE OF 1869,Q60107300,0,0,2,scientific article published in Nature,,Q13442814,,
Delta Pavonis,Delta Pavonis,Q629637,1,0,1,star in the constellation Pavo,δ Pavonis|δ Pav|GJ 780|LFT 1520|LPM 722|LTT 7946|SPOCS 876|HD 190248|PLX 4754|NLTT 48721|NSV 12790|PPM 364428|SAO 254733|HR 7665|GALAH 140713003901146|LHS 485|CSV 8399|GC 27886|GCRV 12460|Zkh 300,Q6243|Q2154519|Q2247863|Q71798788|Q67206785|Q523|Q6227|Q112881|Q66521853,,Delta Pavonis
Delta Pavonis,Delta Pavonis,Q97488616,1,0,1,Delta Pavonis [and optionally any hypothetical planetary system it might have] as depicted in fiction,,Q3972970,,
Delta Pavonis,Peacock,Q14240,1,0,2,star in the southern constellation Pavo,Alpha Pavonis|α Pavonis|α Pav|ALS 16177|HIC 100751|HIP 100751|SACS 447|ROT 2969|PPM 348537|HD 193924|HR 7790|GC 28374|GCRV 12742|SAO 246574,Q1547772|Q1993624|Q67206691|Q13890|Q67206785|Q353834|Q71798788|Q523,,Alpha Pavonis
Delta Pavonis,Beta Pavonis,Q2758200,1,0,2,star in the constellation Pavo,β Pav|β Pavonis|HD 197051|HR 7913|HIP 102395|HIC 102395|GC 28862|GCRV 12981|PLX 4930|SAO 254862|ROT 3016|PPM 364757,Q523|Q67206691|Q67206785|Q71798788,,Beta Pavonis
HD 46431,SX Columbae,Q10940939,2,0,1,star in the constellation Columba,,Q6243|Q67206691|Q67206785|Q2247863,,
HD 86147,HD 86147,Q66492288,3,0,1,,,Q67206691|Q2247863,,
HD 86147,star,Q523,3,0,2,astronomical object consisting of a luminous spheroid of plasma held together by its own gravity,celestial star|stars|celestial stars|the stars|stellar,Q17444909,Q6999|Q1027098|Q1146001,Star
HD 86147,Star Trek,Q1092,3,0,2,science fiction media franchise,Star Trek franchise|StarTrek,Q196600,,Star Trek
HD 86147,Star,Q37529922,3,0,2,family name,,Q101352,,
HD 86147,Star Wars,Q462,3,0,2,epic space opera multimedia franchise created by George Lucas,,Q196600|Q431289|Q130371093,,Star Wars
HD 86147,Star,Q381936,3,0,2,international racing sailing class,,Q106179098|Q3511280,Q474161,Star (keelboat)
HD 86147,celebrity,Q211236,3,0,2,prominent person who commands some degree of public fascination and appears in the media,famous person|prominent person|famous persons|celebrities|public figures|star|icon,Q12737077|Q214339,Q215627,Celebrity
HD 86147,STAR,Q3480422,3,0,2,"public transport network in Rennes, France",,Q18325841,,
HD 86147,Starnberg,Q61936,3,0,2,"city in Bavaria, Germany",,Q134626|Q42744322,,Starnberg
HD 86147,Star TV,Q2067812,3,0,2,Turkey-based cable television channel,Magic Box|Star Magic Box,Q1616075,,Star TV (Turkey)
HD 86147,Starz Entertainment,Q515869,3,0,2,Canadian-American entertainment company,Lions Gate Entertainment Corporation|Lionsgate,Q891723|Q4830453|Q6881511,,Starz Entertainment
HD 86147,planetary system,Q206717,3,0,2,set of non-stellar objects in orbit around a star,star system|sun system|planet system,Q17444909,Q15053549,Planetary system
HD 86147,star system,Q595871,3,0,2,"type of astronomical object, stars which orbit each other",stellar system|multiple star|multiple stars|multiple star system|sun system,Q17444909,Q15053549|Q6999,Star system
HD 86147,star system,Q2333293,3,0,2,"creating, promoting and exploiting stars in Hollywood films",star machine,Q58778,Q580995,Star system (filmmaking)
HD 86147,STAR System World Kickboxing Ratings,Q7394680,3,0,2,"the premier rating service for international kickboxing,",,Q43229,,STAR System World Kickboxing Ratings
HD 86147,Star System Tenopia,Q135106451,3,0,2,novel by Richard Brightfield,,Q7725634,,
HD 86147,Star Systems,Q130379854,3,0,2,"Artists' loft, studio and performing arts space in Boston's South End",24 Thayer|Star Systems loft,Q746628|Q8719053|Q699405,,
HD 86147,Star system,Q106848031,3,0,2,episode of Le Jour où tout a basculé,,Q21191270,,
HD 86147,STAR,Q7394670,3,0,2,interbank network,,Q4830453,,STAR (interbank network)
HD 86147,Star system,Q113173696,3,0,2,,,Q215380,,
HD 86147,How to Lose Friends & Alienate People,Q770158,3,0,2,2008 film by Robert B. Weide,,Q11424,,How to Lose Friends & Alienate People (film)
Gliese 93,Gliese 93,Q15875770,4,0,1,star,,Q13890|Q67206691|Q2247863,,
HD 203607,HD 203607,Q3780744,5,0,1,star,,Q67206691|Q2247863,,
HD 203607,star,Q523,5,0,2,astronomical object consisting of a luminous spheroid of plasma held together by its own gravity,celestial star|stars|celestial stars|the stars|stellar,Q17444909,Q6999|Q1027098|Q1146001,Star
HD 203607,Star Trek,Q1092,5,0,2,science fiction media franchise,Star Trek franchise|StarTrek,Q196600,,Star Trek
HD 203607,Star,Q37529922,5,0,2,family name,,Q101352,,
HD 203607,Star Wars,Q462,5,0,2,epic space opera multimedia franchise created by George Lucas,,Q196600|Q431289|Q130371093,,Star Wars
HD 203607,Star,Q381936,5,0,2,international racing sailing class,,Q106179098|Q3511280,Q474161,Star (keelboat)
HD 203607,celebrity,Q211236,5,0,2,prominent person who commands some degree of public fascination and appears in the media,famous person|prominent person|famous persons|celebrities|public figures|star|icon,Q12737077|Q214339,Q215627,Celebrity
HD 203607,STAR,Q3480422,5,0,2,"public transport network in Rennes, France",,Q18325841,,
HD 203607,Starnberg,Q61936,5,0,2,"city in Bavaria, Germany",,Q134626|Q42744322,,Starnberg
HD 203607,Star TV,Q2067812,5,0,2,Turkey-based cable television channel,Magic Box|Star Magic Box,Q1616075,,Star TV (Turkey)
HD 203607,Starz Entertainment,Q515869,5,0,2,Canadian-American entertainment company,Lions Gate Entertainment Corporation|Lionsgate,Q891723|Q4830453|Q6881511,,Starz Entertainment
HD 203607,astronomical object,Q6999,5,0,2,"physical body of astronomically-significant size, mass, or role, naturally occurring in a universe",celestial body|celestial object|astronomical body|astronomical objects|celestial bodies|celestial objects|astronomical bodies|object|stellar body|stellar object,Q96251598,Q223557|Q16686022|Q4235019,Astronomical object
