data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Agra Municipal Corporation,Agra Municipal Corporation,Q24940201,0,0,1,"local civic body in Agra, Uttar Pradesh, India",,Q6936225,,Agra Municipal Corporation
Agra Municipal Corporation,Agra Municipal Corporation area,Q58954344,0,0,1,area of jurisdiction of Agra Municipal Corporation,,Q58953536,,
Mangalore City Corporation,Mangalore City Corporation,Q17071753,1,0,1,organization,,Q6936225,,Mangaluru City Corporation
Mangalore City Corporation,Mangalore City Corporation area,Q58954754,1,0,1,area of jurisdiction of Mangalore city Corporation,,Q58953536,,
Haldwani Municipal Corporation,Haldwani Municipal Corporation,Q29025597,2,0,1,civic body that governs the city of Haldwani,,Q6936225,,Haldwani Municipal Corporation
Haldwani Municipal Corporation,Haldwani,Q1707839,2,0,2,city,,Q515,,Haldwani
Haldwani Municipal Corporation,Haldwania,Q18521213,2,0,2,genus of insects,,Q16521,,
Haldwani Municipal Corporation,Haldwani railway station,Q24947837,2,0,2,Indian railway station,,Q55488|Q22808404,,Haldwani railway station
Haldwani Municipal Corporation,Haldwania liliputana,Q10516176,2,0,2,species of insect,,Q16521,,
Haldwani Municipal Corporation,Haldwani Vidhan Sabha constituency,Q16271568,2,0,2,constituency of the Uttarakhand legislative assembly in India,Haldwani Legislative Assembly constituency,Q54375527,,Haldwani Assembly constituency
Haldwani Municipal Corporation,Haldwani tehsil,Q123260069,2,0,2,"tehsil in Nainital district of Uttarakhand, India",,Q122987741,,
Haldwani Municipal Corporation,Haldwania Tamanini (1955),Q21439258,2,0,2,later homonym (do not use),,Q17276484|Q1262432,,
Haldwani Municipal Corporation,Haldwani Talli,Q108114535,2,0,2,"city in Uttarakhand, India",,Q515,,
Haldwani Municipal Corporation,Haldwani head post office,Q64213457,2,0,2,,,Q61443591,,
Rajkot Municipal Corporation,Rajkot Municipal Corporation,Q7286279,3,0,1,municipal corporation in India,RMC,Q6936225,,Rajkot Municipal Corporation
Rajkot Municipal Corporation,Rajkot Municipal Corporation area,Q58954841,3,0,1,area of jurisdiction of Rajkot Municipal Corporation,,Q58953536,,
Rajkot Municipal Corporation,Rajkot Municipal Corporation Sub Post Office,Q69676352,3,0,1,,,Q61443650,,
Uttarpara Kotrung Municipality,Uttarpara Kotrung Municipality,Q39054034,4,0,1,"Municipal Corporation in West Bengal, India",Uttarpara Kotrung Municipal Corporation,Q6936225,,Uttarpara Kotrung Municipality
Uttarpara Kotrung Municipality,Uttarpara Kotrung,Q2317215,4,0,2,"City in West Bengal, India",Uttarpara,Q18918041|Q1549591,,Uttarpara
Nagar Parishad Alwar,Nagar Parishad Alwar,Q58942504,5,0,1,,,Q6936225,,
Nagar Parishad Alwar,Nagar Parishad Alwar area,Q58954373,5,0,1,area of jurisdiction of Nagar Parishad Alwar,,Q58953536,,
Imphal Municipal Corporation,Imphal Municipal Corporation,Q58942662,6,0,1,"local civic body in Imphal, Manipur, India",,Q6936225,,Imphal Municipal Corporation
Imphal Municipal Corporation,Imphal Municipal Corporation area,Q58954621,6,0,1,area of jurisdiction of Imphal Municipal Corporation,,Q58953536,,
Palampur Municipal Corporation,Palampur Municipal Corporation,Q111181388,7,0,1,"is the municipal corporation of Palampur District Kangra in Himachal Pradesh, and is the chief nodal agency for the administration of the city",,Q6936225,,Palampur Municipal Corporation
