data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Lotts Creek Township,Lotts Creek Township,Q9041767,0,0,1,"township in Kossuth County, Iowa","Lotts Creek Township, Kossuth County, Iowa",Q17205621,,"Lotts Creek Township, Kossuth County, Iowa"
Lotts Creek Township,Lotts Creek Township,Q10787063,0,0,1,"township in Ringgold County, Iowa","Lotts Creek Township, Ringgold County, Iowa",Q17205621|Q1394476,,"Lotts Creek Township, Ringgold County, Iowa"
Lotts Creek Township,Lotts Creek Township,Q1795529,0,0,1,Wikimedia disambiguation page,,Q4167410,,Lotts Creek Township
Lotts Creek Township,Lotts Creek,Q28120662,0,0,2,"stream in northern Missouri and southern Iowa, United States of America",,Q47521,,Lotts Creek (East Fork Grand River tributary)
Lotts Creek Township,Lotts Creek,Q35378677,0,0,2,"stream in Bulloch County, Georgia, United States of America",,Q47521,,
Lotts Creek Township,Lotts Creek,Q35378703,0,0,2,"stream in Wheeler County, United States of America - Geonames ID = 4206858",,Q47521,,
Lotts Creek Township,Lotts Creek,Q35378743,0,0,2,"stream in Pearl River County, Mississippi, United States of America",,Q47521,,
Lotts Creek Township,Lotts Creek,Q35378775,0,0,2,"stream in Aiken County, South Carolina, United States of America",,Q47521,,
Lotts Creek Township,Lotts Creek,Q35378729,0,0,2,"stream in Forrest County, Mississippi, United States of America",,Q47521,,
Lotts Creek Township,Lotts Creek,Q35378716,0,0,2,"stream in northern Iowa, United States",,Q47521,,
Lotts Creek Township,Lotts Creek,Q35378690,0,0,2,"stream in Wheeler County, Georgia, United States of America",,Q47521,,
West Point Township,West Point Township,Q9046238,1,0,1,"township in Lee County, Iowa","West Point Township, Lee County, Iowa",Q17205621,,"West Point Township, Lee County, Iowa"
West Point Township,West Point Township,Q7986268,1,0,1,township in Missouri,,Q6270791,,"West Point Township, Bates County, Missouri"
West Point Township,West Point Township,Q6032476,1,0,1,"township in Brule County, South Dakota",,Q28111,,
West Point Township,West Point Township,Q987728,1,0,1,township of Illinois,,Q17198545,,"West Point Township, Illinois"
West Point Township,West Point Township,Q965317,1,0,1,"township in Butler County, Iowa, United States",,Q17205621,,"West Point Township, Butler County, Iowa"
West Point Township,West Point Township,Q7986271,1,0,1,"township in White County, Indiana",,Q17201685,,"West Point Township, White County, Indiana"
West Point Township,West Point Township,Q2564322,1,0,1,Wikimedia disambiguation page,,Q4167410,,West Point Township
West Point Township,West Point,Q679753,1,0,2,census-designated place in the U.S. state of New York,"West Point, New York|West Point, NY",Q498162,,"West Point, New York"
West Point Township,United States Military Academy,Q9219,1,0,2,"federal service academy in West Point, New York, United States",USMA|West Point|US Military Academy|Army|The Academy|The Point|West Point Army|U.S. Military Academy at West Point|United States Military Academy at West Point|South Hudson Institute of Technology,Q917182|Q2772772|Q23002039|Q127701543,,United States Military Academy
West Point Township,West Point,Q1994673,1,0,2,"city in Clay County, Mississippi, United States of America","West Point, Mississippi|West Point, MS",Q1093829|Q62049,,"West Point, Mississippi"
