data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Faust,Faust,Q1398543,0,0,1,family name,,Q101352,,Faust (surname)
Faust,Faust,Q332885,0,0,1,protagonist of a classic German legend,Doctor Faustus|Faustus,Q15632617|Q13002315|Q3658341|Q50386450|Q63975020|Q25810847|Q3375722,,Faust
Faust,Faust,Q679697,0,0,1,German krautrock band,,Q215380,,Faust (band)
Faust,Faust,Q54459971,0,0,1,1965 Czech book edition,,Q3331189,,
Faust,Faust,Q4038661,0,0,1,1999 video game,Faust: The Seven Games of the Soul|Seven Games of the Soul,Q7889,,Faust (video game)
Faust,Faust,Q3067448,0,0,1,1998 video game,,Q7889,,
Faust,Faust,Q3740292,0,0,1,1971 debut album of German krautrock group Faust,,Q482994,,Faust (album)
Faust,A catalog of far-ultraviolet point sources detected with the FAUST telescope on Atlas-1,Q68124363,0,0,1,scientific article published in 1995,FAUST|1995ApJS...96..461B,Q13442814|Q605175,,
Faust,Fausto,Q18176338,0,0,1,male given name,Fausto (given name)|Fausto (first name),Q12308941,,
Faust,Faust,Q29478,0,0,1,play by Johann Wolfgang von Goethe,Johann Wolfgang von Goethe's Faust,Q7725634|Q7725310,,Goethe's Faust
Faust,Franz von Sickingen,Q143108,0,0,2,knight of the Holy Roman Empire (1481−1523),Franz v. Sickingen,Q5,,Franz von Sickingen
Faust,Franz von Sickingen,Q94887852,0,0,2,,,Q5,,
Faust,Franz von Sickingen,Q94848355,0,0,2,,,Q5,,
Faust,Franz von Sickingen,Q94408265,0,0,2,,,Q5,,
Faust,"Franz von Sickingen, a Historical Tragedy",Q56448902,0,0,2,1859 play written by Ferdinand Lassall,,Q7725634,,
Faust,Johann Faustus,Q1507445,0,0,2,libretto by Hanns Eisler,,Q58483083,,
Faust,Johann Fust,Q64390,0,0,2,German printer (1400–1466),Johannes Fust|Johann Faust|Johannes Faust|W Fust,Q5,,Johann Fust
Faust,Johann Georg Faust,Q76918,0,0,2,"German Renaissance alchemist, astrologer, and magician",John Faustus,Q5,,Johann Georg Faust
Czech Republic,Czech Republic,Q213,0,1,1,country in Central Europe,Czechia,Q6256|Q3624078|Q123480|Q7270|Q127693126,,Czech Republic
Czech Republic,Czech Republic,Q5201764,0,1,1,constituency of the European Parliament,,Q2631496,,Czech Republic (European Parliament constituency)
Czech Republic,Czech Republic,Q3496079,0,1,1,member state of the Czech and Slovak Federal Republic (1990–1992),,Q56219758,,
Czech Republic,Czechia men's national football team,Q483868,0,1,1,men's national association football team representing Czechia,Czech Republic national football team|Czech national football team|Czechia national team|National team of Czechia|Czechia NT|Czechia N.T.|Czechia national football team,Q135408445,Q1194951,Czech Republic national football team
Czech Republic,Czech Republic national under-21 football team,Q1464421,0,1,1,national under-21 association football team representing Czechia,Czechia national under-21 football team|Czechia national U21 football team,Q6979740,Q1194951,Czech Republic national under-21 football team
Czech Republic,Czechia men's national ice hockey team,Q754410,0,1,1,men's national ice hockey team representing the Czech Republic,Czech Republic men's national ice hockey team|Team Czech Republic,Q135409346,,Czechia men's national ice hockey team
Czech Republic,Czech Republic,Q99288382,0,1,1,the country of the Czech Republic as depicted in Star Trek,Star Trek Czech Republic,Q57663042|Q15796005,,
Czech Republic,2017 Czech legislative election,Q17016895,0,1,1,"All 200 seats of the Chamber of Deputies, lower house of the Parliament, were available for the election.","Election to the Chamber of Deputies of the Parliament of the Czech Republic of 2017|Czech Republic general election of 2017|Czech parliamentary election, 2017|Czech Republic parliamentary election of 2017|Czech legislative election, 2017|Czech general election, 2017|Czech Republic legislative election of 2017|2017 Czech general election",Q14516417,,2017 Czech parliamentary election
Czech Republic,Czech Republic national under-19 football team,Q3873527,0,1,1,national under-19 football team of Czechia,Czechia national under-19 football team|Czechia national U19 football team,Q23901137,,Czech Republic national under-19 football team
Czech Republic,Czech Republic–Poland border,Q1992001,0,1,1,separates the state territories of the two States,border between Czech Republic and Poland|border between Poland and Czech Republic|Czech Republic-Poland border|Poland-Czech Republic border,Q133346|Q15104814|Q12413618,,Czech Republic–Poland border
Czech Republic,Office of the Chamber of Deputies,Q14567740,0,1,2,"government organization in Prague, Czechia",Česká republika - Kancelář Poslanecké sněmovny,Q327333,,
Czech Republic,Česká republika,Q122027795,0,1,2,book edition published in 2018,,Q3331189,,
