data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sidi Azzouz,Sidi Azzouz,Q7508659,0,0,1,rural commune in Morocco,,Q17318027|Q2989400,,Sidi Azzouz
Sidi Azzouz,Sidi Azzouz Mosque,Q138239424,0,0,1,Mosque in Morocco,,Q32815,,
Chouafaa,Chouafaa,Q2368948,1,0,1,rural commune in Morocco,,Q17318027|Q2989400,,Chouafaa
Chouafaa,Chouafaa Primary School,Q123959334,1,0,1,"primary school in Chouafaa, Morocco",,Q123945716,,
Chouafaa,Chouafaa,Q27520284,1,0,1,human settlement in Morocco,,Q486972|Q23925393,,
Chouafaa,Chouafaa,Q29442054,1,0,1,Wikimedia disambiguation page,,Q4167410,,
Zirara,Zirara,Q553133,2,0,1,rural commune of Morocco,,Q17318027|Q2989400,,Zirara
Zirara,Zirara Primary School,Q123951843,2,0,1,"primary school in Témara, Morocco",,Q123945716,,
Zirara,Zirara,Q27509290,2,0,1,,,Q486972,,
Zirara,Zirara (stamområde),Q27509291,2,0,1,,,,,
Zirara,Zirara,Q29437193,2,0,1,Wikimedia disambiguation page,,Q4167410,,
Aoulouz,Aoulouz,Q2858000,3,0,1,"urban commune in Taroudant Province, Morocco",,Q3327862|Q2989400,,Aoulouz
Aoulouz,Aoulouz  dam,Q12215566,3,0,1,dam,,Q12323,,
Aoulouz,Aoulouz,Q27529688,3,0,1,,,,,
Aoulouz,Aoulouz,Q27529689,3,0,1,,,Q55463514,,
Aoulouz,Aoulouz,Q29442175,3,0,1,Wikimedia disambiguation page,,Q4167410,,
Almis Marmoucha,Almis Marmoucha,Q4733854,4,0,1,rural commune in Morocco,,Q17318027|Q2989400,,Almis Marmoucha
Almis Marmoucha,Almis Marmoucha Primary School,Q123958015,4,0,1,"primary school in Almis Marmoucha, Morocco",,Q123945716,,
Almis Marmoucha,Almis Marmoucha,Q27529387,4,0,1,,,,,
Almis Marmoucha,Almis Marmoucha,Q29442193,4,0,1,Wikimedia disambiguation page,,Q4167410,,
Masmouda,Masmouda,Q17009600,5,0,1,rural commune in Morocco,Masmouda Morocco,Q17318027|Q2989400,,"Masmouda, Morocco"
Masmouda,Masmouda,Q23803641,5,0,1,hill in Algeria,,Q54050,,
Masmouda,Masmouda,Q27515169,5,0,1,mountain in Morocco,,Q8502,,
Masmouda,Masmuda,Q1572273,5,0,1,One of the three major Amaigh (Berber) tribal confederations,,Q41710,,Masmuda
Masmouda,Masmouda,Q6783479,5,0,1,Wikimedia disambiguation page,,Q4167410,,
Kissane,Kissane,Q24686995,6,0,1,family name,,Q101352,,Kissane (surname)
Kissane,Kissane,Q12236738,6,0,1,rural commune of Morocco,,Q17318027|Q2989400,,Kissane
Kissane,Kissanelämää,Q11871820,6,0,1,1998 studio album by Aki Sirkesalo,,Q482994,,Kissanelämää
Kissane,"Kissane, Rev. Edward",Q96210612,6,0,1,entry in Thom's Irish Who's Who,,Q19389637,,
Kissane,Kissane,Q137470834,6,0,1,private educational institution in Morocco,,Q2385804,,
Kissane,Kissanet Tesfay Weldearegay,Q91123174,6,0,1,researcher,,Q5,,
Kissane,Kissane Drain,Q111594702,6,0,1,,,,,
Kissane,Kissane Primary School,Q123960001,6,0,1,"primary school in Agdz, Morocco",,Q123945716,,
Kissane,Kissane Primary School,Q123961158,6,0,1,"primary school in Kissane, Morocco",,Q123945716,,
Anougal,Anougal,Q4770423,7,0,1,rural commune in Morocco,,Q17318027|Q2989400,,Anougal
Anougal,Anougal (stamområde),Q27529625,7,0,1,,,Q55463514,,
Anougal,Anougal,Q29442179,7,0,1,Wikimedia disambiguation page,,Q4167410,,
Ounagha,Ounagha,Q3358330,8,0,1,rural commune in Morocco,,Q17318027|Q2989400,,Ounagha
Ounagha,Ounagha,Q28876518,8,0,1,douar in Morocco,,Q23925393|Q23925390,,
Ounagha,Ounagha,Q29437899,8,0,1,Wikimedia disambiguation page,,Q4167410,,
Sidi Harazem,Sidi Harazem,Q3483237,9,0,1,rural commune in Morocco,"Sidi Harazem, Morocco",Q17318027|Q2989400,,"Sidi Harazem, Morocco"
Sidi Harazem,Sidi Harazem,Q112012552,9,0,1,"hotel in Sidi Harazem, Morocco",,Q27686,,
Sidi Harazem,Sidi Harazem,Q56825093,9,0,1,Moroccan Maliki legal scholar,,Q5,,
Sidi Harazem,Sidi Harazem Bath Complex,Q97356614,9,0,1,"thermal spa complex near Fez, Morocco",,,,Sidi Harazem Bath Complex
Sidi Harazem,Sidi Harazem water and cholesterol: preliminary study,Q54060349,9,0,1,scientific article,,Q13442814,,
Tancherfi,Tancherfi,Q7682365,10,0,1,rural commune in Morocco,,Q17318027|Q2989400,,Tancherfi
Tancherfi,Tancherfi,Q27532259,10,0,1,,,Q486972,,
Tancherfi,Tancherfi,Q29442423,10,0,1,Wikimedia disambiguation page,,Q4167410,,
Soualem,Soualem,Q2413049,11,0,1,rural commune in Morocco,Had Soualem,Q3327862|Q2989400,,Soualem
Soualem,Soualem Trifiya,Q12217195,11,0,1,rural commune in Morocco,,Q17318027,,
Soualem,Soualem Tirs,Q27511973,11,0,1,,,,,
Soualem,Soualem Ouled Mrah Centre Primary School,Q123960577,11,0,1,"primary school in Mniaa, Morocco",,Q123945716,,
Soualem,Soualem Centre Primary School,Q123960651,11,0,1,"primary school in Sidi Rahal Chatai, Morocco",,Q123945716,,
Soualem,Soualem (stamområde),Q27511972,11,0,1,,,,,
Soualem,Soualem,Q131365696,11,0,1,imada of Tunisia,,Q3148864,,
Soualem,Soualem,Q3491430,11,0,1,Wikimedia disambiguation page,,Q4167410,,
Oulad Azzouz,Oulad Azzouz (Khouribga Province),Q12181223,12,0,1,rural commune in Morocco,Oulad Azzouz,Q17318027|Q2989400,,
Oulad Azzouz,Oulad Azzouz,Q25463413,12,0,1,"rural commune in Nouaceur Province, Morocco",Oulad Azzouz (Nouaceur Province),Q17318027,,
Oulad Azzouz,Oulad Azzouz Primary School,Q123953012,12,0,1,"primary school in Sid L'Mokhtar, Morocco",,Q123945716,,
Oulad Azzouz,Oulad Azzouz (stamområde),Q27513393,12,0,1,,,,,
Oulad Azzouz,Oulad Azzouz,Q29437969,12,0,1,Wikimedia disambiguation page,,Q4167410,,
Missour,Missouri,Q1581,13,0,1,state of the United States of America,"MO|State of Missouri|The Show Me State|Missouri, United States|Mo.|US-MO",Q35657,,Missouri
Missour,University of Missouri,Q579968,13,0,1,"public research university in Columbia, Missouri, USA",Mizzou|Missouri-Columbia|MU|University of Missouri–Columbia|Missouri–Columbia|University of Missouri-Columbia|missouri.edu,Q62078547|Q615150|Q23002039,,University of Missouri
Missour,Missour,Q65110810,13,0,1,family name,,Q101352,,
Missour,Missouri State University,Q1249251,13,0,1,"public university in Springfield, Missouri",Southwest Missouri State University|missouristate.edu,Q3918|Q23002039,,Missouri State University
Missour,Missouri medicine,Q26842379,13,0,1,journal,,Q16024164,,
Missour,Washington University School of Medicine,Q7972509,13,0,1,"medical school in St. Louis, Missouri",Missouri Medical College|Medical Department of Kemper College|Medical Department of the University of Missouri|Washington University in Saint Louis School of Medicine|Washington University in St. Louis School of Medicine,Q494230,,Washington University School of Medicine
Missour,Annals of the Missouri Botanical Garden,Q2530335,13,0,1,scientific journal,Missouri Botanical Garden. Annals|Ann. Missouri Bot. Gard.|Ann. Mo. Bot. Gard.,Q5633421,,Annals of the Missouri Botanical Garden
Missour,Missour,Q2540367,13,0,1,"town in Boulemane Province, Fès-Meknès, Morocco",,Q3327862,,Missour
Missour,Missouri River,Q5419,13,0,1,major river in central United States,Missouri|The Missouri,Q4022,,Missouri River
Missour,Missouri University of Science and Technology,Q4380853,13,0,1,"university in Rolla, Missouri, United States","Missouri S&T|University of Missouri–Rolla|University of Missouri, Rolla|mst.edu",Q875538|Q23002039,,Missouri University of Science and Technology
Missour,Missouri,Q111823126,13,0,2,given name,,Q202444,,
Missour,Missouri,Q37312270,13,0,2,family name,,Q101352,,
Missour,USS Missouri,Q272560,13,0,2,1944 Iowa-class battleship,BB-63|Missouri|Mighty Mo|Big Mo,Q473094|Q575727|Q130326199,,USS Missouri (BB-63)
