data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Quang Vinh 16,Quang Vinh 16,Q117079904,0,0,1,general cargo vessel built in 2005,IMO 9026863,Q105999,,
Quang Vinh 16,1608,Q12681528,0,0,2,natural number,"1,608",Q16317911|Q13366104|Q50707,,
Quang Vinh 16,1608,Q6758,0,0,2,year,,Q3186692|Q217034,,1608
Quang Vinh 16,1608 Muñoz,Q141367,0,0,2,asteroid,1608 Munoz|Muñoz,Q3863,,1608 Muñoz
Quang Vinh 16,list of state leaders in 1608,Q475284,0,0,2,Wikimedia list article,1608,Q13406463,,List of state leaders in 1608
Quang Vinh 16,16088 Jessgoldstein,Q1481060,0,0,2,asteroid,,Q3863,,16088 Jessgoldstein
Quang Vinh 16,16087 Rhythmgarg,Q1481059,0,0,2,asteroid,,Q3863,,16087 Rhythmgarg
Quang Vinh 16,16080 Danielfeng,Q1481054,0,0,2,asteroid,,Q3863,,16080 Danielfeng
Quang Vinh 16,16085 Laffan,Q1086294,0,0,2,asteroid,Laffan|(16085) Laffan,Q3863,,16085 Laffan
Quang Vinh 16,16089 Lamb,Q1086055,0,0,2,asteroid,Lamb|(16089) Lamb,Q3863,,16089 Lamb
Quang Vinh 16,16083 Jórvik,Q2621041,0,0,2,asteroid,Jorvik,Q3863,,16083 Jórvík
Quang Vinh 16,916,Q6372596,0,0,2,natural number,nine hundred sixteen|nine hundred and sixteen,Q16317911|Q13366104|Q50707,,916 (number)
Quang Vinh 16,916,Q24886,0,0,2,year,,Q577,,916
Quang Vinh 16,916 America,Q157989,0,0,2,main-belt asteroid,(916) America|America,Q3863,,916 America
Quang Vinh 16,9168 Sarov,Q429840,0,0,2,asteroid,Sarov|1987 ST17,Q3863,,9168 Sarov
Quang Vinh 16,9164 Colbert,Q672793,0,0,2,asteroid,Colbert|1987 SQ,Q3863,,9164 Colbert
Quang Vinh 16,9161,Q19271870,0,0,2,number,"9,161",Q16317911|Q49008|Q13366129,,
Quang Vinh 16,EU-5,Q54832865,0,0,2,cell line,916|Line 916|Emory University-5,Q21014462|Q23058136,,
Quang Vinh 16,reserved for private use (17th),Q110239662,0,0,2,"17th script code (Qaaq, 916) reserved for private use in the ISO 15924 standard",Qaaq|916,Q2001982|Q110231121,,
Quang Vinh 16,9162 Kwiila,Q1065006,0,0,2,minor planet,Kwiila|(9162) Kwiila,Q3863|Q265392|Q217526,,9162 Kwiila
Quang Vinh 16,9161 Beaufort,Q1193580,0,0,2,main-belt asteroid,1987 BZ1|Beaufort,Q3863,,9161 Beaufort
Hoang Linh 36,Hoang Linh 36,Q117079902,1,0,1,general cargo vessel built in 2004,IMO 9026813,Q105999,,
Hoang Linh 36,Hoang Linh Nguyen,Q90652924,1,0,2,researcher,,Q5,,
Hoang Linh 36,Hoang-Linh Nguyen,Q91967433,1,0,2,researcher (ORCID 0000-0003-1557-7171),,Q5,,
Hoang Linh 36,Hoang Linh Dang,Q137142064,1,0,2,,,Q5,,
Hoang Linh 36,Peltophorum dasyrhachis,Q77654,1,0,2,species of plant,Peltophorum dasyrhachis,Q16521,,Peltophorum dasyrhachis
Hoang Linh 36,36,Q712794,1,0,2,natural number,thirty six|1*36|36*1|number 36|thirty-six|3.6e+1,Q16317911|Q13366104|Q245102|Q50705|Q1885380|Q18449456|Q50707|Q223722|Q375355,,36 (number)
Hoang Linh 36,㊱,Q87533371,1,0,2,Unicode character,36|CIRCLED NUMBER THIRTY SIX,Q29654788,,
