data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
"Edinburgh, Victoria Street, 1 - 2 India Buildings","1-2 India Buildings, Victoria Street, Edinburgh",Q17568607,0,0,1,"architectural structure in City of Edinburgh, Scotland, UK","Edinburgh, Victoria Street, 1 - 2 India Buildings",Q1021645,,
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Edinburgh Castle,Q212065,0,0,2,"castle in Edinburgh, Scotland, UK",,Q23413|Q33506|Q839954|Q1497364,,Edinburgh Castle
"Edinburgh, Victoria Street, 1 - 2 India Buildings",RMS Edinburgh Castle (1948),Q1284711,0,0,2,ocean liner operated by the Union-Castle Line from 1947 to 1976,Edinburgh Castle,Q2055880|Q697196,,RMS Edinburgh Castle (1947)
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Edinburgh Castle,Q42676008,0,0,2,song by Mike Scott,,Q105543609,,
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Edinburgh Castle,Q328136,0,0,2,house in Jamaica,,Q3399487,,"Edinburgh Castle, Jamaica"
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Edinburgh Castle,Q83647714,0,0,2,ship built in 1948,IMO 5097022,Q11446,,
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Edinburgh Castle,Q31118002,0,0,2,"hillfort in City of Edinburgh, Scotland",Castle Rock|Mills Mount,Q744099,,
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Edinburgh Castle,Q21912804,0,0,2,mountain in Australia,,Q8502,,
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Edinburgh Castle,Q139836707,0,0,2,"former pub in Northfleet, Gravesham, Kent, England",,Q212198,,
"Edinburgh, Victoria Street, 1 - 2 India Buildings",The Edinburgh Castle,Q80857772,0,0,2,"pub in Holyhead, Wales","Edinburgh Castle|The Edinburgh Castle, Holyhead",Q212198,,
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Edinburgh Castle,Q119959558,0,0,2,,,Q3305213,,
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Victoria Street,Q12268861,0,0,2,"street in Edinburgh, Scotland, UK",,Q79007,,
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Edinburgh,Q23436,0,0,2,"capital city of Scotland, UK","Edinburgh, Scotland|City of Edinburgh|Edina|Modern Athens|Auld Reekie|Athens of the North",Q515|Q1187811|Q202435|Q104630835|Q1549591,,Edinburgh
"Edinburgh, Victoria Street, 1 - 2 India Buildings",Scotland Street Tunnel,Q17791523,0,0,2,"railway tunnel in Edinburgh, Scotland, UK","Edinburgh, Scotland Street Tunnel|Scotland Street Tunnel, Edinburgh",Q1311958,,
Former headquarter of Institute of National Remembrance,Former headquarter of Institute of National Remembrance,Q61638117,1,0,1,,,Q1021645|Q19860854,,
Former headquarter of Institute of National Remembrance,Institute of National Remembrance,Q705173,1,0,2,Polish government-affiliated research institute with lustration prerogatives and prosecution powers,IPN|Institute of National Remembrance – Commission for the Prosecution of Crimes against the Polish Nation,Q31855|Q2668072|Q166118,,Institute of National Remembrance
Former headquarter of Institute of National Remembrance,Institute of National Remembrance Archives,Q93272747,1,0,2,,,Q2668072,,
Former headquarter of Institute of National Remembrance,Institute of National Remembrance Review,Q109381818,1,0,2,The journal of the Institute of National Remembrance published in English,Review,Q41298,,Institute of National Remembrance Review
Former headquarter of Institute of National Remembrance,Warsaw,Q270,1,0,2,capital and largest city of Poland,,Q925381|Q515|Q1901835|Q1549591|Q1200957|Q51929311|Q56061|Q200250|Q108178728,,Warsaw
Former headquarter of Institute of National Remembrance,Warsaw,Q106494408,1,0,2,2019 video game,,Q7889,,Warsaw (video game)
Former headquarter of Institute of National Remembrance,Warsaw,Q37500217,1,0,2,family name,,Q101352,,
Former headquarter of Institute of National Remembrance,University of Warsaw,Q144488,1,0,2,largest university in Poland,Uniwersytet Warszawski|Warsaw University,Q3918|Q5028741,,University of Warsaw
Former headquarter of Institute of National Remembrance,Warsaw,Q992560,1,0,2,"city in Indiana, United States","Warsaw, Indiana|Warsaw, IN",Q1093829,,"Warsaw, Indiana"
Former headquarter of Institute of National Remembrance,Warsaw University of Technology,Q1718656,1,0,2,"technical university in Warsaw, Poland",Warsaw Polytechnic|Politechnika Warszawska|WUT,Q845392|Q1371037|Q3918,,Warsaw University of Technology
Former headquarter of Institute of National Remembrance,Powązki Military Cemetery,Q2790054,1,0,2,military cemetery located in the Żoliborz district,Military Cemetery in Warsaw|Warsaw Military Cemetery,Q1241568,,Powązki Military Cemetery
Former headquarter of Institute of National Remembrance,Warsaw,Q7970879,1,0,2,town in New York,"Warsaw, New York|Warsaw, NY",Q15127012|Q106071004,,"Warsaw, New York"
Former headquarter of Institute of National Remembrance,Warsaw,Q576165,1,0,2,"city in Hancock County, Illinois, United States","Warsaw, Illinois|Warsaw, IL",Q1093829,,"Warsaw, Illinois"
Former headquarter of Institute of National Remembrance,Warsaw,Q1919763,1,0,2,"city and county seat of Gallatin County, Kentucky, United States","Warsaw, Kentucky|Warsaw, KY",Q1093829,,"Warsaw, Kentucky"
Former headquarter of Institute of National Remembrance,Poland,Q36,1,0,2,country in Central Europe,Republic of Poland,Q3624078|Q6256|Q63791824|Q127693126,,Poland
Former headquarter of Institute of National Remembrance,Polish–Lithuanian Commonwealth,Q172107,1,0,2,historical multinational monarchist state in Eastern Europe (Crown of the Kingdom of Poland and the Grand Duchy of Lithuania),Republic of Both Nations|Commonwealth of Poland|First Republic of Poland|Poland|Poland–Lithuania|Polish-Lithuanian Commonwealth|Poland-Lithuania,Q3624078|Q3024240|Q1088391,,Polish–Lithuanian Commonwealth
Former headquarter of Institute of National Remembrance,Poland,Q7208891,1,0,2,family name,,Q101352,,Poland (surname)
Former headquarter of Institute of National Remembrance,Poland,Q63197748,1,0,2,badminton player,,Q5,,
Former headquarter of Institute of National Remembrance,Crown of the Kingdom of Poland,Q171348,1,0,2,1385–1795 territorial possessions of the King of Poland,Kingdom of Poland|Poland,Q3024240|Q1250464|Q5473816,,Crown of the Kingdom of Poland
Former headquarter of Institute of National Remembrance,Poland,Q60379511,1,0,2,1983 edition,,Q3331189,,
Former headquarter of Institute of National Remembrance,Gregory A. Poland,Q22096751,1,0,2,American physician and vaccinologist,Gregory A Poland|Gregory Poland|G. A. Poland|G A Poland|G. Poland|G Poland|Poland|Poland G|Poland G.|Poland G. A.|Poland GA,Q5,,Gregory Poland
Former headquarter of Institute of National Remembrance,Poland,Q7208888,1,0,2,constituency of the European Parliament,,Q2631496,,Poland (European Parliament constituency)
Former headquarter of Institute of National Remembrance,1939 Invasion of Poland,Q150812,1,0,2,"German, Soviet, and Slovak attack on and takeover of Poland that marked the start of World War II",Poland Campaign|Polish Campaign|1939 Defensive War|September Campaign|Invasion of Poland,Q645883|Q831663|Q467011,,Invasion of Poland
Former headquarter of Institute of National Remembrance,Poland men's national football team,Q166196,1,0,2,men's national association football team representing Poland,Poland national football team|Poland national association football team|Poland men's national association football team,Q135408445,Q1194951,Poland national football team
Former headquarter of Institute of National Remembrance,Hotel New York,Q1630988,1,0,2,"hotel in Rotterdam, the Netherlands",Former headquarters building of Holland American Lines,Q27686,,Hotel New York (Rotterdam)
Former headquarter of Institute of National Remembrance,Former headquarters of the Banco de Vizcaya,Q28539454,1,0,2,building in Madrid,"Calle de Alcalá 45, Madrid",Q41176,,
Former headquarter of Institute of National Remembrance,former headquarters of Electrobel,Q20723818,1,0,2,office building in Brussels,,Q1021645,,
Former headquarter of Institute of National Remembrance,Former headquarters of the CGER-ASLK,Q2845816,1,0,2,,,Q1497364,,
Former headquarter of Institute of National Remembrance,Former Headquarters of the All Chinese Federation of Workers Unions,Q10872227,1,0,2,,Site of the Chinese National Federation of Trade Unions,Q10300916,,
Former headquarter of Institute of National Remembrance,Former headquarters of Météo-France,Q109447948,1,0,2,destroyed building in Paris,,Q7540126|Q19860854,,
Former headquarter of Institute of National Remembrance,former headquarters building of the Gregorio de Mattos Foundation,Q110810695,1,0,2,"building in Salvador, Brazil",Sede da Fundação Gregório de Mattos,Q41176,,
Former headquarter of Institute of National Remembrance,Former headquarters site of Unit 731,Q45444263,1,0,2,war site,Site of Crime Evidence of Japanese Unit 731|Site of the Unit 731 of the Japanese Invasion Troops,Q1081138|Q10300916,,
Former headquarter of Institute of National Remembrance,Former Headquarters of the New Fourth Army,Q10908069,1,0,2,,Former Site of the New Fourth Army Headquarters at Nanchang,Q10300916,,
Former headquarter of Institute of National Remembrance,Site of the Command Post of the 7th Red Army,Q133307104,1,0,2,,"Former Headquarters of the 7th Corps of the Chinese Red Army, Suining",Q10300916|Q249027|Q47272186,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",Q116853962,2,0,1,"former government building in The Hague, demolished in 1996",Ministerie van Onderwijs|Nieuwe Uitleg 1,Q1021645,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Ministry of Education, Culture and Science",Q1049362,2,0,2,Dutch ministry,"OCW|Ministerie van Onderwijs, Cultuur en Wetenschap|Dutch Ministry of Education, Culture and Science",Q3143387|Q6866855|Q1313096,,"Ministry of Education, Culture and Science (Netherlands)"
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",ministry of education,Q2269756,2,0,2,type of ministry,national education department|education ministry|department of education,,Q192350|Q5341295,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Ministry of Education, Science and Culture",Q65589694,2,0,2,Surinamese government ministry,"Ministerie van Onderwijs, Wetenschap en Cultuur",Q2269756|Q1313096|Q19973770,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",Ministry of Education of Portugal,Q3302210,2,0,2,Portuguese ministry responsible for education,Portuguese Ministry of Education,Q2269756|Q131467261,,Ministry of Education (Portugal)
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",Ministry of Education,Q2949224,2,0,2,former Belgian ministry responsible for education,,Q2269756|Q43229,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",Ministry of Education of Taiwan,Q697093,2,0,2,ministry of the Republic of China responsible for education,Zhōnghuá Mínguó Jiàoyùbù,Q2269756|Q10876308,,Ministry of Education (Taiwan)
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Ministry of Education, Universities and Research",Q1307461,2,0,2,"Italian Government department for education, universities and research, 2001-2020",MIUR,Q2269756|Q1112537,,"Ministry of Education, University and Research"
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",Ministry of Education and Research,Q4294535,2,0,2,ministry of the Swedish Government,Ministry of Education of Sweden|Swedish Ministry of Education,Q2269756|Q10330441,,Ministry of Education and Research (Sweden)
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",ministry of education and culture,Q6866855,2,0,2,type of ministry,,,Q2269756|Q19973770,Ministry of Education and Culture
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",Nieuwe Uitleg,Q2792247,2,0,2,"street in Den Haag, the Netherlands",,Q79007,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Nieuwe Uitleg 16, The Hague",Q17342582,2,0,2,"National heritage building in The Hague, Netherlands",Mata Hari House,Q41176,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",Nieuwe Uitleg,Q19355089,2,0,2,"street in Bakel, the Netherlands",,Q79007,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",Nieuwe Uitleg,Q19355092,2,0,2,"street in Dalfsen, the Netherlands",,Q79007,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Nieuwe Uitleg 30, The Hague",Q17342605,2,0,2,"building in The Hague, Netherlands",,Q41176,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Nieuwe Uitleg 14, The Hague",Q17342578,2,0,2,"building in The Hague, Netherlands",,Q41176,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Nieuwe Uitleg 32, The Hague",Q17342607,2,0,2,"building in The Hague, Netherlands",,Q41176,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Nieuwe Uitleg 11, The Hague",Q17342573,2,0,2,"building in The Hague, Netherlands",,Q41176,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Nieuwe Uitleg 28, The Hague",Q17342602,2,0,2,"building in The Hague, Netherlands",,Q41176,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag","Nieuwe Uitleg 33, The Hague",Q17342609,2,0,2,"building in The Hague, Netherlands",,Q41176,,
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",The Hague,Q36600,2,0,2,"city and municipality in South Holland, Netherlands, seat of the Dutch government",Den Haag,Q2039348|Q515|Q13539802|Q1852859,,The Hague
"Ministerie van Onderwijs, Nieuwe Uitleg, Den Haag",Den Haag Centraal railway station,Q200704,2,0,2,"railway station in The Hague, the Netherlands",The Hague Central Station|Den Haag CS,Q55485|Q55488|Q122977328,,Den Haag Centraal railway station
