data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Vishera,Vishera,Q476721,0,0,1,"river in Perm Krai, Russia",Vishera River,Q4022|Q1959314,,Vishera (Perm Krai)
Vishera,Vishera,Q168679,0,0,1,"river in Komi, Russia",Vishera River|Viser,Q47521,,Vishera (Komi Republic)
Vishera,Vishera,Q2423900,0,0,1,"river in Novgorod Oblast, Russia",,Q4022,,Vishera (Novgorod Oblast)
Vishera,Vishera,Q4015780,0,0,1,antinovel of V. Shalamov,,Q7725634,,
Vishera,Vishera Nature Reserve,Q4112650,0,0,1,"in Perm Krai, Russia",,Q473972|Q1959314,,Vishera Nature Reserve
Vishera,Vishera Vallis,Q21039335,0,0,1,vallis on Venus,,Q2249285,,
Vishera,Cherdyn Route,Q4512584,0,0,1,standard route used by the Russians to travel to Siberia in the late 16th century,,Q34442,,Cherdyn Route
Vishera,Vishera,Q237154,0,0,1,Wikimedia disambiguation page,,Q4167410,,Vishera
Vishera,Vishera River,Q13139174,0,0,1,Wikimedia disambiguation page,,Q4167410,,Vishera River
Ourthe,Ourthe,Q160698,1,0,1,river in Belgium,,Q4022,,Ourthe
Ourthe,Ourthe,Q1390630,1,0,1,former French department (1795-1814),,Q6465,,Ourthe (department)
Ourthe,Basin of River Ourthe,Q35098207,1,0,1,,Ourthe Basin,Q166620,,
Ourthe,"Ourthe Valley, La Roche - Houffalize",Q110757486,1,0,1,"Cosyn guide, s.d. , Printed Books Department of the Royal Library of Belgium (KBR), 5612 R 74",,Q223638,,
Ourthe,Rue de l'Ourthe - Ourthestraat,Q85067458,1,0,1,"street in Molenbeek-Saint-Jean, Belgium",Rue de l'Ourthe|Ourthestraat,Q79007,,
Ourthe,Western Ourthe,Q3358482,1,0,1,"river in Belgium, mouth in Ourthe river",Ourthe Occidentale,Q4022,,
Ourthe,Ourthe orientale,Q108141353,1,0,1,protected area in Belgium (W-6676),,Q473972,,
Ourthe,Ourthe,Q3246436,1,0,1,,,Q486972,,
Ourthe,Canal de l'Ourthe,Q2366758,1,0,1,,,Q12284|Q44665457,,
Ourthe,Eastern Ourthe,Q3358485,1,0,1,"river in Belgium, mouth in Ourthe river",,Q4022,,
Saar,Saarland,Q1201,2,0,1,state of the Federal Republic of Germany,DE-SL,Q1221156|Q47574,,Saarland
Saar,Saar,Q1494167,2,0,1,female given name,,Q11879590,,
Saar,Zaandam,Q211260,2,0,1,"city in Zaanstad, Netherlands",Saardam,Q13539802|Q1852859|Q2039348,,Zaandam
Saar,Žďár nad Sázavou,Q394453,2,0,1,town in the Czech Republic,,Q5153359|Q15978299|Q8452914|Q7841907|Q7819319,,Žďár nad Sázavou
Saar,Saarlouis,Q14912,2,0,1,"city in the Saarland, Germany",Saarlautern|Sarrelibre|Sarrelouis,Q42744322|Q134626,,Saarlouis
Saar,Saar,Q111624775,2,0,1,artist (born 1974),Erzsebet Nagy Saar,Q5,,
Saar,Saarijärvi,Q984858,2,0,1,town in the region of Central Finland,,Q3957|Q856076|Q515,,Saarijärvi
Saar,Saar,Q153972,2,0,1,river in France and Germany,Sarre,Q4022,,Saar (river)
Saar,German submarine tender Saar,Q18164309,2,0,1,German ship,Saar (1934),Q402092,,German submarine tender Saar
Saar,Saarbrücken,Q1724,2,0,1,capital of the German state of Saarland,Saarbrucken|Saarbrück,Q1549591|Q1187811|Q42744322|Q134626|Q14784328,,Saarbrücken
Saar,Saarland University,Q700758,2,0,2,"public university in Saarland, Germany",University of the Saarland|Universität des Saarlandes|University of Saarbruecken|USAAR,Q875538|Q5028741|Q45400320|Q1767829,,Saarland University
Saar,Saar Protectorate,Q310293,2,0,2,"French protectorate over German Saarland, 1947–56",Saarprotektorat|Saarland protectorate|Protectorate de Sarre|Protectorate de la Sarre|Sarre (Protectorate),Q3024240|Q164142,,Saar Protectorate
Saar,6099 Saarland,Q552293,2,0,2,asteroid,Saarland,Q3863,,6099 Saarland
Saar,Saarland Official Gazette,Q480430,2,0,2,Official journal of the Saarland,,Q2065227|Q1518777,,
Saar,Saarländischer Rundfunk,Q691047,2,0,2,public broadcaster for the federal state of the Saarland,SR,Q1802587|Q641347,,Saarländischer Rundfunk
Saar,Saarland,Q102242650,2,0,2,Thoroughbred racehorse,,Q726,,
Saar,Saarland Order of Merit,Q472335,2,0,2,,,Q18677266,,Saarland Order of Merit
Saar,Saarland-Sporttoto GmbH,Q83365114,2,0,2,,,Q4830453,,
Saar,IMO 5304205,Q83642915,2,0,2,scrapped general cargo ship,,Q1752434,,
Saar,Saar River Golan Heights,Q11179472,2,0,2,,,Q187971,,
Saar,Saar River (Rhine),Q2209101,2,0,2,river in Switzerland,,Q4022,,Saar (Rhine)
