data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Typhoon Billie,Typhoon Billie,Q7861125,0,0,1,Pacific typhoon in 1976,Typhoon Nitang,Q79602,,Typhoon Billie (1976)
Typhoon Billie,Typhoon Billie,Q17513714,0,0,1,Category 2 Pacific typhoon in 1959,,Q8092,,Typhoon Billie (1959)
Typhoon Billie,Typhoon Billie,Q93862547,0,0,1,Pacific typhoon in 1961,,Q140588,,
Typhoon Billie,Typhoon Billie,Q7861124,0,0,1,Wikimedia disambiguation page,,Q4167410,,List of storms named Billie
Typhoon Alice,Typhoon Alice,Q15901186,1,0,1,Pacific typhoon in 1961,,Q140588,,
Typhoon Alice,Typhoon Alice,Q104842833,1,0,1,Pacific typhoon in 1953,,Q140588,,Typhoon Alice (1953)
Typhoon Alice,Typhoon Alice,Q48836870,1,0,1,Pacific typhoon in 1979,,Q140588,,Typhoon Alice (1979)
Typhoon Alice,Typhoon Alice,Q97178560,1,0,1,Pacific typhoon in 1958,,Q140588,,
Typhoon Alice,Typhoon Alice,Q15901186,2,0,1,Pacific typhoon in 1961,,Q140588,,
Typhoon Alice,Typhoon Alice,Q104842833,2,0,1,Pacific typhoon in 1953,,Q140588,,Typhoon Alice (1953)
Typhoon Alice,Typhoon Alice,Q48836870,2,0,1,Pacific typhoon in 1979,,Q140588,,Typhoon Alice (1979)
Typhoon Alice,Typhoon Alice,Q97178560,2,0,1,Pacific typhoon in 1958,,Q140588,,
Typhoon Alice,Typhoon Alice,Q15901186,3,0,1,Pacific typhoon in 1961,,Q140588,,
Typhoon Alice,Typhoon Alice,Q104842833,3,0,1,Pacific typhoon in 1953,,Q140588,,Typhoon Alice (1953)
Typhoon Alice,Typhoon Alice,Q48836870,3,0,1,Pacific typhoon in 1979,,Q140588,,Typhoon Alice (1979)
Typhoon Alice,Typhoon Alice,Q97178560,3,0,1,Pacific typhoon in 1958,,Q140588,,
Typhoon Alice,Typhoon Alice,Q15901186,4,0,1,Pacific typhoon in 1961,,Q140588,,
Typhoon Alice,Typhoon Alice,Q104842833,4,0,1,Pacific typhoon in 1953,,Q140588,,Typhoon Alice (1953)
Typhoon Alice,Typhoon Alice,Q48836870,4,0,1,Pacific typhoon in 1979,,Q140588,,Typhoon Alice (1979)
Typhoon Alice,Typhoon Alice,Q97178560,4,0,1,Pacific typhoon in 1958,,Q140588,,
Tropical Storm Sanvu,Tropical Storm Sanvu,Q38133580,5,0,1,2017 typhoon,,Q140588,,
Tropical Storm Sanvu,Tropical Storm Sanvu,Q117804044,5,0,1,Pacific tropical storm in 2023,01W|2301|Sanvu,Q140588|Q8092,,Tropical Storm Sanvu (2023)
Tropical Storm Sanvu,Tropical Storm Sanvu,Q7846104,5,0,1,Wikimedia disambiguation page,Sanvu,Q4167410|Q558163,,List of storms named Sanvu
Tropical Storm Sanvu,Tropical Storm Sanvu,Q38133580,6,0,1,2017 typhoon,,Q140588,,
Tropical Storm Sanvu,Tropical Storm Sanvu,Q117804044,6,0,1,Pacific tropical storm in 2023,01W|2301|Sanvu,Q140588|Q8092,,Tropical Storm Sanvu (2023)
Tropical Storm Sanvu,Tropical Storm Sanvu,Q7846104,6,0,1,Wikimedia disambiguation page,Sanvu,Q4167410|Q558163,,List of storms named Sanvu
Typhoon Ma-on,Typhoon Ma-on,Q1052580,7,0,1,Pacific typhoon in 2011,Typhoon Ineng,Q140588,,Typhoon Ma-on (2011)
Typhoon Ma-on,Typhoon Ma-on,Q11482812,7,0,1,Pacific typhoon in 2004,Typhoon Rolly,Q140588,,Typhoon Ma-on (2004)
Typhoon Ma-on,Typhoon Ma-on,Q869589,7,0,1,Wikimedia disambiguation page,Ma-on,Q4167410|Q558163,,List of storms named Ma-on
Typhoon Ma-on,Typhoon Ma-on,Q1052580,8,0,1,Pacific typhoon in 2011,Typhoon Ineng,Q140588,,Typhoon Ma-on (2011)
Typhoon Ma-on,Typhoon Ma-on,Q11482812,8,0,1,Pacific typhoon in 2004,Typhoon Rolly,Q140588,,Typhoon Ma-on (2004)
Typhoon Ma-on,Typhoon Ma-on,Q869589,8,0,1,Wikimedia disambiguation page,Ma-on,Q4167410|Q558163,,List of storms named Ma-on
