data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Östra Färs municipality,Östra Färs municipality,Q10728275,0,0,1,"municipality in Malmöhus county, Sweden, -1973",,Q11722303,,
Östra Färs municipality,Fars Province,Q1004666,0,0,2,province of Iran,Pars province,Q1344695,,Fars province
Östra Färs municipality,Persian,Q9168,0,0,2,Western Iranian language,Persian language|Farsi language|Iranian language|Iranian|Farsic–Caucasian Tat|Farsic-Caucasian Tat,Q33742|Q1288568|Q152559|Q1047113|Q2267705|Q215844|Q34770|Q25295|Q1208380,Q56356571,Persian language
Östra Färs municipality,Persian Wikipedia,Q48952,0,0,2,Persian-language edition of Wikipedia,Farsi Wikipedia,Q10876391,,Persian Wikipedia
Östra Färs municipality,Persis,Q3746183,0,0,2,"historical region corresponding to modern Fars province, Iran",Persia Proper|Persia proper|Persia|Parsa|Pârs|Fârs|Fars,Q82794|Q3950801,,Persis
Östra Färs municipality,Farsan,Q2325495,0,0,2,"city in Chaharmahal and Bakhtiari Province, Iran",Fārsān|Fārsā|Fārsīān|Farsūn,Q56557504,,Farsan
Östra Färs municipality,Farsund Municipality,Q490462,0,0,2,"municipality in Agder, Norway",,Q755707,,Farsund Municipality
Östra Färs municipality,Farsetia,Q1938776,0,0,2,genus of plants,,Q16521,,Farsetia
Östra Färs municipality,FarSight Studios,Q726675,0,0,2,American video game developer,FarSight Technologies Inc.,Q210167,,FarSight Studios
Östra Färs municipality,Farsø,Q3413045,0,0,2,"town in Region Nordjylland, Denmark",,Q3957,,Farsø
Östra Färs municipality,Farschviller,Q22362,0,0,2,"commune in Moselle, France",,Q484170,,Farschviller
Österåker Municipality,Österåker Municipality,Q117728,1,0,1,"municipality in Stockholm County, Sweden",Österåkers kommun,Q127448,,Österåker Municipality
Österåker Municipality,Österåker Municipality,Q10728182,1,0,1,"municipality in Stockholm County, -1973",Österåkers kommun,Q11722303,,
Österåker Municipality,Österåker Municipality Open Data portal,Q101111715,1,0,1,,,Q27031827,,
Östertälje Rural Municipality,Östertälje Rural Municipality,Q10728141,2,0,1,,,Q11722303,,
Överlövsta Municipality,Överlövsta Municipality,Q10728062,3,0,1,"municipality in Uppsala County, Sweden, -1973",Överlövsta kommun,Q11722303,,
Överlövsta Municipality,Österlövsta,Q14820184,3,0,2,"settlement in Tierp Municipality, Sweden",,Q14839548,,
Österhaninge municipality,Österhaninge municipality,Q10728034,4,0,1,,,Q11722303,,
Österhaninge municipality,Österhaninge socken,Q18335361,4,0,2,,,Q1523821,,
Österhaninge municipality,Österhaninge,Q4582135,4,0,2,village in Sweden,,Q14839548,,Österhaninge
Österhaninge municipality,Österhaninge,Q21667444,4,0,2,"district in Haninge Municipality, Sweden",,Q18333556,,
Österhaninge municipality,Österhaninge church parish,Q10728033,4,0,2,,,Q615980,,
Österhaninge municipality,Österhaninge Church,Q10728032,4,0,2,"building in Haninge Municipality, Stockholm County, Sweden",,Q16970|Q1497375,,
Österhaninge municipality,Österhaninge begravningsplats,Q47602337,4,0,2,"cemetery in Haninge Municipality, Stockholm County, Sweden",,Q39614,,
Österhaninge municipality,Österhaninge kyrka,Q115305253,4,0,2,Swedish cemetery,,Q39614,,
Österhaninge municipality,Österhaninge 442:1,Q29851466,4,0,2,"stone setting in Haninge Municipality, Stockholm County, Sweden",,Q2341654,,
Österhaninge municipality,Österhaninge 361:2,Q29848432,4,0,2,"stone setting in Haninge Municipality, Stockholm County, Sweden",,Q2341654,,
Ostrobitterna country municipality,Ostrobitterna country municipality,Q10727822,5,0,1,,,Q11722303,,
Ostrobitterna country municipality,Bitterna,Q21566619,5,0,2,"district in Vara Municipality, Sweden",,Q18333556,,
Ostrobitterna country municipality,Bitterna Church,Q10430343,5,0,2,"church building in Vara Municipality, Västra Götaland County, Sweden",,Q16970|Q1497375,,
Ostrobitterna country municipality,Bitterna parish,Q10430342,5,0,2,church parish in Sweden,,Q615980,,
Ostrobitterna country municipality,Bitterna cemetery,Q115304751,5,0,2,Swedish cemetery,,Q39614,,
Ostrobitterna country municipality,Bitterna kyrkas dopfunt,Q19945515,5,0,2,,,Q208820,,
Ösmo Municipality,Ösmo Municipality,Q10727741,6,0,1,"municipality in Stockholm County, Sweden, -73",Ösno kommun,Q11722303,,
Ösmo Municipality,Osmo,Q3849297,6,0,2,male given name,Osmo (first name)|Osmo (given name),Q12308941,,Osmo
