data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Krimpen aan den IJsse,Krimpen aan den IJssel,Q739449,0,0,1,"town and municipality in South Holland, the Netherlands",,Q2039348|Q1852859|Q3957,,Krimpen aan den IJssel
Krimpen aan den IJsse,Krimpen aan den IJssel municipal council,Q106216572,0,0,1,,,Q17014622,,
Krimpen aan den IJsse,Krimpen a/d IJssel substation,Q111951978,0,0,1,transmission substation in the Netherlands,Krimpen substation|Krimpen aan den IJssel substation,Q174814,,
Krimpen aan den IJsse,coat of arms of Krimpen aan den IJssel,Q15964837,0,0,1,"coat of arms of municipality in South Holland, the Netherlands",Krimpen aan den IJssel coat of arms,Q28147344,,
Krimpen aan den IJsse,flag of Krimpen aan den IJssel,Q28802051,0,0,1,"flag of municipality in South Holland, the Netherlands",Krimpen aan den IJssel flag,Q21850100,,
LanghorneCreek,Langhorne Creek,Q6486104,1,0,2,town in South Australia,"Langhorne Creek, South Australia|Langhorne Creek, South Australia, Australia",Q3957,,"Langhorne Creek, South Australia"
LanghorneCreek,LANGHORNE CREEK,Q123623195,1,0,2,"weather station in State of South Australia, Australia from 1889",024515,Q190107,,
LanghorneCreek,Langhorne Creek wine region,Q19597670,1,0,2,Australian Geographical indication,,Q2140699,,Langhorne Creek wine region
LanghorneCreek,Langhorne Creek Football Club,Q65058484,1,0,2,Australian rules football club,,Q847017,,Langhorne Creek Football Club
LanghorneCreek,LANGHORNE CREEK 2,Q123623197,1,0,2,"weather station in State of South Australia, Australia from 1901 to 1973",024516,Q190107,,
LanghorneCreek,Langhorne Creek Hawks,Q112809136,1,0,2,Australian rules football club,Langhorne Creek Hawks Football Club,Q17374546,,
LanghorneCreek,Langhorne Creek,Q111119104,1,0,2,Wikimedia disambiguation page,,Q4167410,,Langhorne Creek
Bundara,Bundara,Q55448301,2,0,1,"locality in East Gippsland, Victoria, Australia","Bundara, Victoria|Bundara, Victoria, Australia",Q3257686,,
Bundara,Bundaran HI Bank Jakarta MRT station,Q52906919,2,0,1,"metro station in Central Jakarta, Indonesia",Bundaran HI MRT station|Bundaran Hotel Indonesia MRT station,Q55488|Q928830|Q22808403,,Bundaran HI Bank Jakarta MRT station
Bundara,Bundara River,Q1005340,2,0,1,river in Australia,,Q4022,,Bundara River
Bundara,Bundaran Senayan,Q38950229,2,0,1,TransJakarta BRT Station,,Q953806,,Bundaran Senayan (Transjakarta)
Bundara,Bundaran ADIPURA kolaka,Q26743230,2,0,1,,,,,
Bundara,Bundara-Munjie,Q28931269,2,0,1,"parish in East Gippsland Shire, Victoria, Australia",,Q28930084,,
Bundara,Bundaran HI (Transjakarta),Q19942580,2,0,1,"BRT station in Jakarta, Indonesia",,Q953806,,Bundaran HI Astra (Transjakarta)
Bundara,Gunung Perak Monument,Q137425267,2,0,1,"Landmark in Central Kalimantan, Indonesia",Bundaran Tugu Gunung Perak|Bundaran Gunung Perak|Gunung Perak Roundabout,Q4895393|Q1525,,
Bundara,Bundara Creek,Q21915078,2,0,1,"river in Queensland, Australia",,Q4022,,
Bundara,Bundara Creek,Q21915079,2,0,1,"river in Queensland, Australia - Geonames ID = 2173302",,Q4022,,
t James,James Taylor,Q310300,3,0,2,American singer and guitarist,,Q5,,James Taylor
t James,James Henry Taylor,Q6135927,3,0,2,American mathematician (1893–1972),James Taylor,Q5,,James Henry Taylor
t James,James Taylor,Q37738042,3,0,2,"Born: 19 June 1851 in Keith, Scotland; Died: 29 January 1910 in Institution Place, Dollar, Scotland",,Q5,,
t James,James Wickes Taylor,Q6145486,3,0,2,American diplomat (1819–1893),James Taylor|James W. Taylor,Q5,,James Wickes Taylor
t James,James Taylor,Q6144052,3,0,2,businessman and political figure in New Brunswick,,Q5,,James Taylor (New Brunswick politician)
t James,James Taylor,Q18877922,3,0,2,English linen draper and banker,,Q5,,
t James,James Taylor,Q19325073,3,0,2,English mathematician and physicist (1902–1994),Sir James Taylor,Q5,,
t James,James Arnold Taylor,Q2536187,3,0,2,American voice actor,James Taylor,Q5,,James Arnold Taylor
t James,James Taylor,Q30362443,3,0,2,computational biologist,,Q5,,
t James,James Knox Taylor,Q6137444,3,0,2,American architect (1857–1929),James Taylor,Q5,,James Knox Taylor
Helensvile,Helena,Q38733,4,0,2,capital city of the U.S. state of Montana and seat of Lewis and Clark County,"Helena, Montana|Helena, MT",Q1093829|Q21518270|Q62049,,"Helena, Montana"
Helensvile,Helena Montana Temple,Q110732427,4,0,2,"temple of The Church of Jesus Christ of Latter-day Saints in Helena, Montana, United States","Helena Temple|Helena, Montana Temple",Q2142152,,Helena Montana Temple
Helensvile,"2020 COVID-19 pandemic in Helena, Montana",Q94379954,4,0,2,"pandemic in Helena, Montana","2020 coronavirus outbreak in Helena, Montana|COVID-19 pandemic in Helena, Montana|2020 Helena, Montana COVID-19 pandemic|Helena, Montana COVID-19 pandemic|2020 COVID pandemic in Helena, Montana",Q3241045,,
Helensvile,Helena,Q679084,4,0,2,"city in Phillips County, Arkansas, United States","Helena, Arkansas|Helena, AR",Q3957,,"Helena, Arkansas"
Soutjsea,South China Sea,Q37660,5,0,2,Marginal sea in the Pacific Ocean,East Sea|West Philippine Sea|South Sea|South East Asia Sea|Nan Zhong Guo Hai|Nan Hai|East Vietnamese Sea|the South China Sea,Q165,,South China Sea
Soutjsea,South Sea,Q117024453,5,0,2,crude oil tanker built in 2005,IMO 9286657,Q14928,,
Soutjsea,South Seattle College,Q7568402,5,0,2,"community college in Seattle, Washington, U.S.",South Seattle Community College|Seattle South|South Seattle|SSCC|South Sea|Sea South|SSC|South CC,Q1336920|Q23002039,,South Seattle College
Soutjsea,Namhae,Q624569,5,0,2,area of sea near southern part of South Korea,South Sea,Q165|Q491713,,Namhae (sea)
Soutjsea,South Seas,Q351668,5,0,2,old name for the South Pacific Ocean,,Q165,,South Seas
