data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
1974 Cincinnati Oen,Cincinnati Open,Q461834,0,0,2,"combined WTA/ATP tennis tournament at Cincinnati, Ohio",Western & Southern Open|Cincinnati Masters,Q47443726,Q13219666,Cincinnati Open
1974 Cincinnati Oen,Cincinnati Open 2024 (men),Q128040496,0,0,2,men's tennis tournament,,Q47403752|Q13427619,,
1974 Cincinnati Oen,Cincinnati open 2024 qualification event (women),Q128803737,0,0,2,,,Q21170330,,
1974 Cincinnati Oen,Cincinnati Open,Q118953054,0,0,2,,,,,
1974 Cincinnati Oen,Cincinnati Open,Q118953058,0,0,2,,,,,
1974 Cincinnati Oen,Cincinnati Open,Q118953056,0,0,2,,,,,
1974 Cincinnati Oen,Cincinnati Open,Q118953059,0,0,2,,,,,
1974 Cincinnati Oen,Cincinnati Open,Q118953052,0,0,2,,,,,
1974 Cincinnati Oen,ATP Cincinnati,Q13427619,0,0,2,men's tennis tournament,,Q26863790,Q26863790,
1974 Cincinnati Oen,2010 Western & Southern Financial Group Masters and Women's Open,Q1576962,0,0,2,combined WTA/ATP tournament,,Q461834|Q47345468,,2010 Western & Southern Financial Group Masters and Women's Open
1974 Cincinnati Oen,1974 Cincinnati Open,Q3677044,0,0,2,tennis tournament edition,1974 Western Tennis Championships,Q461834|Q47345468,,1974 Western Championships
Association of Tennis Professionals,Association of Tennis Professionals,Q744089,0,1,1,men's professional tennis governing body,ATP,Q4438121,,Association of Tennis Professionals
Association of Tennis Professionals,Association of Tennis Professionals website,Q14580059,0,1,1,website of the Association of Tennis Professionals,ATP website,Q35127,,
Association of Tennis Professionals,ATP Tour Masters 1000,Q300029,0,1,1,tennis tournaments,"Tennis Master Series|Super Nine|Atp masters|Masters tennis event|ATP Masters 1000|ATP 1000 Series|ATP World Tour Masters 1000 series|ATP 1000|Masters 1000|ATP Masters|Tennis Masters Series|ATP Championship Series, Single Week|ATP World Tour Masters 1000",Q50301185,Q7700500,ATP Masters 1000 tournaments
Association of Tennis Professionals,ATP Tour,Q300008,0,1,2,series of men's tennis tournaments,ATP World Tour,Q18608583|Q50301185,Q7700500,ATP Tour
Association of Tennis Professionals,ATP World Tour 250 series,Q300017,0,1,2,tennis tournament category,International Series Tournaments|ATP World Series|International Series events|ATP 250 Series|ATP World Tour 250|ATP 250|International Series tennis tournaments|ATP Tour 250,Q50301185,Q7700500,ATP 250 tournaments
Association of Tennis Professionals,ATP Tour Championship Tennis,Q2819551,0,1,2,sports video game by Sega,,Q7889,,ATP Tour Championship Tennis
Association of Tennis Professionals,ATP Tour Simulator,Q10366888,0,1,2,1991 video game,,Q7889,,
Association of Tennis Professionals,2009 ATP World Tour,Q300011,0,1,2,tennis circuit,2009 ATP Tour|ATP Tour 2009|2009 atp tour|Tennis 2009 Calendare ATP ITF|Juego 2000 Calendar,Q47358534,,2009 ATP World Tour
