data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Cienfuegos,Cienfuegos,Q37190872,0,0,1,family name,,Q101352,,
Cienfuegos,Cienfuegos Province,Q115444,0,0,1,province of Cuba,Cienfuegos,Q115291,,Cienfuegos Province
Cienfuegos,Cienfuegos,Q190005,0,0,1,"city and capital of Cienfuegos Province, Cuba",,Q515|Q558330|Q1549591,,Cienfuegos
Cienfuegos,Cienfuegos,Q28663970,0,0,1,Dominican volleyball club,,Q847017,,
Cienfuegos,Cienfuegosia,Q8457877,0,0,1,genus of plants,,Q16521,,Cienfuegosia
Cienfuegos,Cinfuegos,Q1091794,0,0,1,"parish (parroquia) in Quirós, Asturias, Spain",Cienfuegos,Q55102916|Q8776398,,Cinfuegos
Cienfuegos,Cienfuegos,Q19888080,0,0,1,painting by Gastone Novelli,,Q3305213,,
Cienfuegos,Cienfuegosia affinis,Q15361282,0,0,1,species of plant,,Q16521,,
Cienfuegos,Cienfuegosia heterophylla,Q15360476,0,0,1,species of plant,,Q16521,,
Cienfuegos,Cienfuegosia australis,Q17573392,0,0,1,species of plant,,Q16521,,
Jovellanos,Gaspar Melchor de Jovellanos,Q282498,1,0,1,"Spanish neoclassical statesman, author, philosopher (1744-1811)",Gaspar de Jovellanos|Jovellanos,Q5,,Gaspar Melchor de Jovellanos
Jovellanos,Jovellanos,Q2573404,1,0,1,municipality and town in the Matanzas Province of Cuba,,Q515|Q558330,,Jovellanos
Jovellanos,Jovellanos,Q37560250,1,0,1,family name,,Q101352,,
Jovellanos,Jovellanos,Q23795187,1,0,1,,,Q486972,,
Jovellanos,Jovellanos,Q20598677,1,0,1,,,Q486972,,
Jovellanos,Jovellanos International Essay Award,Q6359083,1,0,1,literary award,,Q136327821,,
Jovellanos,Jovellanos,Q138681458,1,0,1,,,Q3331189,,
Jovellanos,Jovellanos Street,Q62106216,1,0,1,"street in Oviedo, Spain",,Q79007,,
Jovellanos,"Jovellanos, Gaspar Melchor de",Q103939264,1,0,1,encyclopedia article,,Q13433827,,
Jovellanos,Jovellanos Market,Q61984495,1,0,1,,,Q132510,,
Sierra de Cubitas,Sierra de Cubitas,Q643052,2,0,1,Cuban municipality in Camagüey Province,,Q515|Q558330,,Sierra de Cubitas
Sierra de Cubitas,Sierra de Cubitas,Q39080657,2,0,1,Protected area of managed resources in Cuba‎,,,,
Sierra de Cubitas,Sierra de Cubitas Municipal Museum,Q25040683,2,0,1,Museum in Cuba,,Q33506,,Sierra de Cubitas Municipal Museum
Bolivia,Bolivia,Q750,3,0,1,sovereign state in South America,Plurinational State of Bolivia|Republic of Bolivia|Bolivia (Plurinational State of),Q3624078|Q123480|Q6256,,Bolivia
Bolivia,Bolivia,Q891370,3,0,1,"town in and county seat of Brunswick County, North Carolina, United States","Bolivia, North Carolina|Bolivia, NC",Q15127012|Q62049|Q132680629,,"Bolivia, North Carolina"
Bolivia,Bolivia men's national football team,Q193386,3,0,1,Men's national football team of Bolivia,Bolivian national football team|Bolivian national soccer team|Bolivia national football team,Q135408445,Q1194951,Bolivia national football team
Bolivia,Bolivia,Q27925302,3,0,1,cycling team (2017-),Equipo Bolivia,Q1756006,,Equipo Bolivia
Bolivia,Bolivia,Q526001,3,0,1,"municipality and town in Ciego de Ávila, Cuba","Bolivia, Cuba",Q3957|Q558330,,"Bolivia, Cuba"
Bolivia,boliviano,Q200737,3,0,1,currency of Bolivia,Bolivian boliviano|BOB|second boliviano,Q8142,,Bolivian boliviano
Bolivia,Bolivia,Q7249966,3,0,1,human settlement in Argentina,,Q15284,,"Pronunciamiento, Entre Ríos"
Bolivia,municipality of Bolivia,Q1062710,3,0,1,third-level administrative division in Bolivia,Bolivian municipality|municipality of Bolivia,,Q213918|Q1763214|Q12357920|Q192611,Municipalities of Bolivia
Bolivia,Bolivia,Q4939506,3,0,1,1991 album by Freddie Hubbard,,Q482994,,Bolivia (Freddie Hubbard album)
Bolivia,Boliviacris,Q10432552,3,0,1,genus of insects,,Q16521,,
Playa,dry lake,Q3497768,4,0,1,"depression that formerly contained a standing surface water body, which disappears when evaporation processes exceed recharge",playa|pan lake|flat lake|playa lake|sink|dry lake bed,,Q4687862|Q190429|Q23397,Dry lake
Playa,Playà,Q96122921,4,0,1,family name,,Q101352,,
Playa,Playa,Q136693176,4,0,1,"innhabited place in Salobreña, Spain",,Q3055118,,
Playa,Playa,Q138167074,4,0,1,family name,,Q101352,,
Playa,player character,Q1062345,4,0,1,character in a role-playing or video game that can be played or controlled by a real-world person,PC|playable character|player-centered game|character-centered game|character-driven game|character-centric game,Q109682310,Q1569167,Player character
Playa,beach,Q40080,4,0,1,area of sand or small stones near the sea or another area of water such as a lake,beaches|strand,Q125824188|Q12046615,Q468756|Q2221906|Q618123|Q107123630,Beach
Playa,Playa,Q2066897,4,0,1,"municipality of Havana, Cuba",,Q558330,,"Playa, Havana"
Playa,Playa,Q66660280,4,0,1,protagonist of the Saints Row video game series,,Q15632617|Q1569167,,
Playa,Playa,Q7203136,4,0,1,"barrio in Ponce, Puerto Rico","Playa Barrio|Playa, Ponce|Playa, Puerto Rico|Ponce Playa",Q3677932,,"Playa, Ponce, Puerto Rico"
Playa,Playa,Q2099006,4,0,1,American R&B/hip-hop group,,Q215380,,Playa (group)
