data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Wernfeld,Wernfeld,Q1972863,0,0,1,Ortsteil of Gemünden am Main,,Q253019,,
Wernfeld,Wernfeld,Q124092113,0,0,1,Gemarkung of Gemünden am Main,,Q1499928,,
Wernfeld,Wernfeld,Q118601640,0,0,1,"railway halt in the district of Main-Spessart, Lower Franconia, Germany",Wernfeld station|Wernfeld railway stop,Q55678,,
Wernfeld,Wernfeld,Q87142625,0,0,1,"goods station in the district of Main-Spessart, Lower Franconia, Germany",Wernfeld station,Q55488|Q55493,,
Gemünden (Main),Gemünden (Main) railway station,Q325465,0,2,1,"railway station in the district of Main-Spessart, Lower Franconia, Germany",Gemünden (Main) station|Bahnhof Gemünden am Main|Gemünden station,Q55488,,Gemünden (Main) station
Gemünden (Main),Gemünden am Main,Q505332,0,2,1,municipality in Germany,Gemünden a.Main,Q42744322,,Gemünden am Main
Gemünden (Main),Gemünden (Main)–Bad Kissingen railway,Q802328,0,2,1,railway line in Bavaria,Gemünden–Bad Kissingen railway,Q655677,,Gemünden–Ebenhausen railway
Gemünden (Main),Wernfeld,Q1972863,0,2,2,Ortsteil of Gemünden am Main,,Q253019,,
Gemünden (Main),Wernfeld,Q124092113,0,2,2,Gemarkung of Gemünden am Main,,Q1499928,,
Gemünden (Main),Wernfeld,Q118601640,0,2,2,"railway halt in the district of Main-Spessart, Lower Franconia, Germany",Wernfeld station|Wernfeld railway stop,Q55678,,
Gemünden (Main),Wernfeld,Q87142625,0,2,2,"goods station in the district of Main-Spessart, Lower Franconia, Germany",Wernfeld station,Q55488|Q55493,,
Gemünden (Main),Main,Q1670,0,2,2,right tributary of Rhine river in Germany,,Q4022,,Main (river)
Gemünden (Main),Main,Q16876282,0,2,2,family name,,Q101352,,Main (surname)
Gemünden (Main),Mainz,Q1720,0,2,2,"capital of the federal state Rhineland-Palatinate, Germany",Mogontiacum|Maguncia|Mayence,Q1549591|Q1187811|Q42744322|Q85632032,,Mainz
Gemünden (Main),asteroid belt,Q2179,0,2,2,the circumstellar disk (accumulation of matter) in an orbit around Sun between those of Mars and Jupiter,the asteroid belt|main asteroid belt|the main asteroid belt|main belt,Q3235978|Q109645909|Q28951811,Q2332332,Asteroid belt
Gemünden (Main),mainland China,Q19188,0,2,2,"geopolitical area under the jurisdiction of the People's Republic of China, excluding Special Administrative Regions",Chinese mainland|the mainland of China|China's mainland|Mainland side|Mainland area,Q82794|Q3502482|Q1048835|Q1140140,Q56061,Mainland China
Gemünden (Main),aorta,Q101004,0,2,2,largest artery in the body,main artery,Q9655|Q210588|Q15057490|Q112826905,Q66391192|Q66539140|Q112826975,Aorta
Gemünden (Main),Honshu,Q13989,0,2,2,largest island of Japan,Honshū|Big Island|Japan|Meaco|Nipon|Nippon|Niphon|Honshu Island|Honshu I.|Meako|Hondo|Hondo Island|Hondo Is.|Hondo I.|Main Island,Q17308006,,Honshu
Gemünden (Main),Maine,Q724,0,2,2,state of the United States of America,"ME|State of Maine|Maine, United States|The Pine Tree State|US-ME",Q35657,,Maine
Gemünden (Main),main library,Q12317349,0,2,2,most important public library in a municipality and/or library system that has several libraries or library campuses,main branch,Q25397890,Q11396180,
Gemünden (Main),Mainleus,Q304916,0,2,2,market municipality of Germany,,Q100341898|Q116457956,,Mainleus
Gemünden (Main),Upper Franconia,Q10554,0,2,2,"administrative region of Franconia in Bavaria, Germany",,Q22721|Q464235,,Upper Franconia
Sandweid,Sandweid,Q7417035,1,0,1,service point on the Berner-Oberland-Bahn,,Q55493,,
UTC+01:00,UTC+01:00,Q6655,1,1,1,identifier for a time offset from UTC of +1,Western European Summer Time|Swatch Internet Time|Rome Time|West Africa Time|West Africa Standard Time,Q17272482,,UTC+01:00
UTC+01:00,Sandweid,Q7417035,1,1,2,service point on the Berner-Oberland-Bahn,,Q55493,,
UTC+01:00,Central European Time,Q25989,1,1,2,standard time (UTC+01:00),Central European Time Zone|CETZ|Central European Standard Time,Q12143,,Central European Time
UTC+01:00,Cetus,Q8839,1,1,2,constellation straddling the celestial equator,Cet|Ceti,Q8928,,Cetus (constellation)
UTC+01:00,Cetacea,Q160,1,1,2,infraorder of marine mammals,Cetaceans|cetaceans,Q16521,Q7377,Cetacean
UTC+01:00,Cetinje,Q173338,1,1,2,Old Royal Capital of Montenegro,,Q515,,Cetinje
UTC+01:00,Cetoniidae,Q1403094,1,1,2,Family of beetles,,Q16521,,Cetoniidae
UTC+01:00,vitamin C,Q199678,1,1,2,"water-soluble vitamin and antioxidant essential for collagen synthesis, immune function, and skin brightening",Cevalin|Cetane-Caps TC|Cetane|Cebione|Cenolate|Cecon|Ascoltin|Cevex|L-ascorbic acid|OVC307|ascorbic acid|ascorbate,Q113145171,Q108955625|Q193598,Vitamin C
UTC+01:00,Cetraria,Q134917,1,1,2,genus of fungi,,Q16521,,Cetraria
UTC+01:00,Cetartiodactyla,Q27850,1,1,2,proposed name for a fusion of the orders Cetacea and Artiodactyla,,Q713623,,Cetartiodactyla
UTC+01:00,Cethosia,Q1757735,1,1,2,genus of insects,,Q16521,,Cethosia
Gare de Baud,Gare de Baud,Q2912572,2,0,1,"railway station in Languidic, France",,Q55488|Q55493,,
Gare de Baud,Gare de Baudrecourt,Q26856802,2,0,1,"railway station in Baudrecourt, France",,Q55488,,
Gare de Baud,Baudette Depot,Q115195348,2,0,1,"railway station in Baudette, Minnesota",Canadian National Railways Depot,Q55488,,Baudette Depot
Central European Time,Central European Time,Q25989,2,1,1,standard time (UTC+01:00),Central European Time Zone|CETZ|Central European Standard Time,Q12143,,Central European Time
Central European Time,UTC+01:00,Q6655,2,1,1,identifier for a time offset from UTC of +1,Western European Summer Time|Swatch Internet Time|Rome Time|West Africa Time|West Africa Standard Time,Q17272482,,UTC+01:00
Central European Time,Europe/Berlin,Q5412096,2,1,1,time zone identifier from the zone file of the IANA time zone database,Central European Time,Q17272692,,Europe/Berlin
Central European Time,Gare de Baud,Q2912572,2,1,2,"railway station in Languidic, France",,Q55488|Q55493,,
Central European Time,Gare de Baudrecourt,Q26856802,2,1,2,"railway station in Baudrecourt, France",,Q55488,,
Central European Time,Baudette Depot,Q115195348,2,1,2,"railway station in Baudette, Minnesota",Canadian National Railways Depot,Q55488,,Baudette Depot
Nagoya Minato Station,Nagoya Minato Station,Q10917748,3,0,1,"former freight station in Nagoya, Aichi prefecture, Japan",,Q55493,,
Japan Standard Time,Japan Standard Time,Q909085,3,1,1,time zone,Asia/Tokyo,Q12143,,Japan Standard Time
Japan Standard Time,UTC+09:00,Q7041,3,1,1,identifier for a time offset from UTC of +9,Japan Standard Time|Korea Standard Time|Irkutsk Time|Eastern Indonesian Time|East Timor Standard Time|WIT,Q17272482,,UTC+09:00
Japan Standard Time,Japan Standard Time meridian,Q11508308,3,1,1,,,Q32099,,
Japan Standard Time,Nagoya Minato Station,Q10917748,3,1,2,"former freight station in Nagoya, Aichi prefecture, Japan",,Q55493,,
Nuremberg-Langwasser,Nuremberg-Langwasser,Q801273,4,0,1,"goods station in the urban district of Nuremberg, Middle Franconia, Germany",Nürnberg-Langwasser station|Nuremberg-Langwasser station,Q55488|Q65227640|Q55493,,
Nuremberg-Langwasser,Nuremberg Airport,Q265994,4,0,2,"international airport of the Franconian metropolitan area of Nuremberg, Germany",Airport Nuremberg “Albrecht Dürer”|NUE|EDDN,Q21836433,,Nuremberg Airport
Central European Summer Time,Central European Summer Time,Q207020,4,1,1,daylight savings time in the central European time zone,CEDT,Q219919|Q12143,,Central European Summer Time
Central European Summer Time,UTC+02:00,Q6723,4,1,1,identifier for a time offset from UTC of +2,Eastern European Time|South African Standard Time|West Africa Summer Time|Central Africa Time,Q17272482,,UTC+02:00
Central European Summer Time,daylight saving time,Q36669,4,1,1,seasonal adjustment of clocks,summer time|daylight savings time|daylight time,,Q849275,Daylight saving time
