data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Stallinon,Sellenbüren,Q687928,0,0,2,"hamlet in the municipality of Stallikon in the canton of Zurich, Switzerland",Sellenburen,Q5084,,
Stallinon,von Sellenbüren,Q96381694,0,0,2,,"Sellenbüren, von|Sellenbüren",Q8436,,
Stallinon,"Sellenbüren / Ofengüpf, medieval castle site",Q1013983,0,0,2,"castle ruin in Stallikon in the canton of Zürich, Switzerland",,Q839954|Q17715832|Q15710038,,
Stallinon,Sellenbüren,Q2268420,0,0,2,family,,Q13417114,,
Stallinon,Sellenbüren / Rainstrasse-Hofstetterweidweg,Q22560676,0,0,2,,,Q123705,,
Stallinon,Sellenbüren / Alt-Uetlibergweg,Q22560651,0,0,2,,,Q123705,,
Stallinon,Sellenbüren / Büel,Q22560669,0,0,2,,,Q123705,,
Stallinon,Sellenbüren / Weidelacher,Q22560686,0,0,2,,,Q123705,,
Stallinon,Sellenbüren / Atrium,Q22560661,0,0,2,,,Q123705,,
Stallinon,Sellenbüren / Zügnis,Q22560696,0,0,2,,,Q123705,,
Sellenbüren,Sellenbüren,Q687928,0,2,1,"hamlet in the municipality of Stallikon in the canton of Zurich, Switzerland",Sellenburen,Q5084,,
Sellenbüren,von Sellenbüren,Q96381694,0,2,1,,"Sellenbüren, von|Sellenbüren",Q8436,,
Sellenbüren,"Sellenbüren / Ofengüpf, medieval castle site",Q1013983,0,2,1,"castle ruin in Stallikon in the canton of Zürich, Switzerland",,Q839954|Q17715832|Q15710038,,
Sellenbüren,Sellenbüren,Q2268420,0,2,1,family,,Q13417114,,
Sellenbüren,Sellenbüren / Rainstrasse-Hofstetterweidweg,Q22560676,0,2,1,,,Q123705,,
Sellenbüren,Sellenbüren / Alt-Uetlibergweg,Q22560651,0,2,1,,,Q123705,,
Sellenbüren,Sellenbüren / Büel,Q22560669,0,2,1,,,Q123705,,
Sellenbüren,Sellenbüren / Weidelacher,Q22560686,0,2,1,,,Q123705,,
Sellenbüren,Sellenbüren / Atrium,Q22560661,0,2,1,,,Q123705,,
Sellenbüren,Sellenbüren / Zügnis,Q22560696,0,2,1,,,Q123705,,
Ligfrz,Bipschal,Q56257352,1,0,2,"human settlement in the municipality of Ligerz in the canton of Bern, Switzerland",,Q486972|Q123705,,
Ligfrz,Ligerz,Q69495,1,0,2,municipality in the canton of Bern in Switzerland,Ligerz BE,Q70208,,Ligerz
Bipschal,Bipschal,Q56257352,1,2,1,"human settlement in the municipality of Ligerz in the canton of Bern, Switzerland",,Q486972|Q123705,,
Bipschal,Ligerz,Q69495,1,2,1,municipality in the canton of Bern in Switzerland,Ligerz BE,Q70208,,Ligerz
hlieren,Schlieren,Q69148,2,0,2,municipality in Switzerland,Schlieren ZH,Q70208|Q54935504,,"Schlieren, Switzerland"
hlieren,Schlierenwagen,Q2239719,2,0,2,,,Q811704,,
hlieren,Schlieren railway station,Q1960753,2,0,2,"railway station in Switzerland, situated in the municipality of Schlieren",,Q55488,,Schlieren railway station
hlieren,schlieren,Q11778649,2,0,2,optical inhomogeneities in transparent material,,Q483247,,Schlieren
hlieren,Schlieren,Q22544918,2,0,2,mountain in Switzerland,,Q8502,,
hlieren,Schlieren,Q22544939,2,0,2,Town in Switzerland,,Q486972,,
hlieren,Schlieren,Q123307052,2,0,2,1960 film by Peter De Normanville,,Q24862,,
hlieren,schlieren photography,Q521426,2,0,2,process to photograph fluid flow,,Q1439691,,Schlieren photography
hlieren,Schlieren / Brunnacker,Q22544957,2,0,2,,,Q123705,,
hlieren,Schlieren / Zentrum,Q22545069,2,0,2,,,Q123705,,
hlieren,Zentrum,Q1069566,2,0,2,"central quarter of Chemnitz, Saxony, Germany",Chemnitz-Zentrum,Q79424059|Q676050,,
hlieren,Centre Party,Q157537,2,0,2,catholic political party in Germany,Deutsche Zentrumspartei|Zentrum|ZP,Q2023214|Q354239,,Centre Party (Germany)
hlieren,Zentrum,Q108769568,2,0,2,locality of Leipzig,Zentrum (Leipzig)|Leipzig-Zentrum,Q110710943,,
hlieren,Zentrum,Q109567834,2,0,2,"tram stop in Frankfurt (Oder), Germany",,Q2175765,,
hlieren,zentrum,Q20741837,2,0,2,"installation by Dorit Margreiter, Museum of Modern Art",,Q20437094,,
hlieren,Zentrum,Q105438267,2,0,2,Union for workers in the automotive industry,Zentrum Automobil,Q178790,,Zentrum (association)
hlieren,Zentrum danziger50,Q85972061,2,0,2,building in Germany,,Q41176,,
