data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Porcu River,Porcu River,Q4709769,0,0,1,river in Romania,,Q4022,,Porcu River (Bâsculița)
Porcu River,Porcu River,Q7230014,0,0,1,,,Q4022,,Porcu River (Sădurel)
Porcu River,Porcu River,Q4713634,0,0,1,,,Q4022,,Porcu River (Roșia)
Porcu River,Porcu River,Q7230018,0,0,1,,,Q4022,,Porcu River (Vaslui)
Porcu River,Porcu River,Q7230008,0,0,1,tributary of the Tărâia river in Romania,,Q4022,,Porcu River (Tărâia)
Porcu River,Porcu River,Q7230012,0,0,1,tributary of the Secu River in Romania,,Q4022,,Porcu River (Secu)
Porcu River,Porcu River,Q7230011,0,0,1,tributary of the Jiu River in Romania,,Q4022,,Porcu (Jiu)
Porcu River,Porcu River,Q7230009,0,0,1,tributary of the Fericea River in Romania,,Q4022,,Porcu River (Uria)
Porcu River,Porcu River,Q27792459,0,0,1,Wikimedia disambiguation page,,Q4167410,,Porcu River
Chamka,Chamka,Q486668,1,0,1,"river in Kirov Oblast, Russia",,Q4022,,
Chamka,Chamka,Q60782244,1,0,1,village in India,,Q56436498,,
Chamka,Chamkat Phalangkun,Q16138817,1,0,1,Thai politician,,Q5,,
Chamka,Chamka,Q32628126,1,0,1,"river in Tver Oblast, Russia",,Q4022,,
Chamka,Chamka,Q21858478,1,0,1,river in Botswana,,Q4022,,
Chamka,Chamka,Q32628109,1,0,1,river in Russia,,Q4022,,
Chamka,Chamkaur Ghag,Q55483732,1,0,1,researcher,,Q5,,
Chamka,Chamkarmon District,Q5069819,1,0,1,"district in Phnom Penh, Cambodia",,Q14846918,,Khan Chamkar Mon
Chamka,Chamkar Leu District,Q4930163,1,0,1,district of Cambodia,Chamkar Leu,Q14846918,,Chamkar Leu district
Chamka,Chamkaur Dhaliwal Singh,Q123457237,1,0,1,Singaporean athletics competitor (born 1973),,Q5,,
Yazva,Yazva,Q1499030,2,0,1,"river in Perm Krai, Russia",Yaz'va,Q4022|Q1959314,,Yazva
Yazva,Komi-Yazva,Q2365210,2,0,1,language,Komi-Yodzyak language|Komi-Yodz language|Komi-Yazva language|Komi-Yodzyak|Komi-Yodz|Yazva,Q34770,Q36126|Q56318,Komi-Yazva language
Yazva,Yazva,Q84936,2,0,1,"river in Ivanovo Oblast, Russia",,Q4022,,
Yazva,Yazva,Q34960622,2,0,1,"river in Pskov Oblast, Russia",,Q4022,,
Yazva,Yazvac,Q37081294,2,0,1,family name,,Q101352,,
Remza,Remza,Q119556703,3,0,1,family name,,Q101352,,
Remza,Remza,Q484316,3,0,1,"river in Kirov Oblast, Russia",,Q4022,,
Remza,Remza,Q108548685,3,0,1,female given name,,Q11879590,,
Remza,Remza Koščević,Q140761379,3,0,1,ISNI: 0000 0000 2324 8800; LC: n82128057; http://viaf.org/viaf/50578482/,,Q5,,
Remza,Remzavod,Q65146617,3,0,1,,,Q4835091,,
Remza,Rémy,Q8230547,3,0,2,male given name,Rémy (given name)|Rémy (first name),Q12308941,,
Remza,Rémy,Q1029669,3,0,2,"commune in Pas-de-Calais, France",,Q484170,,"Rémy, Pas-de-Calais"
Remza,Remy,Q37526516,3,0,2,family name,,Q101352,,
Remza,Remy,Q1386960,3,0,2,"commune in Oise, France",,Q484170,,"Remy, Oise"
Remza,Remy,Q20893352,3,0,2,male given name,Remy (first name)|Remy (given name),Q12308941,,
Remza,Remy,Q22977134,3,0,2,female given name,,Q11879590,,
Remza,Saint Remigius,Q367208,3,0,2,French archbishop and saint,Rémi|Remy|St. Remigius,Q5,,Saint Remigius
Remza,Rémy,Q24698849,3,0,2,family name,,Q101352,,Rémy (name)
Remza,Remy,Q108704965,3,0,2,owner/creator of the album amicorum of Remy,,Q5,,
Remza,Remy,Q14855199,3,0,2,Dutch musician,Remy Stroomer,Q5,,
Remza,Rémy Martin,Q1061948,3,0,2,French rugby union player,Remy Martin,Q5,,Rémy Martin (rugby union)
Remza,Rémy Martin,Q697958,3,0,2,French spirits maker,Remy Martin,Q43229,,Rémy Martin
Remza,Remy Martin,Q76432664,3,0,2,Filipino-American basketball player,רמי מקאספאק מרטין,Q5,,Remy Martin (basketball)
Remza,Rosa 'Remy Martin',Q83668976,3,0,2,rose cultivar,Remy Martin,Q26817508,,
Remza,Remy Hamilton,Q7312261,3,0,2,American football player (born 1974),Remy Martin Hamilton,Q5,,Remy Hamilton
Remza,Remy Ma,Q275437,3,0,2,American rapper,Reminisce Mackie|Reminisce Smith,Q5,,Remy Ma
Remza,Remy Pacifique,Q9385128,3,0,2,,Remy Martin (Far East) Limited|Remy Martin (Far East)|Remy Pacifique Limited,Q4830453,,
Remza,Rémy Martinot,Q65592267,3,0,2,French politician,,Q5,,
Remza,Rémy Martin,Q3456164,3,0,2,Wikimedia disambiguation page,,Q22808320,,
Remza,Rémy Martin,Q105855331,3,0,2,Wikimedia disambiguation page,,Q4167410,,Rémy Martin (disambiguation)
Zhuk,Zhukov Medal,Q1986005,4,0,1,medal of Russia,,Q18328097|Q131647,,Medal of Zhukov
Zhuk,Zhuk,Q25114456,4,0,1,family name,Жук,Q101352|Q2635283,,Zhuk (surname)
Zhuk,Zhuk,Q483851,4,0,1,"river in Kirov Oblast, Russia",,Q4022,,
Zhuk,Zhukovsky,Q136435,4,0,1,"city in Moscow Region, Russia","Zhukovskiy|Zhukovskii (Moscow, Russia)",Q486972|Q7930989|Q56061,,"Zhukovsky, Moscow Oblast"
Zhuk,Zhukovsky Air Force Engineering Academy,Q1934904,4,0,1,Russian Air Force academy for training engineer personnel,,Q176799|Q2385804|Q917182|Q55097243|Q96086516,,Zhukovsky Air Force Engineering Academy
Zhuk,Central Aerohydrodynamic Institute,Q190414,4,0,1,Russian aerospace research centre,Zhukovsky Central Aerohydrodynamic Institute|TsAGI|ЦАГИ|Центральный аэрогидродинамический институт,Q31855|Q2085381|Q13226383,,Central Aerohydrodynamic Institute
Zhuk,Zhukov,Q17060691,4,0,1,family name (Жуков),Joukov|Жуков,Q101352,,Zhukov (surname)
Zhuk,Zhukova,Q77444279,4,0,1,family name,,Q101352,,
Zhuk,Zhukowskia,Q3906139,4,0,1,genus of plants,,Q16521,,Zhukowskia
