data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Paine House,Ruth Paine Home,Q22024486,0,0,1,"house in Irving, Texas, United States",Bratcher House|Paine House,Q3947,,Ruth Paine Home
Paine House,Paine House,Q2046449,0,0,1,"historic house at 7 Station Street in the village of Washington in the town Coventry, Rhode Island",Paine House Museum,Q2087181,,"Paine House (Coventry, Rhode Island)"
Paine House,Paine House,Q16896345,0,0,1,"NRHP historic house in Xenia, Illinois, United States",,Q3947,,"Paine House (Xenia, Illinois)"
Paine House,Greenwood Farm,Q5605017,0,0,1,"building in Massachusetts, United States",The Paine House at Greenwood Farm|Paine House at Greenwood Farm|Paine-Dodge House|Paine-Dodge,Q473972|Q41176,,"Greenwood Farm (Ipswich, Massachusetts)"
Paine House,Paine House,Q16463079,0,0,1,Wikimedia disambiguation page,,Q4167410,,Paine House
Andalusia,Andalusia,Q5783,1,0,1,autonomous community of Spain,Andalucía|Andalucia,Q10742,,Andalusia
Andalusia,Andalusia,Q489765,1,0,1,"city in Covington County, Alabama, USA","Andalusia, Alabama|Andalusia, AL|New Site, Alabama|New Site, AL",Q1093829|Q62049,,"Andalusia, Alabama"
Andalusia,Andalusian Institute of Historical Heritage,Q5917182,1,0,1,"institution for heritage protection in Andalusia, Spain",Andalusian Heritage Institute|Andalusian Institute for Historical Heritage,Q130369075|Q1188075|Q27031016|Q27032095|Q17990971,,
Andalusia,Andalusian Notaries Association,Q100563273,1,0,1,regulatory college in Spain,,Q29901574,,
Andalusia,Andalusia,Q4753513,1,0,1,"historic neighborhood and census-designated place in Bensalem Township, Bucks County, Pennsylvania","Andalusia, Pennsylvania|Andalusia, PA",Q17343829|Q498162,,"Andalusia, Pennsylvania"
Andalusia,Andalusia,Q4753517,1,0,1,"historic farm in Georgia, USA; home of Flannery O'Connor",Flannery O'Connor-Andalusia Foundation|Andalusia Farm,Q188913|Q2087181,,"Andalusia (Milledgeville, Georgia)"
Andalusia,South Alabama Regional Airport,Q7565932,1,0,1,"airport in Alabama, United States of America",Bill Benton Field|Andalusia-Opp Airport|Andalusia,Q1248784,,South Alabama Regional Airport
