data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Mercedes,Mercedes,Q255209,0,0,1,female given name,Mercedes (first name)|Mercedes (given name),Q11879590,,Mercedes (name)
Mercedes,Mercedes-Benz,Q36008,0,0,1,German automobile brand owned by Mercedes-Benz AG,Mercedes Benz,Q10429667|Q4830453,,Mercedes-Benz
Mercedes,Mercedes,Q844914,0,0,1,city in Uruguay,,Q515,,"Mercedes, Uruguay"
Mercedes,Mercedes,Q1027041,0,0,1,"city in Buenos Aires Province, Argentina","Mercedes, Buenos Aires",Q515|Q1901835,,"Mercedes, Buenos Aires"
Mercedes,Mercedes,Q27103103,0,0,1,family name,,Q101352,,
Mercedes,Mercedes,Q356734,0,0,1,municipality of the Philippines in the province of Camarines Norte,"Mercedes, Camarines Norte",Q24764,,"Mercedes, Camarines Norte"
Mercedes,Mercedes,Q314129,0,0,1,municipality of the Philippines in the province of Eastern Samar,"Mercedes, Eastern Samar",Q24764,,"Mercedes, Eastern Samar"
Mercedes,Mercedes train station,Q5413625,0,0,1,train station in Argentina,Estacion Mercedes Sarmiento|Mercedes train station Sarmiento|Mercedes Sarmiento train station,Q55488,,
Mercedes,Mercedes,Q6818169,0,0,1,genus of insects,,Q16521,,
Mercedes,Mercedes-Benz Group,Q27530,0,0,1,German automotive manufacturer,Daimler Chrysler|Daimler Benz|Daimler-Benz|DaimlerChrysler|Daimler|Daimler AG|MBG,Q786820|Q6881511|Q4830453|Q43229|Q891723,,Mercedes-Benz Group
Mercedes,Mercedes-Benz AG,Q76754241,0,0,2,German car manufacturer,Mercedes-Benz|Mercedes Benz AG,Q786820|Q4830453,,
Mercedes,Daimler-Benz AG,Q541477,0,0,2,"1926-1998 automotive and engine manufacturer in Germany, later restructured and renamed; best-known products being the Mercedes-Benz cars",Mercedes-Benz,Q786820|Q936518|Q891723|Q98579904|Q43229,,Daimler-Benz
Mercedes,Mercedes-Benz buses,Q1427345,0,0,2,German manufacturer of buses and coaches,Mercedes-Benz,Q431289|Q2005696,,Mercedes-Benz buses
Mercedes,Caesars Superdome,Q756452,0,0,2,"domed stadium in New Orleans, Louisiana, USA",Louisiana Superdome|Superdome|New Orleans Superdome|Mercedes-Benz Superdome,Q1763828|Q483110,,Caesars Superdome
Mercedes,MHPArena,Q152349,0,0,2,"football stadium in Stuttgart, Germany",Neckarstadion|Gottlieb-Daimler-Stadion|Mercedes-Benz Arena|MHP-Arena|MHP Arena|Stuttgart Arena,Q483110|Q1154710,,MHPArena
Mercedes,Mercedes-Benz Stadium,Q7007552,0,0,2,"stadium in Atlanta, Georgia, U.S.",New Falcons Stadium|New Atlanta Stadium,Q483110|Q1049757,,Mercedes-Benz Stadium
Mercedes,Mercedes F1 Team,Q172721,0,0,2,auto racing team,Mercedes Formula One team|Mercedes-AMG Petronas F1 Team|Mercedes-Benz Grand Prix|BRAWN GP LIMITED|HONDA GP LIMITED|BAR HONDA GP LIMITED|BARGP LIMITED|BRITISH AMERICAN RACING GP LIMITED|BRITISH AMERICAN RACING GRAND PRIX LIMITED|TYRRELL RACING ORGANISATION LIMITED,Q10497835|Q4830453|Q43229,,Mercedes AMG F1
Mercedes,Mercedes-Benz Citaro G,Q1175998,0,0,2,,Mercedes-Benz O 530 G|Citaro G,Q23039057,Q1078334|Q654749,
Mercedes,Mercedes-Benz AMG Vision Gran Turismo,Q17221157,0,0,2,car model,,Q3231690,Q850270,Mercedes-Benz AMG Vision Gran Turismo
Mercedes,Mercedes-Benz AMG C-Class DTM,Q1155910,0,0,2,racing car model,W203|Mercedes-Benz AMG C-Class W203 DTM,Q3231690,,Mercedes-Benz AMG C-Class DTM (W203)
Mercedes,Mercedes-Benz AMG C-Class DTM,Q133269933,0,0,2,,,,,Mercedes-Benz AMG C-Class DTM (W204)
Mercedes,Mercedes-AMG GT,Q18011551,0,0,2,sports car manufactured by Mercedes-AMG as a successor to the SLS AMG,,Q59773381,,Mercedes-AMG GT
Mercedes,Maybach Exelero,Q843163,0,0,2,high-performance unique sports car,Exelero s,Q3231690,Q850270,Maybach Exelero
Maslog,Maslog,Q314096,1,0,1,municipality of the Philippines in the province of Eastern Samar,,Q24764,,Maslog
Maslog,Maslog,Q130484482,1,0,1,family name,,Q101352,,
Maslog,Maslog,Q28968203,1,0,1,"barangay in Tabogon, Cebu",,Q61878,,
Maslog,Maslog,Q28865509,1,0,1,"barangay in Danao, Cebu",,Q61878,,
Maslog,Maslog,Q28131813,1,0,1,"barangay in Balilihan, Bohol",,Q61878,,
Llorente,Llorente,Q314070,2,0,1,municipality of the Philippines in the province of Eastern Samar,,Q24764,,"Llorente, Eastern Samar"
Llorente,Llorente,Q30416755,2,0,1,family name,,Q101352,,
Llorente,Javier Llorente Merino,Q113028949,2,0,1,particle physicist,J. Llorente Merino|Llorente Merino J|J Llorente Merino,Q5,,
Llorente,Llorente,Q3835738,2,0,1,"district in Flores canton, Heredia province, Costa Rica",Llorente District|Llorente de Flores,Q2292572,,Llorente District
Llorente,Llorente,Q21475983,2,0,1,,,Q8502,,
Llorente,Llorente,Q23861574,2,0,1,article in Otto's encyclopedia,,Q13433827,,
Llorente,Jorge E. Llorente-Bousquets,Q21339651,2,0,1,Mexican entomologist,Llorente-Bousquets|J. E. Llorente-Bousquets|Jorge Llorente Bousquets|Jorge Llorente|Jorge Enrique Llorente-Bousquets|Jorge Llorente-Bousquets,Q5,,
Llorente,LLYC,Q17144027,2,0,1,,Llorente & Cuenca,Q4830453,,
Llorente,Fernando Llorente,Q187891,2,0,1,Spanish association football player,Fernando Javier Llorente Torres,Q5,,Fernando Llorente
Llorente,Llorente River,Q35335349,2,0,1,"stream in Eastern Samar, Philippines",,Q47521,,
