data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Monteegro,,,0,0,0,,,,,
CapeVerde,Capeverdean Creole-English dictionary,Q111040430,1,0,1,,,Q3331189,,
CapeVerde,Capeverdean Basketball League,Q131443304,1,0,1,basketball league,,Q18536323,,Capeverdean Basketball League
CapeVerde,Cape Verde,Q1011,1,0,2,sovereign state comprising ten islands off the Western coast of Africa,Republic of Cape Verde|Republic of Cabo Verde|Cape Verde Islands,Q3624078|Q112099|Q6256|Q11815167,,Cape Verde
CapeVerde,Portuguese Cape Verde,Q3023340,1,0,2,former colony of the Portuguese Empire in the Cape Verde Islands,Cape Verde,Q133156|Q333542,,Portuguese Cape Verde
CapeVerde,Cape Verde Archipelago,Q115212222,1,0,2,"archipelago part of Macaronesia, in the Atlantic Ocean",Cape Verde,Q33837,,
CapeVerde,Cape Verde,Q3658151,1,0,2,promontory and extremity on the rim of Victoria Crater on Mars,,,,Cape Verde (Mars)
CapeVerde,Cape Verde men's national football team,Q330039,1,0,2,men's national association football team representing Cape Verde,Tubarões Azuis|Cape Verde national soccer team|Cape Verdean national soccer team|Cape Verdean national football team|Cape Verde national football team,Q135408445,Q1194951,Cape Verde national football team
CapeVerde,Cape Verdean Creole,Q35963,1,0,2,Portuguese-based creole language spoken in Cape Verde,Kabuverdianu|Kriolu|kea|Cape Verdean Portuguese|Cape Verde Portuguese,Q33289|Q1288568,Q14507109,Cape Verdean Creole
CapeVerde,UTC−01:00,Q6540,1,0,2,Identifier for a time offset from UTC of −1,Cape Verde Time,Q17272482,,UTC−01:00
CapeVerde,Cape Verdeans,Q19903733,1,0,2,citizens or residents of Cabo Verde,Cabo Verdeans|Cape Verdians,Q22947|Q33829,Q1075929|Q1258241|Q99764696|Q122974170,Cape Verdeans
CapeVerde,flag of Cape Verde,Q102944,1,0,2,national flag of the Republic of Cape Verde,Cape Verde flag,Q186516,,Flag of Cape Verde
CapeVerde,Cape Verdean escudo,Q4591,1,0,2,currency of the Republic of Cape Verde,Cape Verde escudo,Q8142|Q745316,,Cape Verdean escudo
CapeVerde,Cape Verde Islands,Q31878253,1,0,2,Island group in Cape Verde,,Q1402592,,
CapeVerde,Cape Verde Islands dry forests,Q8251110,1,0,2,terrestrial ecoregion in Cape Verde,,Q295469|Q6617741,,Cape Verde Islands dry forests
CapeVerde,Cape Verde Islands Dry Forests Ecoregion,Q124366551,1,0,2,One Earth Ecoregion,,Q124221947,,
CapeVerde,Cape Verde Islands Vital Records Index - FamilySearch Historical Records,Q94421605,1,0,2,,,Q60474998,,
CapeVerde,CAPE VERDE ISLANDS. (FURTHER AIDS FOR THE STUDY OF THEIR DEMOGRAPHIC EVOLUTION IN THE DECADE 1951-1960),Q76513432,1,0,2,scientific article published on 01 August 1963,,Q13442814,,
CapeVerde,Cape Verde Islands. 10 years of demographic evolution,Q79070690,1,0,2,scientific article published on 01 June 1962,,Q13442814,,
CapeVerde,Cape Verde Islands,Q25394989,1,0,2,Wikimedia disambiguation page,,Q4167410,,
Cambodla,Cambodia,Q424,2,0,2,country in Southeast Asia,Kingdom of Cambodia|kh|Kampuchea|Camboya|Campuchia|Kamboja|Kambodzha,Q3624078|Q6256|Q1250464,,Cambodia
Cambodla,Mohammed Haruna,Q111542949,2,0,2,former Northern Regional Education Director,Cambodia,Q5,,
Cambodla,Zhenla,Q1057118,2,0,2,former country,Isanapura Kingdom|Chen-la|Chen La|Chenla Kingdom|Kingdom of Chenla|Chenla|Zhen-la|Zhen La|Zhenla Kingdom|Kingdom of Zhenla|Isanapura|Kingdom of Isanapura|Cambodia|Kingdom of Cambodia,Q3024240,,Chenla
Cambodla,Khmer,Q9205,2,0,2,Austroasiatic language of Cambodia,Khmer language|Cambodian language|Central Khmer,Q34770|Q1288568,Q3217495|Q337657,Khmer language
