data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Koolyanobbing,Koolyanobbing,Q6430647,0,0,1,town in Western Australia,"Koolyanobbing, Western Australia|Koolyanobbing, Western Australia, Australia",Q3957,,"Koolyanobbing, Western Australia"
Koolyanobbing,Koolyanobbing,Q21958229,0,0,1,mine in Western Australia,,Q820477,,
Koolyanobbing,KOOLYANOBBING,Q123620747,0,0,1,"weather station in Western Australia, Australia from 1967",012227,Q190107,,
Koolyanobbing,"Koolyanobbing railway station, Western Australia",Q135424394,0,0,1,station in Western Australia on the Eastern Goldfields Railway,Koolyanobbing Halt,Q55488,,
Koolyanobbing,Koolyanobbing Range,Q21888745,0,0,1,mountain in Australia,,Q46831,,
Koolyanobbing,Acacia haematites,Q65930173,0,0,1,plant endemic to Western Australia,Koolyanobbing ironstone wattle,Q16521,,Acacia haematites
Koolyanobbing,Koolyanobbing Hill,Q21962850,0,0,1,mountain in Australia,,Q8502,,
Koolyanobbing,Koolyanobbing Hall,Q45920307,0,0,1,"former cinema in Koolyanobbing, Western Australia, Australia",,Q41253,,
Koolyanobbing,Koolyanobbing siding,Q135424316,0,0,1,rail siding on the Eastern Goldfields Railway in Western Australia,,Q10667400,,
Koolyanobbing,Ballast Pit siding (Koolyanobbing),Q135424492,0,0,1,"former rail siding on the Eastern Goldfields Railway, Western Australia",Koolyanobbing Ballast Pit siding,Q10667400,,
Kitchener,Kitchener,Q37058577,1,0,1,family name,,Q101352,,Kitchener (surname)
Kitchener,Kitchener,Q111048096,1,0,1,given name,,Q202444,,
Kitchener,Kitchener,Q200166,1,0,1,"city in Ontario, Canada","Kitchener, Ontario|Kitchener, ON",Q515|Q15210668|Q1549591,,"Kitchener, Ontario"
Kitchener,Darrell John Kitchener,Q3702819,1,0,1,Australian zoologist,Darrell J. Kitchener|Kitchener|D.J. Kitchener,Q5,,Darrell Kitchener
Kitchener,The Battle of the Somme,Q2662754,1,0,1,1916 film by Geoffrey H. Malins,Battle of the Somme|Kitchener's Great Army in the Battle of the Somme,Q11424,,The Battle of the Somme (film)
Kitchener,Kitchener,Q3197574,1,0,1,"former federal electoral district in Ontario, Canada (1968–1997)",,Q17202187|Q6593031,,Kitchener (federal electoral district)
Kitchener,Kitchener railway station,Q3096696,1,0,1,"railway station in Kitchener, Ontario, Canada",Kitchener station|Kitchener GO Station|Kitchener Train Station|Kitchener GO,Q55488,,Kitchener station
Kitchener,Kitchener,Q6418024,1,0,1,"town in New South Wales, Australia","Kitchener, New South Wales|Kitchener, New South Wales, Australia",Q3957|Q3257686,,"Kitchener, New South Wales"
Kitchener,Kitchener Rangers,Q965480,1,0,1,ice hockey team,,Q4498974,,Kitchener Rangers
Kitchener,Kitchener Memorial Auditorium Complex,Q6418047,1,0,1,"a multi-use municipally-owned facility in Ontario, Canada",,Q1076486,,Kitchener Memorial Auditorium Complex
Kitchener,Regional Municipality of Waterloo,Q175735,1,0,2,regional municipality in Ontario,Region of Waterloo|Waterloo Region,Q14762890,,Regional Municipality of Waterloo
Kitchener,Waterloo Region District School Board,Q69406620,1,0,2,"school board in Ontario, Canada",WRDSB|John Darling Public School,Q399541|Q15726214,,Waterloo Region District School Board
Kitchener,Waterloo Region Record,Q7974268,1,0,2,"daily newspaper in Waterloo Region, Canada",Kitchener-Waterloo record|The Waterloo Region Record,Q1110794,,Waterloo Region Record
Kitchener,Waterloo Regional Airport,Q5927971,1,0,2,"airport in Iowa, United States of America",Livingston Betsworth Field|ALO|KALO,Q1248784|Q94993988,,Waterloo Regional Airport
Kitchener,2018 Waterloo Region municipal elections,Q55138387,1,0,2,,"Waterloo Region municipal elections, 2018",Q152450,,2018 Waterloo Region municipal elections
Kitchener,2014 Waterloo Region municipal elections,Q17102122,1,0,2,,"Waterloo Region municipal elections, 2014",Q40231,,2014 Waterloo Region municipal elections
Kitchener,Waterloo Region Museum,Q116529204,1,0,2,Archives for the Waterloo Region Museums,,Q166118,,
Kitchener,Waterloo Regional Road 15,Q7974272,1,0,2,"known as King Street in Waterloo Region, Ontario, Canada",,,,"King Street, Waterloo Region"
Kitchener,Waterloo Regional Police Service,Q7974271,1,0,2,law enforcement agency,,Q732717,,Waterloo Regional Police Service
Kitchener,2010 Waterloo Region municipal elections,Q7974270,1,0,2,,"Waterloo Region municipal elections, 2010",Q40231,,2010 Waterloo Region municipal elections
Kitchener,City of Kitchener v. Robe and Clothing Company,Q125284274,1,0,2,case from the Supreme Court of Canada,,Q19930933,,
Kitchener,City of Kitchener Municipal Heritage Register,Q131383432,1,0,2,"register for municipal heritage sites in Kitchener, Ontario",,Q19386377|Q15097084,,
King River,Kings River,Q1264687,2,0,1,"river in Kings, Fresno, and Tulare counties in California, United States",El Rio De Los Reyes|El Rio De Los Santos Reyes|King River|King's River|Lake Fork|Rio De Reyes|Rio Reyes|Rio de los Santos Reyes|River of the Lake|Wilmilche|Wim-mel-che|Wimmilche River|Winmiche River|Kings River (California),Q4022,,Kings River (California)
King River,King River,Q1742075,2,0,1,"river in Western Tasmania, Australia","King River, Tasmania|King River, Tas",Q4022,,King River (Tasmania)
King River,King River,Q1000787,2,0,1,"river in the Northern Territory, Australia",King River Northern Territory,Q4022,,King River (Northern Territory)
King River,King River,Q1742080,2,0,1,river in Victoria (Australia),"King River, Victoria",Q4022,,King River (Victoria)
