data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Aquila X-1,Aquila X-1,Q60788436,0,0,1,star in the constellation Aquila,2XMM J191115.9+003506|X Aql X-1,Q4360|Q2154519|Q6243|Q67206691|Q1407562|Q71962386,,Aquila X-1
Aquila X-1,Aquila X-1,Q68330078,0,0,1,scientific article published in January 2002,,Q13442814,,
Aquila X-1,Aquila X-1 from Outburst to Quiescence: The Onset of the Propeller Effect and Signs of a Turned-on Rotation-powered Pulsar,Q63644671,0,0,1,,,Q13442814,,
Aquila X-1,Aquila X-1: a low-inclination soft X-ray transient,Q68565858,0,0,1,scientific article published in January 1998,,Q13442814,,
Aquila X-1,Aquila X-1 in outburst and quiescence,Q68252433,0,0,1,scientific article published in 1999,,Q13442814,,
Aquila X-1,Aquila X-1 active again,Q68321700,0,0,1,,,Q13442814,,
Aquila X-1,Aquila X-1 still bright optically,Q68373414,0,0,1,,,Q13442814,,
Aquila X-1,Aquila X-1 in weak outburst,Q68195854,0,0,1,scholarly article,,Q13442814,,
Aquila X-1,Aquila X-1 optical rise,Q68439172,0,0,1,scholarly article,,Q13442814,,
Aquila X-1,Aquila X-1 outburst,Q68391179,0,0,1,,,Q13442814,,
Aquila X-1,X-1,Q223365,0,0,2,1946 experimental aircraft model by Bell,Bell X-1,Q15056995,Q1384417|Q849237|Q756069,Bell X-1
Aquila X-1,X 1,Q121127013,0,0,2,,,Q4818021,,
Aquila X-1,X 18+,Q26708080,0,0,2,Australian Classification media rating: restricted to 18 and over (for pornographic films),ACB X 18+|OFLC X 18|Restricted|ACB X18+|OFLC X18+|X18+,Q26708074|Q11495366|Q123337487,,
Aquila X-1,X-15 Alpha Mission,Q2004589,0,0,2,1986 video game,,Q7889,,
Aquila X-1,X-15,Q221269,0,0,2,1959 experimental aircraft model by North American Aviation and NASA,North American X-15|X15,Q15056995|Q42889,Q1384417|Q7631769,North American X-15
Aquila X-1,X-1,Q76347267,0,0,2,print in the National Gallery of Art (NGA 137060),,Q11060274,,
Aquila X-1,X 100pre,Q60153361,0,0,2,2018 studio album by Bad Bunny,,Q482994,,X 100pre
Aquila X-1,SM-65B Atlas,Q1129316,0,0,2,prototype of the Atlas missile,Atlas B|X-12,Q18487055|Q207977,Q7578232|Q15078724,SM-65B Atlas
Aquila X-1,X-17,Q120979463,0,0,2,2016 video game,,Q7889,,
Aquila X-1,XA-21,Q2335367,0,0,2,attack aircraft prototype by Stearman,Stearman XA-21|XA21|Experimental Attack Design 21|Stearman X-100|Model X-100|X-100|X100,Q15056995,Q69527046,Stearman XA-21
Aquila X-1,Aquila,Q10586,0,0,2,constellation on the celestial equator,Aql|Aquilae,Q8928,,Aquila (constellation)
Aquila X-1,Aquila,Q30085,0,0,2,genus of birds,true eagles,Q16521,,Aquila (bird)
Aquila X-1,Aquila,Q16147683,0,0,2,family name,,Q101352,,Aquila (name)
Aquila X-1,Aquila,Q21069234,0,0,2,male given name,Aquila (first name)|Aquila (given name),Q12308941,,
Aquila X-1,L'Aquila,Q3476,0,0,2,"Italian city, capital of the Abruzzo region and of the Province of L'Aquila",Aquila degli Abruzzi|Aquila,Q747074|Q515,,L'Aquila
Aquila X-1,Aquila,Q1481262,0,0,2,unfinished Italian aircraft carrier,,Q17205|Q30620203,,Italian aircraft carrier Aquila
Aquila X-1,Alquila Municipality,Q3847312,0,0,2,"municipality in the State of Michoacan, Mexico",Aquila,Q1952852,,"Aquila, Michoacán"
Aquila X-1,Aquilaria sinensis,Q716542,0,0,2,species of plant,incense tree,Q16521,,Aquilaria sinensis
Aquila X-1,Golden Eagle,Q41181,0,0,2,species of bird of prey,Aquila chrysaetos,Q16521,,Golden eagle
Aquila X-1,Province of L'Aquila,Q16189,0,0,2,province of Italy,Aquila province|L'Aquila province|provincia dell'Aquila|provincia di Aquila,Q15089,,Province of L'Aquila
Aquila X-1,spacecraft,Q40218,0,0,2,vehicle or machine designed to fly in space,spaceship|space ship|space craft|space-ship|space-craft|orbital vehicle|space vessel,Q140424465|Q140172580,Q7194062|Q16391167|Q4235019,Spacecraft
Aquila X-1,SpaceCraft,Q131398384,0,0,2,video game,,Q7889|Q64170203,,
Aquila X-1,spacecraft cemetery,Q2031530,0,0,2,area in the southern Pacific Ocean where spacecraft have been routinely deposited,spacecraft graveyard|South Pacific Ocean Uninhabited Area,Q55637013|Q106690126,,Spacecraft cemetery
Aquila X-1,spacecraft commander,Q11077692,0,0,2,"astronaut/cosmonaut responsible for overall mission success, safety of crew and spacecraft, and maneuvering",commander|command pilot|mission commander|captain|spacecraft captain|space captain|space commander,Q4164871,Q11631|Q1146304|Q110996085,
Aquila X-1,spacecraft solar array,Q7556726,0,0,2,deployable solar cell panel on a spacecraft operating in the inner Solar System,solar panels on spacecraft|solar arrays on spacecraft|satellite solar panel|satellite solar array|spacecraft solar panel,,Q217941|Q5260670|Q111518433,Solar panels on spacecraft
Aquila X-1,space instrument,Q100349043,0,0,2,instrument deployed in space,spacecraft instrument|space instrumentation,,Q3099911|Q21211206,
Aquila X-1,spacecraft bus,Q372881,0,0,2,"general model on which multiple-production spacecraft are often based; infrastructure of a spacecraft, usually providing locations for the payload (typically space experiments or instruments); service module section of a spacecraft",satellite platform|satellite bus,,Q15607934|Q111518433,Satellite bus
Aquila X-1,spacecraft constellation,Q967145,0,0,2,group of spacecraft working together as a system,satellite constellation,Q994895,Q113255208,Satellite constellation
