data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Wilberorce,,,0,0,0,,,,,
oar,Oar,Q10802255,1,0,1,genus of insects,,Q16521,,
oar,Oar,Q1222899,1,0,1,1969 debut solo studio album by Skip Spence,,Q482994,,Oar (album)
oar,oar,Q2003749,1,0,1,implement used for water-borne propulsion,,,Q43399738|Q2583685,Oar
oar,rower,Q13382576,1,0,1,sportsperson taking part in rowing competitions,oarsman|oarswoman|sculler,Q12737077,Q26270618|Q2066131|Q2891167,Rower
oar,island,Q23442,1,0,1,piece of sub-continental land completely surrounded by water,isle|islands,Q25894868,Q271669|Q205895|Q2221906|Q17334923,Island
oar,Oar Island,Q24853556,1,0,1,"island in Pandeglang Regency, Banten Province, Indonesia",Oar,Q207524,,
oar,O.A.R.,Q134462151,1,0,1,postnominal letters denoting membership of the Roman Catholic Order of Augustinian Recollects,OAR,Q134539932,Q1964223,
oar,Olympic Athletes from Russia at the 2018 Winter Olympics,Q28155263,1,0,1,designation for the delegation of Russian competitors since the Winter Olympic Games in 2018 at Pyeongchang,Russia at the 2018 Winter Olympics|OAR|Olympic Athlete from Russia,Q26213387|Q3337001,,Olympic Athletes from Russia at the 2018 Winter Olympics
oar,Order of Augustinian Recollects,Q2067827,1,0,1,mendicant Catholic religious order of friars and nuns,O. A. R.|O.A.R.|OAR|Augustinian Recollects|Recollects,Q28653|Q225446,,Order of Augustinian Recollects
oar,Ōarai-machi,Q1349185,1,0,1,"town in Higashiibaraki District, Ibaraki Prefecture, Japan",Oarai Town|Oarai-machi|Ōarai|Oarai,Q1059478,,"Ōarai, Ibaraki"
oar,boat,Q35872,1,0,2,smaller watercraft,boats,Q16335899|Q16103215,Q1229765|Q42889,Boat
oar,boat racer,Q11598549,1,0,2,one who races boats,,Q28640,Q137221010,
oar,boat,Q1683601,1,0,2,category of heraldic charges,ship in heraldry|boats in heraldry,,Q3744866|Q3744877,
oar,water transport,Q155930,1,0,2,"transportation on water surface (sea, lake, river, ...) or through water entity, using watercrafts",ship transportation|boat transportation|transport by boat|boat travel|transport by water|shipping|nautical transport|maritime transport|water transportation|marine transport|marine transportation|marine shipping|maritime shipping,Q334166,Q7590|Q1914636|Q137391662,Maritime transport
oar,Boat,Q123006997,1,0,2,2003 vocal track by Lemon Demon,,Q55850593,,
oar,Boat,Q138844331,1,0,2,painting by Konstantinos Volanakis,,Q3305213,,
oar,ATXN1L,Q18055501,1,0,2,protein-coding gene in the species Homo sapiens,BOAT|BOAT1|ataxin 1 like,Q7187,Q20747295,Ataxin 1 like
oar,shipyard,Q190928,1,0,2,place where ships are repaired and built,"dockyard|dockyards|shipyards|shipyards, dockyards|boat yard|boatyard",,Q360418|Q4830453|Q329683|Q113542562|Q43229|Q83405,Shipyard
oar,Boateng,Q51099607,1,0,2,family name,,Q101352,,Boateng
oar,sinking,Q30880545,1,0,2,event in which a watercraft sinks beneath the surface of the water to the bottom,ship sinking|sunk|boat sinking,Q14904124,Q906512|Q57054064|Q2620513|Q2071964,
Leasiqgham,,,2,0,0,,,,,
Sunbry,,,3,0,0,,,,,
Anel Fire,,,4,0,0,,,,,
Rijtuen,,,5,0,0,,,,,
Dssens,,,6,0,0,,,,,
Gordo,Gordon,Q18402571,7,0,1,male given name,Gordon (given name)|Gordon (first name),Q12308941,,Gordon (given name)
Gordo,Gordo,Q28147615,7,0,1,male given name,,Q12308941,,
Gordo,Gordon,Q2701900,7,0,1,family name,,Q101352,,Gordon (surname)
Gordo,Gordon Watts,Q79882797,7,0,1,physicist,SeattleGordon|Gordon Thomas Watts,Q5,,
Gordo,Gordon Douglas Rowley,Q1416264,7,0,1,botanist and writer (1921-2019),G.D.Rowley|Gordon Rowley|Gordon D. Rowley,Q5,,Gordon Rowley
Gordo,Sting,Q483203,7,0,1,British musician (born 1951),Gordon Matthew Thomas Sumner|Gordon Sumner|G.M. Sumner,Q5,,Sting (musician)
Gordo,Gordon Parks,Q365682,7,0,1,"American photographer, musician, writer and film director (1912–2006)",Gordon Alexander Buchanan Parks|Gordon Alexander Parks|Gordon A. Parks,Q5,,Gordon Parks
Gordo,Gordon Dougan,Q15994408,7,0,1,"English microbiologist, Principal Research Scientist at the Wellcome Trust Sanger Institute and Fellow of Wolfson College, Cambridge",,Q5,,Gordon Dougan
Gordo,Gordon Brown,Q10648,7,0,1,Prime Minister of the United Kingdom from 2007 to 2010,James Gordon Brown|J. Gordon Brown|HE Gordon Brown,Q5,,Gordon Brown
Gordo,Gordon Ball,Q113672959,7,0,1,researcher in particle physics,,Q5,,
Karcen,,,8,0,0,,,,,
Denamere,,,9,0,0,,,,,
oren,Oren,Q111171621,10,0,1,male given name,,Q12308941,,
oren,Oren,Q21491125,10,0,1,family name,,Q101352,,Oren
