data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
alabarnik,,,0,0,0,,,,,
Gaabarnika,,,1,0,0,,,,,
Galdbarnikd,,,2,0,0,,,,,
Galabarnjka,,,3,0,0,,,,,
Hemeikovata,,,4,0,0,,,,,
Hrsovska jaskyna,,,5,0,0,,,,,
Bankoves,,,6,0,0,,,,,
Stoyanvata peshtera,,,7,0,0,,,,,
Hermit cdve at Khao Ngu,Paguroidea,Q273291,8,0,2,superfamily of crustaceans,hermit crab|hermit crabs,Q16521,,Hermit crab
Hermit cdve at Khao Ngu,Anomura,Q526867,8,0,2,infraorder of crustaceans,hermit crabs,Q16521,,Anomura
Hermit cdve at Khao Ngu,Hermit Crab,Q56402959,8,0,2,short film directed by Kai Lehtinen,Erakkorapu,Q24862,,
Hermit cdve at Khao Ngu,Hermit Crab,Q125094265,8,0,2,decorative artwork (glass) by Tim Jerman,,Q631931|Q11469,,
Hermit cdve at Khao Ngu,The Hermit Crab Shell Exchange,Q114539482,8,0,2,episode of Wild Kratts (S3 E1),Hermit Crab Shell Exchange,Q21191270,,
Hermit cdve at Khao Ngu,hermit crab as food,Q124816662,8,0,2,flesh from hermit crabs,hermit crab flesh|hermit crab meat|coconut crab as food,,Q124746900,Coconut crab as food
Hermit cdve at Khao Ngu,Hermit Crab Islet,Q21924308,8,0,2,"island in Queensland, Australia",,Q23442,,
Hermit cdve at Khao Ngu,Hermit crab biocoenoses: a worldwide review of the diversity and natural history of hermit crab associates,Q56211383,8,0,2,article,,Q13442814,,
Hermit cdve at Khao Ngu,Hermit Crab Phylogeny: A Reappraisal and Its “Fall-Out”,Q54638164,8,0,2,scholarly article by Patsy A. McLaughlin et al published 1 January 2007 in Journal of Crustacean Biology,,Q13442814,,
Hermit cdve at Khao Ngu,Hermit crabs in a mangrove swamp: Clustering dynamics in Clibanarius laevimanus,Q122878004,8,0,2,scientific article published in 1992,,Q13442814,,
Kiao Chang Hai cave,Jiaozhou Bay Leased Territory,Q675321,9,0,2,German colonial territory in the Qing Empire (1898-1914),Kiao-chau|Kiaochow|Kiaochow Bay|Kiautschou Bay Leased Territory|Kiao-chau Bay Leased Territory|Kiautschou|Kiaochow Bay Leased Territory|Jiaozhou Bay|Jiaozhou|Kiao-chau Bay|German Jiaozhou|German Qingdao,Q1376651|Q133156,,Kiautschou Bay Leased Territory
Kiao Chang Hai cave,Kiao Inthavong,Q57056877,9,0,2,researcher,,Q5,,
Kiao Chang Hai cave,Qiáo,Q124565874,9,0,2,Chinese given name (喬 / 乔),喬|乔|Kiu|Kio|Khièu|Gièu|Kiâu|Khiâu|Khiôu|Kiao|Kiou,Q22809413|Q202444,,
Kiao Chang Hai cave,Jiaozhou Bay,Q489170,9,0,2,sea,Kiaochow Bay|Chiao-chou Bay|Kiaochow Wan|Chiao-chou Wan|Jiaozhou Wan,Q165|Q39594,,Jiaozhou Bay
Kiao Chang Hai cave,Jiaozhou Governor's Hall,Q6191928,9,0,2,building in China,Governor's Hall|Kiaochow Governor's Hall|Chiao-chou Governor's Hall|Kiautschou Governor's Hall,Q41176,,Kiautschou Governor's Hall
Kiao Chang Hai cave,Wipawan Kiaosanthie,Q88833754,9,0,2,botanist,Kiaos.,Q5,,
Kiao Chang Hai cave,Kiaone,Q15116575,9,0,2,,,Q23442,,Kiaone
Kiao Chang Hai cave,Kiaouadaeu,Q31790497,9,0,2,,,Q207326,,
Kiao Chang Hai cave,Kiaotschau und Schantung,Q62617577,9,0,2,"German article in Die Gartenlaube, 1898, no. 2",,Q191067,,
Kiao Chang Hai cave,Kiaora Creek,Q21910352,9,0,2,river in Australia,,Q4022,,
Kiao Chang Hai cave,Chang,Q36931387,9,0,2,family name,,Q101352,,
Kiao Chang Hai cave,Zhang,Q804909,9,0,2,family name (張),Cheung|Chang|Teo|Cho|Tio|Tie|Chong|Tiu|Tchang|Tiunn,Q1093580|Q101352,,Zhang (surname)
Kiao Chang Hai cave,Zheng,Q6583590,9,0,2,Chinese family name (鄭 / 郑),鄭|郑|Tsang|Tseng|Cheng|Chang|Cheang|Tenn|Tinn,Q1093580,,Zheng (surname)
Kiao Chang Hai cave,Chang,Q19962346,9,0,2,given name,,Q202444,,
Kiao Chang Hai cave,Chang,Q1595969,9,0,2,beer brand,Chang Classic,Q15075508,,Chang (beer)
Kiao Chang Hai cave,Chang,Q2240226,9,0,2,Chinese family name (),常|Seung|Cháng,Q1093580|Q101352,,Chang (surname)
Kiao Chang Hai cave,Jang,Q1078426,9,0,2,Korean family name (장),Chang|Jahng|Jhang|장|張|章|莊|蔣|Zang|Zahng,Q101352,,Jang (Korean surname)
Kiao Chang Hai cave,change,Q1150070,9,0,2,"process, event or action that deviates from the present state",changing,Q33104279,Q67518978,Change (philosophy)
Kiao Chang Hai cave,Chang,Q20085851,9,0,2,Korean given name element 창,창|Ch'ang,Q69680123|Q202444,,
Kiao Chang Hai cave,Changhui Peng,Q90663229,9,0,2,researcher (ORCID 0000-0003-2037-8097),,Q5,,
Kiao Chang Hai cave,Haiti,Q790,9,0,2,country in the Caribbean Sea,Republic of Haiti|ht|Hayti|Haitian Republic|Ayiti|HAI,Q3624078|Q112099|Q6256,,Haiti
Kiao Chang Hai cave,Haida,Q33303,9,0,2,endangered language spoken in Canada and Alaska,Haida language|X̱aat Kíl|Xaat Kíl|Xaat Kil|X̱aadas Kíl|X̱aayda Kil|Xaad kil,Q33742|Q152559|Q1288568,Q4200688,Haida language
Kiao Chang Hai cave,Hai,Q64210820,9,0,2,family name,,Q101352,,
Kiao Chang Hai cave,Hai,Q96081135,9,0,2,given name,,Q202444,,
Kiao Chang Hai cave,Hai,Q4131826,9,0,2,"village in Mahilioŭ district, Belarus",,Q65661087,,
Kiao Chang Hai cave,Hai,Q1568984,9,0,2,German midget submarine prototype,,Q634415|Q207977,,Hai (midget submarine)
Kiao Chang Hai cave,Hainichen,Q71123,9,0,2,municipality of Germany,"Hainichen, Saxony",Q42744322,,"Hainichen, Saxony"
Kiao Chang Hai cave,Hai,Q25198380,9,0,2,"village in Taliabu Island Regency, North Maluku, Indonesia",,Q26211545,,
Kiao Chang Hai cave,Haichen Wang,Q113303808,9,0,2,particle physicist at LBNL,,Q5,,
Kiao Chang Hai cave,Haidhausen,Q1569131,9,0,2,district of Munich,,Q253019|Q123705,,Haidhausen (Munich)
Teufelsloc,Teufelsloch,Q2407157,10,0,1,"sinkhole with a karst spring in the Harz Mountains of Germany near Osterode am Harz, Lower Saxony",,Q124714,,Teufelsloch (Teufelsbäder)
Teufelsloc,Teufelsloch,Q32750926,10,0,1,gap in Germany,,Q16887036,,
Teufelsloc,Teufelsloch,Q21862231,10,0,1,cave in Upper Austria,,Q35509,,
Teufelsloc,Teufelslöcher,Q18028445,10,0,1,natural arches in the Hochkönig Massif in Salzburg,,Q954501,,
Teufelsloc,Teufelsloch und Almosenwiese bei Steinau an der Straße,Q47464093,10,0,1,"nature reserve in Hesse, Germany",,Q759421|Q473972,,
Teufelsloc,Teufelsloch,Q56650043,10,0,1,"nature reserve in Bavaria, Germany",,Q759421|Q473972,,
Teufelsloc,Teufelsloch,Q1626024,10,0,1,,,Q188734,,
Teufelsloc,Teufelsloch-Kaltenwang,Q62026719,10,0,1,"nature reserve in Baden-Württemberg, Germany",,Q759421|Q473972,,
Teufelsloc,Teufelsloch,Q51349044,10,0,1,"cave near Timmenrode, Germany",,Q35509,,
Teufelsloc,Teufelsloch,Q30602891,10,0,1,,,Q740445,,
Teufelsloc,Teufelsloch,Q33407447,10,0,2,,,Q4421,,
Teufelsloc,Teufelsloch,Q64149203,10,0,2,,,Q35509,,
Teufelsloc,Teufelsloch,Q62604357,10,0,2,forest reserve in Germany,,Q445467,,
anchov pchelin,,,11,0,0,,,,,
Majorshöhle (C188) uod Höhlenruine (C189) N von Siegritzberg,Majorshöhle (C188) und Höhlenruine (C189) N von Siegritzberg,Q59214778,12,0,2,"Geotop in Landkreis Bayreuth in Bavaria, Germany",,Q35509|Q372363|Q21573182,,
Majorshöhle (C188) uod Höhlenruine (C189) N von Siegritzberg,Höhlenruine von Hunas,Q27971281,12,0,2,cave in Landkreis Nürnberger Land in Bavaria,,Q35509|Q839954|Q58270523|Q22969563,,
Majorshöhle (C188) uod Höhlenruine (C189) N von Siegritzberg,Siegritzberg,Q105848905,12,0,2,,,Q253019|Q532,,
opknot Cave,,,13,0,0,,,,,
Cueva Plácieo,,,14,0,0,,,,,
Skalen manastir Pragovet,Skalen manastir Pragovete,Q61869043,15,0,1,"cave in Krasen, Bulgaria",,Q35509,,
Prohodna nad Valchi skk,Prohodna Cave,Q3657889,16,0,2,cave in Bulgaria,Prohodna cave|eyes of god,Q35509|Q2232001,,Prohodna
Prohodna nad Valchi skk,Prohodna,Q58213848,16,0,2,"cave in Dryanovo, Bulgaria",,Q35509,,
Prohodna nad Valchi skk,Prohodna,Q61869103,16,0,2,"cave in Karlukovo, Bulgaria",,Q35509,,
Prohodna nad Valchi skk,Prohodna,Q60040149,16,0,2,,,Q35509,,
Prohodna nad Valchi skk,Prohodna,Q61870962,16,0,2,"cave in Lipnitsa, Bulgaria",,Q35509,,
Prohodna nad Valchi skk,Prohodna,Q61871164,16,0,2,"cave in Bozhevtsi, Bulgaria",,Q35509,,
Prohodna nad Valchi skk,Prohodna peshtera na terasata,Q61871092,16,0,2,"cave in Pepelina, Bulgaria",,Q35509,,
Prohodna nad Valchi skk,Prohodnata 129,Q61763555,16,0,2,"cave in gara Cherepish, Bulgaria",,Q35509,,
Prohodna nad Valchi skk,Prohodna po patekata,Q61762237,16,0,2,"cave in Krasen, Bulgaria",,Q35509,,
Prohodna nad Valchi skk,Prohodnata na Sokolets,Q61789832,16,0,2,"cave in Milanovo, Bulgaria",,Q35509,,
Prohodna nad Valchi skk,Valchid,Q843137,16,0,2,"village in Sibiu County, Romania",,Q532,,
Prohodna nad Valchi skk,Valchiria,Q4007541,16,0,2,female given name,,Q11879590,,
Prohodna nad Valchi skk,Valchica,Q14512457,16,0,2,genus of insects,,Q16521,,
Prohodna nad Valchi skk,Valchi dol,Q596101,16,0,2,"municipality in Varna oblast, Bulgaria",Valchi dol municipality,Q1906268,,Valchi Dol Municipality
Prohodna nad Valchi skk,Valchiusa,Q59770834,16,0,2,Italian municipality,,Q747074,,Valchiusa
Prohodna nad Valchi skk,Valchi dol,Q405397,16,0,2,"city in Valchi dol municipality, Varna oblast, Bulgaria",,Q15303838|Q89487741,,Valchi Dol
Prohodna nad Valchi skk,Valchica rinconensis,Q10712159,16,0,2,species of insect,,Q16521,,
Prohodna nad Valchi skk,Valchitran,Q2653631,16,0,2,"village in Pordim municipality, Pleven oblast, Bulgaria",,Q15630849|Q4224624,,Valchitran
Prohodna nad Valchi skk,Valchiavenna,Q2478068,16,0,2,alpin region in Italy,,Q39816|Q183366,,Valchiavenna
Prohodna nad Valchi skk,Valchin,Q1075205,16,0,2,"village in Sungurlare municipality, Burgas oblast, Bulgaria",,Q15630849|Q4224624,,Valchin
Prohodna nad Valchi skk,Slovak koruna,Q178874,16,0,2,"currency of Slovakia, 1993–2008",SKK,Q28783456|Q1189842,,Slovak koruna
Prohodna nad Valchi skk,Belaruskali,Q815266,16,0,2,"Belarusian mining & chemical company, one of the two largest potash fertilizer producers in the world",Starobinski Kalijny Kambinat|Starobinsky Potash Plant|Salihorski Kalijny Kambinat|Salihorsk Potash Plant|SKK,Q4830453|Q6881511,,Belaruskali
Prohodna nad Valchi skk,Shaolin Kempo Karate,Q2277084,16,0,2,Martial art style,SKK,,Q11417,Shaolin Kempo Karate
Prohodna nad Valchi skk,Selkirk Branch,Q113994202,16,0,2,section of railway line in the UK,SKK,Q113990375,,
Prohodna nad Valchi skk,"Stiftung für Kunst, Kultur und Geschichte",Q73668947,16,0,2,Swiss foundation at Winterthur,"Foundation for art, culture and history|SKKG",Q157031|Q7328910|Q2668072|Q1497649,,
Prohodna nad Valchi skk,Shaktoolik Airport,Q4519591,16,0,2,"airport in Alaska, United States of America",SKK|PFSH,Q1248784|Q94993988,,Shaktoolik Airport
Prohodna nad Valchi skk,MAP2K4,Q18031446,16,0,2,protein-coding gene in the species Homo sapiens,JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1|mitogen-activated protein kinase kinase 4,Q7187,Q20747295,MAP2K4
Prohodna nad Valchi skk,SKK Kotwica Kołobrzeg,Q1785520,16,0,2,"Polish basketball team, based in Kołobrzeg",,Q13393265,,SKK Kotwica Kołobrzeg
Prohodna nad Valchi skk,International Cosmetology College,Q27681613,16,0,2,"college in Riga, Latvia",SKK,Q189004,,
Prohodna nad Valchi skk,SKK,Q11243526,16,0,2,Kana to Kanji conversion software for Emacs,,Q1046926,,
