data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Kaserwald,Kaserwald,Q21868318,0,0,1,forest in the Seetal Alps in Styria,,Q4421,,
Kiseuwald,,,1,0,0,,,,,
Watndt,,,2,0,0,,,,,
Gyfim,,,3,0,0,,,,,
Liedekermebos,,,4,0,0,,,,,
Weidac,Weidachsmühle,Q97128600,5,0,1,isolated dwelling in Lower Franconia,,Q1138414|Q253019,,
Weidac,Weidacherbach,Q88344279,5,0,1,Creek and tributary stream of the Holzmannbach near Breitenbach in Styria,,Q47521,,
Weidac,Weidacher,Q107388048,5,0,1,family name,,Q101352,,
Weidac,Weidachschlössle,Q1791102,5,0,1,"historic building in Kempten, Germany",,Q41176,,
Weidac,Weidachstraße,Q100790321,5,0,1,"street in Neu-Ulm, Bavaria, Germany",,Q79007,,
Weidac,Weidach,Q2554985,5,0,1,"quarter of Feldkirchen-Westerham, Bavaria, Germany",,Q253019|Q1138414,,
Weidac,Weidach,Q106494018,5,0,1,,,Q123705|Q5084|Q253019,,
Weidac,Weidach,Q31762639,5,0,1,"quarter of Chieming, Bavaria, Germany",,Q253019|Q532,,
Weidac,Weidach,Q130281774,5,0,1,"tributary of Stillach in the municipality of Oberstdorf, Bavaria, Germany",,Q47521,,
Weidac,Weidach,Q2555004,5,0,1,"quarter of Weitramsdorf, Upper Franconia, Bavaria, Germany",,Q253019,,
aagse Bos,,,6,0,0,,,,,
Qfkias,,,7,0,0,,,,,
Ober-Olmer Wld,,,8,0,0,,,,,
Hohes Honz,,,9,0,0,,,,,
Fber Park,,,10,0,0,,,,,
Obfrholz,,,11,0,0,,,,,
Obgrholz,,,12,0,0,,,,,
