data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Dijon,Dijon,Q7003,0,0,1,"commune in Côte-d'Or, France",,Q484170|Q1549591,,Dijon
Dijon,Dijon,Q109297503,0,0,1,American musician,Dijon Duenas,Q5,,Dijon Duenas
Dijon,Dijon,Q105201645,0,0,1,family name,,Q101352,,
Dijon,Dijon FCO,Q503317,0,0,1,French association football club based in Dijon,Dijon Football Côte d'Or|Dijon,Q476028,,Dijon FCO
Dijon,Dijon,Q121422958,0,0,1,given name,,Q202444,,
Dijon,Dijon,Q113067857,0,0,1,"post office in Saint-Luc-de-Bellechasse, Quebec, Canada",,Q35054,,
Dijon,Dijon-Ville railway station,Q3096374,0,0,1,"railway station in Dijon, France",Dijon,Q55488,,Dijon-Ville station
Dijon,9379 Dijon,Q302271,0,0,1,asteroid,Dijon,Q3863,,9379 Dijon
Dijon,University of Burgundy Europe,Q287072,0,0,1,French University in Dijon (1722-),Université de Dijon|université de Bourgogne|uB|Universite de Dijon|universite de Bourgogne|University of Dijon|University of Burgundy|Dijon University|Bourgogne University,Q2385804|Q3551775,,University of Burgundy Europe
Dijon,Dijon Métropole Handball,Q3027905,0,0,1,French handball club from Dijon,Dijon Bourgogne Handball,Q847017,,Dijon Métropole Handball
Dijon,Dijon mustard,Q204226,0,0,2,type of mustard,,,Q131748,Dijon mustard
Perpignan,Perpignan,Q6730,1,0,1,"French commune in Pyrénées-Orientales, Occitania",Perpinyà|Perpinhan,Q484170|Q1549591,,Perpignan
Perpignan,Perpignan,Q23864417,1,0,1,article in Otto's encyclopedia,,Q13433827,,
Perpignan,Perpignan – Barcelona high-speed rail line,Q586879,1,0,1,railway line,LGV Perpignan – Figueres,Q858485,,Perpignan–Barcelona high-speed rail line
Perpignan,Perpignan,Q37547048,1,0,1,family name,,Q101352|Q17143070,,
Perpignan,Perpignan railway station,Q2283118,1,0,1,railway station in France,,Q55488,,Perpignan station
Perpignan,Canet Roussillon Football Club,Q674263,1,0,1,"association football club based in Canet-en-Roussillon, Occitania, France",Canet Roussillon FC|Perpignan Canet Football Club|Perpignan Canet FC,Q476028,,Canet Roussillon FC
Perpignan,Perpignan Cathedral,Q2942355,1,0,1,"cathedral located in Pyrénées-Orientales, in France",,Q56242215|Q120560,,Perpignan Cathedral
Perpignan,Perpignan Méditerranée Métropole,Q1119894,1,0,1,agglomeration community,Perpignan Mediterranee Metropole,Q18706073,,Perpignan Méditerranée Métropole
Perpignan,Perpignan,Q77261527,1,0,1,print in the National Gallery of Art (NGA 214616),,Q11060274,,
Perpignan,Perpignan to Villefranche - Vernet-les-Bains line,Q802991,1,0,1,French railway line,,Q728937,,
Perpignan,City of Perpignan,Q86692714,1,0,2,"municipal administration of Perpignan, France",,Q4307514|Q86442081,,
Strasbourg,Strasbourg,Q6602,2,0,1,"capital and largest city of Grand Est, located in the historical region of Alsace",Schdroosburi|Strossburig|Strosburi|Strasburg,Q484170|Q1549591|Q902814|Q57318|Q26830017,,Strasbourg
Strasbourg,RC Strasbourg Alsace,Q126334,2,0,1,association football club in France,Racing Club de Strasbourg|RCSA|Racing Club de Strasbourg Alsace|Racing Strasbourg|Racing|Strasbourg,Q476028,,RC Strasbourg Alsace
Strasbourg,Strasbourg,Q2298889,2,0,1,1936 Dunkerque-class battleship,French battleship Strasbourg,Q182531,,French battleship Strasbourg
Strasbourg,Strasbourg medical,Q27713522,2,0,1,journal,Strasb Med,Q5633421,,
Strasbourg,Strasbourg Museum of Modern and Contemporary Art,Q845468,2,0,1,"art museum in Strasbourg, France",musée d'art moderne et contemporain|musée d'Art moderne et contemporain de Strasbourg,Q207694,,Strasbourg Museum of Modern and Contemporary Art
Strasbourg,4690 Strasbourg,Q155973,2,0,1,asteroid,Strasbourg,Q3863,,4690 Strasbourg
Strasbourg,Strasbourg,Q1917272,2,0,1,"town in Saskatchewan, Canada","Strasbourg, SK",Q3957,,"Strasbourg, Saskatchewan"
Strasbourg,Strasbourg-Ville station,Q801473,2,0,1,railway station in France,Gare de Strasbourg-Ville,Q55488,,Strasbourg-Ville station
Strasbourg,Strasbourg – Saint-Denis,Q1403165,2,0,1,Paris Métro station,,Q928830|Q22808403,,Strasbourg–Saint-Denis station
Strasbourg,University of Strasbourg,Q20808141,2,0,1,German or French university (1538-1970),Strasbourg University,Q3918,,
Strasbourg,Cathedral of Our Lady of Strasbourg,Q745460,2,0,2,"cathedral located in Bas-Rhin, in France",Strasbourg Minster|Notre-Dame de Strasbourg|Strasbourg Cathedral,Q56242215,,Strasbourg Cathedral
Strasbourg,Strasbourg Cathedral,Q104244700,2,0,2,painting by Wyke Bayliss,,Q3305213,,
Strasbourg,Strasbourg cathedral,Q111411297,2,0,2,anonymous print,,Q11060274,,
Strasbourg,Strasbourg Cathedral organ,Q3885631,2,0,2,pipe organ in Strasbourg,,Q281460,,
Strasbourg,"Strasbourg Cathédrale, Pilier de L'Ange (Strasbourg Cathedral, Pillar of the Angel)",Q64145749,2,0,2,photograph in the National Gallery of Art (NGA 212341),,Q125191,,
Strasbourg,Strasbourg Cathedral bombing plot,Q7621692,2,0,2,"plotted bombing at a place of worship, and subsequent manhunt",,Q5429679,,Strasbourg Cathedral bombing plot
Vicenza,Vicenza,Q6537,3,0,1,municipality of Northern Italy,,Q747074|Q515|Q1549591,,Vicenza
