data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Dunnes Stores,Dunnes Stores,Q1266203,0,0,1,multinational retail chain,,Q4830453|Q726870,,Dunnes Stores
Dunnes Stores,Dunnes Stores,Q137210238,0,0,1,Irish food brand,,Q16323605,,
Dunnes Stores,Dunnes Stores strike,Q39087293,0,0,1,"three-year strike against apartheid in South Africa between 1984 and 1987 which led, in due course, to the Irish government banning the importation of South African goods into Ireland",,Q49776,,Dunnes Stores strike
C. & J. Clark International Ltd,C. & J. Clark International Ltd,Q1095857,1,0,1,British international shoe manufacturer and retailer,C & J Clark|C&J Clark|C. & J. Clark|Clarks|C. & J. Clark International Limited,Q4830453|Q33685|Q726870|Q6881511,,Clarks (shoe retailer)
Camper,Camper,Q37080871,2,0,1,family name,,Q101352,,Camper (surname)
Camper,recreational vehicle,Q746448,2,0,1,category of motor vehicle or trailer which provides living accommodations,camper van|caravan|RV|motorhome|mobile home|camper|camping car|autocaravan,,Q752870,Recreational vehicle
Camper,Petrus Camper,Q382682,2,0,1,Dutch scientist (1722-1789),Peter Camper|Camper|P. Camper|n,Q5,,Petrus Camper
Camper,Camperdown,Q2935500,2,0,1,"town in Victoria, Australia","Camperdown, Victoria|Camperdown, Victoria, Australia",Q3957|Q45242174,,"Camperdown, Victoria"
Camper,campervan,Q5357662,2,0,1,ordinary vehicle which has been fitted out for sleeping and simple cooking,camper van|camper|caravanette|motor caravan,,Q223189|Q746448,Campervan
Camper,Jeffrey D. Camper,Q21390809,2,0,1,researcher,Camper,Q5,,
Camper,camper,Q69949971,2,0,1,"person who camps, takes shelter in a tent or a campground",,Q12737077,Q215627,
Camper,Camper,Q1030922,2,0,1,spanish footwear company from Mallorca,,Q4830453|Q726870,,Camper (company)
Camper,Camperio,Q77404103,2,0,1,family name,Camperio (family name)|Camperio (surname),Q101352,,
Camper,Camperdown,Q5355205,2,0,1,"former state electoral district of New South Wales, Australia",Electoral district of Camperdown,Q3032154,,Electoral district of Camperdown
Camper,motorhome,Q13553228,2,0,2,motor vehicle (typically large) which works as a mobile living accommodation,motorhomes|motor coach|rv|recreational vehicle|coach,,Q746448,Motorhome
Camper,🚙,Q87581896,2,0,2,Unicode character,U+1F699|RECREATIONAL VEHICLE,Q29654788|Q1049294,,
Camper,recreational vehicle park,Q60456301,2,0,2,"place where people with recreational vehicles can stay overnight, or longer, in allotted spaces known as ""sites"" or ""campsites""",caravan park|RV park,,Q27108230,RV park
Camper,RVing,Q4213636,2,0,2,activity of traveling and staying in a recreational vehicle or a travel trailer,recreational vehicle living,Q1914636,,
Camper,Recreational vehicle terms,Q55631304,2,0,2,terms used when talking about recreational vehicles,,,,Recreational vehicle terms
Camper,Recreational vehicle fire claims the life of one fire fighter and injures two other fire fighters - Arkansas,Q26349000,2,0,2,field study published in 2000,,Q1402850,,
Camper,recreational vehicle storage cover,Q117209207,2,0,2,type of product; vehicle storage cover,,Q63981612,Q117209203,
Camper,Recreational Vehicle Dealers,Q123187543,2,0,2,SIC industry classification,,Q123186574,,
Camper,"Recreational vehicle, cooling device, controlling system and method for controlling the cooling device",Q130456426,2,0,2,US patent 11254183,,Q43305660,,
Verizon,Verizon,Q467752,3,0,1,American broadband and telecommunications company,Verizon Communications Inc.|Verizon Communications,Q4830453|Q6881511|Q2401749|Q11371|Q1331793|Q891723,,Verizon
Verizon,Verizon,Q919641,3,0,1,US wireless telecommunications company,Verizon Wireless|Verizon mobile network|Cellco Partnership,Q726870|Q507619|Q1941618,,Verizon (wireless service)
Verizon,Herb Brooks Arena,Q1607853,3,0,1,arena,Olympic Center Ice Rink|Verizon Sports Complex Arena|Field House International Ice Rink,Q641226,,Herb Brooks Arena
