data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Zons,Zons,Q106335244,0,0,1,family name,,Q101352,,
Zons,Zons,Q219964,0,0,1,"quarter of Dormagen, Germany",Dormagen-Zons,Q2983893,,Zons
Zons,Sergey L. Zonstein,Q21394526,0,0,1,researcher,Zonstein|Sergei Zonstein,Q5,,
Zons,Zonsé Department,Q219969,0,0,1,department of Burkina Faso,Zonse Department,Q2566190,,Zonsé Department
Zons,Zons,Q127431728,0,0,1,"The mint(s) at the city of Zons, North Rhine-Westphalia, Germany",Mint of Zons,Q464780,,
Zons,Zonser Grind,Q219965,0,0,1,"nature reserve in North Rhine-Westphalia, Germany",,Q759421,,
Zons,Zonstraat,Q18956194,0,0,1,"street in Enschede, the Netherlands",,Q79007,,
Zons,Zonstraat,Q14857339,0,0,1,"street in Utrecht, the Netherlands",,Q79007,,
Zons,Zongshen,Q219927,0,0,1,automobile manufacturer,,Q786820,,Zongshen
Zons,feminine,Q1775415,0,0,1,grammatical gender,feminine gender|fem|f,Q162378,Q4423888,Feminine gender
Krásna,Krásná Lípa,Q1757191,1,0,1,"town in Děčín District, Ústí nad Labem Region, Czech Republic",,Q5153359|Q15978299,,Krásná Lípa
Krásna,Krásná,Q94182431,1,0,1,family name,Krásná (family name)|Krásná (surname),Q101352|Q18972207,,
Krásna,Krasna,Q94182090,1,0,1,family name,,Q101352,,
Krásna,Krásná Hora nad Vltavou,Q2278031,1,0,1,town in the Czech Republic,,Q5153359|Q15978299|Q820254,,Krásná Hora nad Vltavou
Krásna,Krasnaje,Q20678416,1,0,1,"village in Cyrynski sieĺsaviet, Kareličy district, Belarus",Krasnaye,Q65661087,,
Krásna,Krasnapollie District,Q745264,1,0,1,"district in Mahilioŭ voblasć, Belarus",Krasnapollie Rajon,Q2043199,,Krasnapollye district
Krásna,Krásna,Q479329,1,0,1,borough of Košice,Krasna,Q532|Q2983893,,Krásna
Krásna,Krasnaje,Q6502346,1,0,1,"agrotown in Krasnienski sieĺsaviet, Kareličy district, Belarus",Krasnaye,Q1989945,,
Krásna,Krasnapollie,Q2630603,1,0,1,urban-type settlement in Belarus,Krasnapolle,Q91733160,,Krasnapollye
Krásna,Krasnaje,Q6502327,1,0,1,"village in Bierastavica district, Belarus",Krasnaye,Q65661087,,
Krásna,Krásná Hora,Q161609,1,0,2,village in Havlíčkův Brod District of Vysočina region,Schönberg,Q5153359,,Krásná Hora
Krásna,Krasna Hora,Q4237920,1,0,2,"rural settlement in Bakhmut Raion, Donetsk Oblast (province), Ukraine",,Q4100864|Q121366249,,Krasna Hora
Krásna,Krásná hora,Q12031780,1,0,2,mountain in Czech Republic,,Q8502,,
Krásna,Krásná Hora,Q12031776,1,0,2,abandoned village in south Czechia,,Q27654220,,
