data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
King Luhrasp Entjroned,King Luhrasp Enthroned,Q64555252,0,0,2,painting by anonymous Persian painter (Nelson-Atkins 32-134),,Q3305213,,
King Luhrasp Entjroned,King Luhrasp Enthroned,Q64555210,0,0,2,painting by anonymous Persian painter,,Q3305213,,
King Luhrasp Entjroned,King Luhrasp Enthroned,Q64617600,0,0,2,,,Q8362,,
King Luhrasp Entjroned,King Luhrasp Enthroned,Q64618013,0,0,2,,,Q8362,,
King Luhrasp Entjroned,King Luhrasp Ascends the Throne: a Processon Arrives at Court (recto); the Story of King Luhrasp (verso) from a Shahnama (Book of Kings) of Firdausi (940-1019 or 1025),Q80031841,0,0,2,manuscript by unknown artist (1962.24),,Q87167,,
King Luhrasp Entjroned,"King Luhrasp Ascends the Throne: a Processon Arrives at Court, recto of the left folio of a double-page composition from a Shahnama (Book of Kings) of Firdausi (940-1019 or 1025)",Q80031843,0,0,2,manuscript by unknown artist (1962.24.a),,Q87167,,
Commentary on uhe Psalms,Commentary on the Psalms,Q56612179,1,0,2,from the collection of Matenadaran,,Q87167|Q8362,,
Commentary on uhe Psalms,Commentary on the Psalms,Q124814435,1,0,2,Greek work written by Theodoretus of Cyrrhus,CPG 6202,Q47461344,,
Commentary on uhe Psalms,Commentary on the Psalms,Q62052309,1,0,2,Bodleian Library MS. Huntington 485,,Q87167,,
Commentary on uhe Psalms,"Commentary on the Psalms, Psalms 1-72",Q136120624,1,0,2,book 2000,,Q3331189,,
The Holy pirit,God the Holy Spirit,Q58646537,2,0,2,"in trinitarian Christianity, the third person of the Trinity, that proceeds from the Father (and the Son, depending on the branch of Christianity); often depicted as a dove in iconography",Holy Spirit in Christianity|Holy Ghost|Holy Ghost in Christianity|God the Holy Ghost|The Holy Ghost|The Holy Spirit|Holy Spirit,Q651118|Q178885,Q37302,Holy Spirit in Christianity
The Holy pirit,The Holy Spirit,Q139680635,2,0,2,painting by Corrado Giaquinto,,Q3305213,,
The Holy pirit,The Holy Spirit,Q57976155,2,0,2,"section of The Army and Navy Hymnal, a 1920 edition",,Q3331189,,
The Holy pirit,The Holy Spirit,Q57976135,2,0,2,section of The Army and Navy Hymnal,,Q1980247,,
The Holy pirit,The Holy Spirit,Q77215303,2,0,2,book (work),,Q47461344,,
