data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Pageryung,,,0,0,0,,,,,
Kuta,Kuta,Q994499,1,0,1,"district in Badung Regency, Bali Province, Indonesia",Kuta District,Q3700011,,Kuta District
Kuta,Kuta,Q15673257,1,0,1,"subdistrict in Badung Regency, Bali, Indonesia",,Q965568,,"Kuta, Bali"
Kuta,Kuta,Q12493047,1,0,1,"village in Central Lombok Regency, West Nusa Tenggara, Indonesia",Kuta (Lombok)|Kute,Q26211545,,"Kuta, Lombok"
Kuta,Kuta,Q12493046,1,0,1,"village in Parado District, Bima Regency, West Nusa Tenggara, Indonesia",Desa Kuta,Q26211545,,
Kuta,Kuta,Q24612530,1,0,1,"village in East Sumba Regency, East Nusa Tenggara, Indonesia",Desa Kuta,Q26211545,,
Kuta,Kuta Pangwa,Q14635877,1,0,1,"village in Pidie Jaya Regency, Aceh, Indonesia",Kuta,Q4285979,,
Kuta,Kuta,Q11047976,1,0,1,"village in Bantarbolang District, Pemalang Regency, Central Java, Indonesia",Desa Kuta,Q26211545,,
Kuta,Kuta,Q12493045,1,0,1,"village in Bogor Regency, West Java, Indonesia",Desa Kuta,Q26211545,,
Kuta,Kuta,Q11048993,1,0,1,"village in Belik District, Pemalang Regency, Central Java, Indonesia",Desa Kuta,Q26211545,,
Kuta,Kuta,Q16871647,1,0,1,family name,Kuta (surname),Q101352,,Kuta (surname)
Kuta,SOL by Meliá Kuta Bali,Q110976196,1,0,2,hotel in Pusat Kota Kuta,SOL by Meliá Kuta Bali Resort|Sol By Meliá Kuta Bali|Kuta Beach Club Hotel Bali|Sol House Bali Kuta By Melia Hotels International|Sol House Bali Resort|Kuta Beach Club|Sol House Bali Kuta|SOL by Meliá Kuta Bali Kuta|Sol Kuta Bali|Kuta Beach Club Hotel|SOL by Meliá Kuta Bali Resort Kuta|Sol House Bali Kuta Resort,Q27686,,
Kuta,Kuta Beach Hotel,Q111137929,1,0,2,"hotel in Kuta, Badung, Bali, Indonesia",Best Western Kuta Beach,Q27686,,
Kuta,Kuta Beach Hostel,Q110981822,1,0,2,hotel in Pusat Kota Kuta,Kuta Beach Hostel Bali|Kuta Beach Hostel Kuta|Kuta Beach Hostel Hostel/Backpacker accommodation|Kuta Beach Hostel Hostel/Backpacker accommodation Kuta,Q27686,,
Kuta,Kuta Beach Club,Q110775192,1,0,2,"hotel in Badung, Bali",,Q27686,,
Kuta,The Kuta Beach Heritage Hotel Bali - Managed By AccorHotels,Q110976548,1,0,2,hotel in Pusat Kota Kuta,Kuta Beach Heritage Hotel Bali Managed Accor|The Kuta Beach Heritage Hotel Bali Managed By AccorHotels|Heritage Hotel Bali Managed AccorHotels|Heritage Bali Managed Accors|Heritage Bali Managed Accor|Heritage Bali Managed AccorHotels|The Kuta Beach Heritage Hotel Bali - Managed By AccorHotels Kuta|Kuta Beach Heritage Bali Managed AccorHotels|Kuta Beach Heritage Bali Managed Accor|Kuta Beach Heritage Hotel Bali Managed AccorHotels|The Kuta Beach Heritage Hotel Bali - Managed By Accor|Heritage Hotel Bali Managed Accor|The Kuta Beach Heritage Hotel - Managed by Accor,Q27686|Q2880255,,
Kuta,Beach Hut Hostel,Q110978378,1,0,2,hotel in Kartika Plaza,Kuta Beach Hut Hostel Hostel/Backpacker accommodation|Beach Hut Hostel Kuta|Beach Hut Hostel Hostel/Backpacker accommodation|Beach Hut Hostel Hostel/Backpacker accommodation Kuta|Beach Hut|Hostel/Backpacker accommodation Beach Hut Hostel,Q27686|Q654772,,
Natobu,Natobu Creek,Q23974687,2,0,1,river in Fiji,,Q4022,,
Natobu,"Natobunker, nordwestlich",Q116513278,2,0,1,,,Q811979,,
Natobu,"Natobunker, westlicher Teil",Q116513279,2,0,1,,,Q811979,,
Duma Kota,Dumai,Q7782,3,0,2,"city in Riau Province, Indonesia",Dumai City,Q3199141,,Dumai
Duma Kota,Kota Dumai,Q26761572,3,0,2,,,,,
Duma Kota,Dumaguete,Q873377,3,0,2,city of the Philippines and capital of the province of Negros Oriental,"Dumaguete City|City of Dumaguete|Dumaguete City, Negros Oriental|City of Dumaguete, Negros Oriental",Q106078286|Q1549591,,Dumaguete
Duma Kota,Dumai,Q65436133,3,0,2,"administrative city in Bengkalis Regency, Indonesia",,Q10963374,,
Duma Kota,Kota Dumai,Q29624259,3,0,2,Wikimedia disambiguation page,,Q4167410,,
Muwuk,,,4,0,0,,,,,
Bantimuruog,Bantimurung,Q4193753,5,0,2,"district in Maros Regency, South Sulawesi Province, Indonesia",Kecamatan Bantimurung|Bantimurung District,Q3700011,,
Bantimuruog,Bantimurung,Q12474591,5,0,2,"village in Pangkajene and Islands Regency, South Sulawesi, Indonesia",Banti Murung,Q26211545,,
Bantimuruog,Bantimurung,Q12474590,5,0,2,"village in North Luwu Regency, South Sulawesi, Indonesia",,Q26211545,,
Bantimuruog,Bantimurung – Bulusaraung National Park,Q929856,5,0,2,national park,,Q393259,,Bantimurung–Bulusaraung National Park
Bantimuruog,Bantimurung River,Q25197675,5,0,2,"river in South Sulawesi, Indonesia",,Q4022,,
Bantimuruog,Bantimurung Butterfly Museum,Q109374235,5,0,2,museums in Indonesia,Bantimurung Butterfly Museum,Q33506,,
Bantimuruog,Bantimurung Natural Tourism Park,Q109438903,5,0,2,,,,,
Bantimuruog,Bantimurung Waterfall,Q109441387,5,0,2,"one of waterfall in Maros Regency, South Sulawesi, Indonesia",,,,
Bantimuruog,Bantimurung National Park Waterfall,Q135977574,5,0,2,one of the waterfalls in South Sulawesi,,Q34038,,
Bantimuruog,Bantimurung Waterpark,Q109439296,5,0,2,,,,,
Leuwjgoong,Leuwigoong,Q833858,6,0,2,"district in Garut Regency, West Java Province, Indonesia",Kecamatan Leuwigoong|Leuwigoong District|Leuwi Goong,Q3700011,,
Leuwjgoong,Leuwigoong,Q11008449,6,0,2,"village in Garut Regency, West Java, Indonesia",Desa Leuwigoong,Q26211545,,
Leuwjgoong,Leuwigoong railway station,Q19741083,6,0,2,"railway station in Garut Regency, Indonesia",,Q55488|Q22808404,,
Leuwjgoong,Leuwigoong,Q14636875,6,0,2,Wikimedia disambiguation page,,Q4167410,,
Lolrda Utara,,,7,0,0,,,,,
Pgawi,Pugawagun Lake,Q22619189,8,0,2,"lake in Ontario, Canada",,Q23397,,
Pgawi,Cephalopholis boenak,Q2791901,8,0,2,species of fish,,Q16521,,Cephalopholis boenak
Pgawi,Puhaŭki,Q20514389,8,0,2,,Puhawki,Q65661087,,
Pgawi,Pugaida,Q26195997,8,0,2,"village in Paniai Regency, Central Papua, Indonesia",,Q12488913,,
Pgawi,Pugainiai,Q12670371,8,0,2,village in Lithuania,,Q532,,
Pgawi,Pugaippadam,Q7258912,8,0,2,2010 film,,Q11424,,Pugaippadam
Pgawi,Pugaipatti Gram Panchayat,Q23745762,8,0,2,"panchayat in Kallakurichi district, Tamil Nadu",,Q2732840,,
Pgawi,Pugaipatti Branch Post Office,Q70115259,8,0,2,,,Q61443690,,
Pgawi,haze,Q643546,8,0,2,"atmospheric phenomenon in which dust, smoke, and other dry particulates obscure the clarity of the sky",,,Q29564129|Q1322005,Haze
Pgawi,Pūgaiņi,Q24702160,8,0,2,,,Q22580836|Q16363214,,
Dimemb,Dimembe,Q4196148,9,0,1,"district in North Minahasa Regency, North Sulawesi Province, Indonesia",Kecamatan Dimembe|Dimembe District,Q3700011,,
Dimemb,Dimembe,Q12481537,9,0,1,"village in North Minahasa Regency, North Sulawesi, Indonesia",,Q26211545,,
Dimemb,xylenesulfonic acid,Q72516686,9,0,2,group of chemical compounds,dimethylbenzenesulfonic acid,Q15711994,Q11173,
Dimemb,Sodium xylenesulfonate,Q72508226,9,0,2,chemical compound,Sodium dimethylbenzenesulfonate|Dimethylbenzenesulfonic acid sodium salt,Q113145171,Q11173,
Muara Tlang,Tual,Q18975,10,0,2,"city in Maluku Province, Indonesia",Tual city|Tual City,Q3199141|Q3147563,,Tual
Muara Tlang,Taval Island,Q24828138,10,0,2,"island in Tanimbar Islands Regency, Maluku Province, Indonesia",Noes Toeal|Tual Island|Tual,Q207524,,
Muara Tlang,Tual,Q19744411,10,0,2,"village in Tual City, Maluku, Indonesia",,Q26211545,,
Muara Tlang,Tual,Q26267897,10,0,2,"village in Pegunungan Bintang Regency, Highland Papua, Indonesia",,Q12488913|Q26211545,,
Muara Tlang,Tual,Q135418501,10,0,2,1962 painting by Ulysse Comtois,,Q3305213,,
Muara Tlang,Tual,Q65114431,10,0,2,family name,,Q101352,,
Muara Tlang,Tualang,Q12522432,10,0,2,"district in Siak Regency, Riau Province, Indonesia",Tualang District,Q3700011,,
Muara Tlang,Tualan Hulu,Q12522426,10,0,2,"district in East Kotawaringin Regency, Central Kalimantan Province, Indonesia",Tualan Hulu District,Q3700011,,
Muara Tlang,Tuala,Q115486324,10,0,2,given name,,Q202444,,
Muara Tlang,Tuala,Q37464593,10,0,2,family name,,Q101352,,
Dndir,Dendroctonus,Q3013151,11,0,2,genus of insects,,Q16521,,Dendroctonus
Dndir,mountain pine beetle,Q819902,11,0,2,species of insect,Dendroctonus ponderosae,Q16521|Q2366957,,Mountain pine beetle
