data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Trilateral Commission,Trilateral Commission,Q218868,0,0,1,"non-governmental, non-partisan discussion group founded by David Rockefeller in July 1973, to foster closer cooperation among North America, Western Europe, and Japan",,Q155271|Q484652|Q79913|Q29430681,,Trilateral Commission
Trilateral Commission,Trilateral Commission,Q59700287,0,0,1,Congressional Research Service report,,Q6451276,,
Trilateral Commission,Trilateral Commission Meeting (NAID 179811),Q66847285,0,0,1,file unit in the National Archives and Records Administration's holdings,,Q2668072,,
Trilateral Commission,Trilateral Commission Correspondence File (NAID 152225),Q63903116,0,0,1,series in the National Archives and Records Administration's holdings,,Q2668072,,
trilateralism,trilateralism,Q75029290,0,1,1,,trilateral|trilateral relations,Q33104069|Q943260,Q7257,
trilateralism,Trilateralism,Q30892109,0,1,1,,,,,
trilateralism,Trilateralism: The Trilateral Commission and Elite Planning for World Management,Q139925425,0,1,1,,,Q1172284,,
trilateralism,Trilateral Commission,Q218868,0,1,2,"non-governmental, non-partisan discussion group founded by David Rockefeller in July 1973, to foster closer cooperation among North America, Western Europe, and Japan",,Q155271|Q484652|Q79913|Q29430681,,Trilateral Commission
trilateralism,Trilateral Commission,Q59700287,0,1,2,Congressional Research Service report,,Q6451276,,
trilateralism,Trilateral Commission Meeting (NAID 179811),Q66847285,0,1,2,file unit in the National Archives and Records Administration's holdings,,Q2668072,,
trilateralism,Trilateral Commission Correspondence File (NAID 152225),Q63903116,0,1,2,series in the National Archives and Records Administration's holdings,,Q2668072,,
trilateralism,Trilateral Cooperation Secretariat,Q13231715,0,1,2,"organization established to promote peace between China, Japan, and South Korea",TCS,Q484652,,Trilateral Cooperation Secretariat
trilateralism,Trilateral Cooperation in Africa:How Can China Accomplish?,Q118650802,0,1,2,,,Q13442814,,
trilateralism,"Trilateral Relationship: Ascaris, Microbiota, and Host Cells",Q100426379,0,1,2,scientific article published on 29 September 2020,,Q13442814,,
Carnegie Endowment for International Peace,Carnegie Endowment for International Peace,Q1153595,1,0,1,Washington-based American think tank,CEIP|Carnegie Center,Q155271|Q157031|Q163740|Q26928534,,Carnegie Endowment for International Peace
Carnegie Endowment for International Peace,Peter Parker House,Q5043887,1,0,1,"historic house in Washington, D.C., United States",Carnegie Endowment for International Peace|Carnegie Endowment for International Peace (former headquarters),Q3947,,Peter Parker House
Carnegie Endowment for International Peace,Carnegie Endowment for International Peace,Q60138746,1,0,1,scientific article published in Nature,,Q13442814,,
Carnegie Endowment for International Peace,Carnegie Corporation of New York,Q3660410,1,0,2,American philanthropic fund,Carnegie Foundation,Q163740|Q157031,,Andrew Carnegie Foundation
Carnegie Endowment for International Peace,Carnegie Institution for Science,Q1043963,1,0,2,non-profit organization in the USA,Carnegie Institute|Carnegie Institution|Carnegie Institution of Washington,Q163740,,Carnegie Institution for Science
Carnegie Endowment for International Peace,Great Immigrants Award,Q121359767,1,0,2,Award issued by the Carnegie Corporation of New York to celebrate immigrant contributions to American life,Carnegie Corporation of New York Great Immigrant|Carnegie Corporation of New York Great Immigrants|Carnegie Great Immigrant award|Great Immigrant Award|Great Immigrants award|Carnegie Great Immigrants Award,Q618779,,Great Immigrants Award
Carnegie Endowment for International Peace,CARNEGIE CORPORATION OF NEW YORK,Q60283558,1,0,2,scientific article published in Nature,,Q13442814,,
Carnegie Endowment for International Peace,Carnegie Corporation of New York,Q60259163,1,0,2,,,Q13442814,,
Carnegie Endowment for International Peace,Carnegie Corporation of New York,Q60107617,1,0,2,,,Q13442814,,
Carnegie Endowment for International Peace,Carnegie Corporation of New York,Q60137301,1,0,2,scientific article published in Nature,,Q13442814,,
Carnegie Endowment for International Peace,Carnegie Corporation of New York,Q60245888,1,0,2,,,Q13442814,,
Carnegie Endowment for International Peace,Carnegie Corporation of New York: Annual Report,Q60276576,1,0,2,scientific article published in Nature,,Q13442814,,
Andrew Carnegie,Andrew Carnegie,Q484265,1,1,1,Scottish-American industrialist and philanthropist (1835–1919),Endriu Karnegi|A. Carnegie,Q5,,Andrew Carnegie
Andrew Carnegie,Andrew Carnegie,Q47510782,1,1,1,painting by Unidentified Artist,,Q3305213,,
Andrew Carnegie,Andrew Carnegie gravesite,Q135689085,1,1,1,"grave at Sleepy Hollow Cemetery, NY, USA",,Q173387|Q1497483,,
Andrew Carnegie,Andrew Carnegie II,Q76097603,1,1,1,American (1870-1947),Andrew Carnegie,Q5,,
Andrew Carnegie,Andrew Carnegie,Q28135518,1,1,1,painting by Andy Warhol (CMoA 88.20),,Q3305213,,
Andrew Carnegie,Andrew Carnegie,Q106497383,1,1,1,Scotsman (1769-1839),,Q5,,
Andrew Carnegie,Andrew Carnegie,Q28135501,1,1,1,painting by Andy Warhol,,Q3305213,,
Andrew Carnegie,Andrew Carnegie,Q75705541,1,1,1,(born 1963),Andrew James Carnegie,Q5,,
Andrew Carnegie,Andrew Carnegie,Q46980574,1,1,1,"painting by American School, painter",,Q3305213,,
Andrew Carnegie,Andrew Carnegie Innes,Q102350647,1,1,1,Ph.D. University of Cambridge 1994,,Q5,,
Andrew Carnegie,Carnegie Endowment for International Peace,Q1153595,1,1,2,Washington-based American think tank,CEIP|Carnegie Center,Q155271|Q157031|Q163740|Q26928534,,Carnegie Endowment for International Peace
Andrew Carnegie,Peter Parker House,Q5043887,1,1,2,"historic house in Washington, D.C., United States",Carnegie Endowment for International Peace|Carnegie Endowment for International Peace (former headquarters),Q3947,,Peter Parker House
Andrew Carnegie,Carnegie Endowment for International Peace,Q60138746,1,1,2,scientific article published in Nature,,Q13442814,,
