data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Forma Urbis Romae,Forma Urbis Romae,Q1437391,0,0,1,marble map of ancient Rome (c.205-208),Severan Marble Plan,Q4006|Q220659,,Forma Urbis Romae
Forma Urbis Romae,Forma Urbis Romae,Q84940538,0,0,1,a topographical atlas of ancient Rome authored by Rodolfo Lanciani that includes a series of forty-six detailed plates measuring 25 x 36 inches,,Q47461344,,
Forma Urbis Romae,MMR Block,Q138417323,0,0,1,block of bonded fragments of ancient marble map of Rome,Forma Urbis Romae 1abcde,Q220659,,
Forma Urbis Romae,MMR Fragment,Q138417462,0,0,1,extant marble fragment from ancient map of Rome,Forma Urbis Romae 37Bd|MMR 037.304,Q220659,,
Forma Urbis Romae,MMR Fragment,Q138417381,0,0,1,marble fragment from ancient map of Rome,Forma Urbis Romae 1b|MMR 001.002,Q220659,,
Forma Urbis Romae,MMR Fragment Q138413667,Q138413667,0,0,1,marble fragment from map of Rome Antique,Forma Urbis Romae 1a|MMR 001.001,Q220659,,
Ptolemaeus,Ptolemy of Mauretania,Q526000,1,0,1,1st century king of Mauretania,Ptolemaeus|Gaius Julius Ptolemaeus|Gaius Iulius Ptolemaeus,Q5,,Ptolemy of Mauretania
Ptolemaeus,Ptolemaeus,Q602362,1,0,1,lunar impact crater,,Q1348589,,Ptolemaeus (lunar crater)
Ptolemaeus,4001 Ptolemaeus,Q152454,1,0,1,asteroid,Ptolemaeus,Q3863,,4001 Ptolemaeus
Ptolemaeus,Ptolemaeus,Q2886300,1,0,1,crater on Mars,Ptolemaeus Crater,Q1475691,,Ptolemaeus (Martian crater)
Ptolemaeus,Ptolemy,Q1227416,1,0,1,Ancient Macedonian general,Ptolemaeus|Polemaeus,Q5,,Ptolemy (nephew of Antigonus I Monophthalmus)
Ptolemaeus,Ptolemy,Q2116235,1,0,1,,Ptolemaeus,Q5,,
Ptolemaeus,Ptolemaeus,Q1555836,1,0,1,,,Q5,,
Ptolemaeus,Ptolemy,Q261966,1,0,1,ancient Greek Platonic philosopher,Ptolemaeus,Q5,,
Ptolemaeus,Ptolemaeus,Q1241287,1,0,1,"grammarian, student of Aristarchus",Ptolemy,Q5,,
Ptolemaeus,Ptolemy,Q1505118,1,0,1,,Ptolemaeus,Q5,,
Ptolemaeus,Ptolemy,Q13416191,1,0,2,male given name,Ptolemy (given name)|Ptolemy (first name),Q12308941,,Ptolemy (name)
Ptolemaeus,Ptolemy,Q34943,1,0,2,"2nd-century Roman mathematician, astronomer, geographer",Claudius Ptolemaeus|Claudius Ptolemeus|Claudius Ptolemy|Klaudios Ptolemaios,Q5,,Ptolemy
Ptolemaeus,Messier 7,Q11234,1,0,2,Open cluster,M7|Ptolemy Cluster,Q11387,,Messier 7
Ptolemaeus,Ptolemy I Soter,Q168261,1,0,2,"Macedonian general, ruler of Egypt",Ptolemy son of Lagus,Q5,,Ptolemy I Soter
Ptolemaeus,Ptolemy,Q6578568,1,0,2,Wikimedia disambiguation page,,Q22808320,,Ptolemy (disambiguation)
Ptolemaeus,Ptolémy,Q138872738,1,0,2,French Thoroughbred racehorse and sire,Ptolemy,Q726,,
Ptolemaeus,Ptolemy,Q3563389,1,0,2,son of Pyrrus I and prince of Epirus,,Q5,,Ptolemy (son of Pyrrhus)
Ptolemaeus,Ptolemy son of Abubus,Q3992422,1,0,2,Governor of Jericho,Ptolemy of Jericho|Ptolemy,Q5,,Ptolemy son of Abubus
Ptolemaeus,Ptolemy,Q430051,1,0,2,2nd century Christian gnostic,Ptolemy the Gnostic,Q5,,Ptolemy (Gnostic)
Ptolemaeus,Ptolemy I Soter,Q11092624,1,0,2,sculpture,,Q179700,,
Ptolemaeus,Ptolemy II Philadelphus,Q39576,1,0,2,king of the Ptolemaic dynasty in Egypt (308–246 B.C.),Ptolemy Philadelphus,Q5,,Ptolemy II Philadelphus
Ptolemaeus,Ptolemy III Euergetes,Q39602,1,0,2,Egyptian pharaoh,Ptolemy III,Q5,,Ptolemy III Euergetes
Ptolemaeus,Ptolemy II of Tusculum,Q2742943,1,0,2,Roman consul,,Q5,,Ptolemy II of Tusculum
Ptolemaeus,Ptolemy II of Telmessos,Q7257104,1,0,2,king of Telmessos,,Q5,,Ptolemy II of Telmessos
Ptolemaeus,Ptolemy II Philadelphus,Q20668329,1,0,2,,,Q860861,,
Ptolemaeus,Ptolemy II statue at Olympia,Q107043606,1,0,2,ancient Greek artwork seen by Pausanias ca. 165 CE,,Q23830017,,
Ptolemaeus,Ptolemy II and the Hunting of African Elephants,Q139707009,1,0,2,,,Q13442814,,
Ptolemaeus,Ptolemy II and Halicarnassus: An Honorary Decree,Q64368123,1,0,2,,,Q13442814,,
Ptolemaeus,Ptolemy II,Q2036658,1,0,2,Wikimedia disambiguation page,,Q4167410,,
Ptolemaeus,Ptolemy IV Philopator,Q39595,1,0,2,4th Pharaoh of Ptolemaic Egypt (r. 221–204 BC),,Q5,,Ptolemy IV Philopator
Ptolemaeus,Ptolemy V Epiphanes,Q39957,1,0,2,fifth ruler of the Ptolemaic dynasty in Egypt (209–179 B.C.),Ptolemy Epiphanes|Ptolemy V,Q5,,Ptolemy V Epiphanes
Ptolemaeus,Ptolemy VIII Physcon,Q3350,1,0,2,an Egyptian king from the second century BC,Ptolemy VIII Euergetes II|Ptolemy VII Euergetes II|Ptolemy Physco,Q5,,Ptolemy VIII Physcon
Ptolemaeus,Ptolemy VI,Q39952,1,0,2,Egyptian pharaoh,Ptolemy VI Philometor,Q5,,Ptolemy VI Philometor
Ptolemaeus,Ptolemy IX Lathyros,Q3340,1,0,2,king of Egypt,Ptolemy IX Soter II|Ptolemy VIII Soter II|Ptolemy Lathyrus,Q5,,Ptolemy IX Soter
Ptolemaeus,Ptolemy VII Neos Philopator,Q39976,1,0,2,Egyptian pharaoh,,Q5,,Ptolemy VII Neos Philopator
Ptolemaeus,Ptolemy of Mauretania,Q526000,2,0,1,1st century king of Mauretania,Ptolemaeus|Gaius Julius Ptolemaeus|Gaius Iulius Ptolemaeus,Q5,,Ptolemy of Mauretania
Ptolemaeus,Ptolemaeus,Q602362,2,0,1,lunar impact crater,,Q1348589,,Ptolemaeus (lunar crater)
Ptolemaeus,4001 Ptolemaeus,Q152454,2,0,1,asteroid,Ptolemaeus,Q3863,,4001 Ptolemaeus
Ptolemaeus,Ptolemaeus,Q2886300,2,0,1,crater on Mars,Ptolemaeus Crater,Q1475691,,Ptolemaeus (Martian crater)
Ptolemaeus,Ptolemy,Q1227416,2,0,1,Ancient Macedonian general,Ptolemaeus|Polemaeus,Q5,,Ptolemy (nephew of Antigonus I Monophthalmus)
