data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
The Adoration of the Magi,adoration of the Magi,Q488841,0,0,1,name given to the Christian subject in the Nativity of Jesus in art in which the three Magi worship Jesus,The Adoration of the Magi|Adoration of the Kings|The Adoration of the Kings,Q1406161|Q856663,,Adoration of the Magi
The Adoration of the Magi,The Adoration of the Magi,Q2489939,0,0,1,"painting by Hieronymus Bosch, Metropolitan Museum of Art",,Q3305213,,"Adoration of the Magi (Bosch, New York)"
The Adoration of the Magi,The Adoration of the Magi,Q17322022,0,0,1,painting by Jan Jansz Mostaert,,Q3305213,,Adoration of the Magi (Mostaert)
The Adoration of the Magi,The Adoration of the Magi,Q11821336,0,0,1,painting by Geertgen tot Sint Jans,,Q3305213,,The Adoration of the Magi (Geertgen tot Sint Jans)
The Adoration of the Magi,The Adoration of the Magi,Q17340681,0,0,1,"painting by Jacob Cornelisz. van Oostsanen, Rijksmuseum",,Q3305213|Q79218,,Adoration of the Magi (Jacob van Oostsanen)
The Adoration of the Magi,The Adoration of the Magi,Q27697655,0,0,1,painting by Pieter Coecke van Aelst,La Adoración de los Magos,Q3305213|Q79218,,"Adoration of the Magi (Coecke van Aelst, Madrid)"
The Adoration of the Magi,The Adoration of the Magi,Q17343186,0,0,1,painting by Pieter Aertsen,,Q3305213,,
The Adoration of the Magi,The adoration of the magi,Q17319820,0,0,1,painting by Jheronimus Bosch,,Q3305213,,
The Adoration of the Magi,The Adoration of the Magi,Q18338569,0,0,1,print by Albrecht Dürer from the series Life of the Virgin,,Q18219090|Q11060274,,
The Adoration of the Magi,The Adoration of the Magi,Q2608103,0,0,1,painting from the circle of Jheronimus Bosch,,Q3305213,,
The Adoration of the Magi,Adoration of the Magi,Q121502758,0,0,2,"painting related to Master of Frankfurt, William S. Serri collection (Camden, NJ, United States)",,Q79218|Q3305213,,
The Adoration of the Magi,Adoration of the Magi,Q137754904,0,0,2,"painting in the Museum Schnütgen, Cologne (M 715)",,Q3305213,,
The Adoration of the Magi,Adoration of the Magi,Q137755338,0,0,2,"relief sculpture in the Museum Schnütgen, Cologne (A 1082, A 1111a-d)",,Q245117,,
The Adoration of the Magi,Adoration of the Magi,Q122664454,0,0,2,painting by Bertholet Flémal (ca 1652),,Q3305213,,
The Adoration of the Magi,Adoration of the Magi,Q121502763,0,0,2,"painting related to Master of Frankfurt, Convent Church (Guadalupe, Extremadura, Spain)",Adoración de los Reyes Magos,Q79218|Q3305213,,
The Adoration of the Magi,Adoration of the Magi,Q134613310,0,0,2,painting by Jan de Bray (HMB),,Q3305213,,
The Adoration of the Magi,Adoration of the Magi,Q135446302,0,0,2,painting by Bartholomaeus Bruyn the Elder,,Q3305213,,
The Adoration of the Magi,Adoration of the Magi,Q140944374,0,0,2,painting by Domingo del Camino,,Q3305213,,
The Adoration of the Magi,Adoration of the Magi,Q139555904,0,0,2,painting by Cornelis van Cleve,,Q3305213,,
The crucifixion,crucifixion of Jesus,Q51636,1,0,1,Jesus' crucifixion as described in the four canonical gospels,Crucifixion|Crucifixion of Christ|The Crucifixion|Christ on the Cross,Q106355253|Q1406161|Q3235597|Q1855439,,Crucifixion of Jesus
The crucifixion,The Crucifixion,Q21232677,1,0,1,painting by Andreas Pavias,,Q132137|Q3305213,,The Crucifixion (Pavias)
The crucifixion,The Crucifixion,Q137752859,1,0,1,Painting by Englebert Fisen (1684),The Crucifixion of Jesus|Golgotha,Q3305213,,
The crucifixion,The Crucifixion,Q122639907,1,0,1,painting by Bertholet Flémalle (I),Golgotha ​​with donor Dean Pierre de Rosen,Q3305213,,
The crucifixion,The Crucifixion,Q138529680,1,0,1,painting by Pieter Claeissens the Elder,,Q3305213,,
The crucifixion,The Crucifixion,Q5966352,1,0,1,painting by El Greco,,Q3305213,,
The crucifixion,Crucifixion,Q490312,1,0,1,painting by Jacopo Tintoretto in the Scuola Grande di San Rocco,The Crucifixion,Q3305213,,Crucifixion (Tintoretto)
The crucifixion,Crucifixion of Christ,Q3221342,1,0,1,painting by Francisco de Zurbarán,The Crucifixion|Crucifixion|Christ on the Cross,Q3305213,,Christ on the Cross (Zurbarán)
The crucifixion,The Crucifixion,Q17335810,1,0,1,painting by Giovanni da Milano,Crucifixion,Q3305213,,
The crucifixion,The Crucifixion,Q3698190,1,0,1,painting by Mathias Grünewald,Crucifixion,Q3305213,,
The crucifixion,Crucifixion,Q20087444,1,0,2,painting by anonymous,,Q3305213,,Crucifixion (after van Eyck?)
The crucifixion,Crucifixion,Q3698204,1,0,2,painting by Giorgio Vasari (San Giovanni a Carbonara),Crucifixion of Christ,Q3305213,,
The crucifixion,Crucifixion,Q19859152,1,0,2,painting by José Ferraz de Almeida Júnior,,Q3305213,,
The crucifixion,crucifixion,Q3235597,1,0,2,method of execution,,Q15169167,Q8454|Q72672186,Crucifixion
The crucifixion,Crucifixion,Q1087204,1,0,2,religious stained-glass panel by Gerhard Remisch,The Crucifixion,Q488094,,
The crucifixion,Crucifixion,Q137755233,1,0,2,"relief sculpture in the Museum Schnütgen, Cologne (B 102)",,Q245117,,
The crucifixion,Crucifixion,Q140678807,1,0,2,painting by Friedrich Pacher,,Q3305213,,
The crucifixion,Crucifixion,Q137711395,1,0,2,painting by Giorgio Vasari (1511–1574),,Q3305213,,
The crucifixion,Crucifixion,Q133868021,1,0,2,painting by Bittino da Faenza,,Q3305213,,
The crucifixion,Crucifixion Scene,Q119164696,1,0,2,"painting by Evan Walters (1893–1951), Llyfrgell Genedlaethol Cymru / The National Library of Wales",,Q3305213,,
