data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sagara,Sagara,Q80953342,0,0,1,family name,,Q101352,,
Sagara,Sagara,Q3273358,0,0,1,male given name,Sagara (given name),Q12308941,,
Sagara,Sagara,Q11216663,0,0,1,"village in Garut Regency, West Java, Indonesia",,Q26211545,,
Sagara,Sagara,Q11014492,0,0,1,"village in Majalengka Regency, West Java, Indonesia",Desa Sagara,Q26211545,,
Sagara,Sagara Island,Q25020172,0,0,1,"island in Pangkajene and Islands Regency, South Sulawesi Province, Indonesia",Sagara,Q207524,,
Sagara,Sagara,Q1184723,0,0,1,"village in Kuma district, Kumamoto prefecture, Japan",,Q4174776,,"Sagara, Kumamoto"
Sagara,Sagara,Q1648262,0,0,1,Town,"Sagar, Karnataka|Sagara, Karnataka",Q486972,,"Sagara, Karnataka"
Sagara,Sagara,Q26438078,0,0,1,Japanese family name (相良),,Q101352|Q19914123,,
Sagara,Sagara,Q7399037,0,0,1,"dissolved municipality in Haibara district, Shizuoka prefecture, Japan",,Q18663566,,"Sagara, Shizuoka"
Sagara,Sagara,Q11732610,0,0,1,language,Sagala|Sagara language,Q34770|Q1288568,Q7057848,Sagara language
Sai,St. Louis,Q38022,1,0,1,"independent city in Missouri, United States","St. Louis, Missouri|City of St. Louis|St. Louis City|St. Louis, MO|Saint Louis, Missouri|Saint Louis, MO|STL",Q1549591|Q1266818|Q1093829,,St. Louis
Sai,Sai,Q1340319,1,0,1,"commune in Orne, France",,Q484170,,"Sai, Orne"
Sai,Saitama Prefecture,Q128186,1,0,1,prefecture of Japan,Prefecture of Saitama|Saitama prefecture,Q50337,,Saitama Prefecture
Sai,Ho Chi Minh City,Q1854,1,0,1,largest city in Vietnam,Ho Chi Minh|Sài Gòn|Saïgon|HCMC|Sai Gon|Saigon|Thành-Phô Hồ Chí Minh|Hôchiminh Ville|Thành Phố Hồ Chí Minh|Prey Nokor|Gia Định|HCM City,Q1381899|Q515|Q1549591|Q174844|Q51929311|Q1074523,,Ho Chi Minh City
Sai,Sai,Q20001024,1,0,1,given name,,Q202444,,
Sai,Saint-Étienne,Q42716,1,0,1,"commune in Loire, France",St. Etienne|Armes-Ville|Commune-d'Armes|Canton-d'Armes|Libre-Ville|St. Étienne|Sant Estève,Q484170|Q1549591,,Saint-Étienne
Sai,SAI,Q1139967,1,0,1,painting software,PaintTool SAI|S.A.I.,Q2351962,,PaintTool SAI
Sai,Saint Louis Art Museum,Q1760539,1,0,1,"art museum in St. Louis, Missouri",St. Louis Art Museum|City Art Museum of St. Louis|Saint Louis School and Museum of Fine Arts|SLAM,Q207694|Q33506,,Saint Louis Art Museum
Sai,Saint-Malo,Q163108,1,0,1,"commune in Ille-et-Vilaine, France",Reginca|Aletum|Mont-Mamet|Port-Malo|Commune-de-la-Victoire,Q484170,,Saint-Malo
Sai,St. John's,Q2082,1,0,1,"capital and largest city of the province of Newfoundland and Labrador, Canada","St John's, Newfoundland|St Johns, Newfoundland|St. John's, Newfoundland and Labrador|Saint John's|St. John's of Newfoundland|Saint John's of Newfoundland|St. Johns|St Johns|Saint Johns|St. Johns, Newfoundland",Q1549591|Q44551483,,"St. John's, Newfoundland and Labrador"
Sai,Sathya Sai Baba,Q483931,1,0,2,Indian spiritual guru (1926–2011),Sri Sathya Sai Baba|Sai Baba,Q5,,Sathya Sai Baba
Sai,Sai Baba of Shirdi,Q260440,1,0,2,Indian saint,Chand Miyan|Sai Ram,Q5,,Sai Baba of Shirdi
Sai,Sáí Bába,Q112399973,1,0,2,,,Q5,,
Sai,Cap Guillaume,Q105764453,1,0,2,ship built in 2006,IMO 9321691,Q11446,,
Sai,Sathya Sai Baba movement,Q16148025,1,0,2,movement inspired by neo-Hindu guru Sathya Sai Baba,Sai Baba movement,Q477544,,Sathya Sai Baba movement
Sai,Sai Baba Arts Commerce And Science College,Q84426215,1,0,2,college affiliated to the Vijayanagara Sri Krishnadevaraya University,,Q189004,,
Sai,"Sai Baba Temple, Dilsukhnagar",Q7399777,1,0,2,building in India,,Q44539,,"Sai Baba Temple, Dilsukhnagar"
Sai,Sai Baba colony,Q7399779,1,0,2,"Village in Coimbatore District, Tamil Nadu, India",,Q486972,,Saibaba Colony
Sai,Sai Baba (TV series),Q97665582,1,0,2,2005 Indian television series based on Sai Baba of Shirdi,,Q15416,,Sai Baba (TV series)
Sai,Sai Baba Boulevard,Q19895993,1,0,2,"city in Maharashtra, India",,Q15642541,,Sai Baba Boulevard
Sai,Sai Rama Sridatta Prakki,Q125273250,1,0,2,researcher,,Q5,,
Sai,Sai Ramakrishna Karuturi,Q109474817,1,0,2,"Indian businessperson (born 1965, child of Karuturi Suryarao)",Sai Karuturi,Q5,,
Sai,Sai Ramudu Meka,Q92382309,1,0,2,researcher (ORCID 0000-0002-9877-7752),,Q5,,
Sai,Sai Rama Krishna Meka,Q85928828,1,0,2,researcher,,Q5,,
Sai,OYO 73860 Sai Ram Residency,Q111063816,1,0,2,"hotel in Bangalore, India",Sai Ram Residency,Q27686,,
Sai,OYO 19598 Sai Ram Grand,Q111069497,1,0,2,"hotel in Vijayawada, India",Sai Ram Grand,Q27686,,
Sai,OYO 9991 Sai Ram Residency,Q111063052,1,0,2,"hotel in Bangalore, India",Sai Ram Residency,Q27686,,
Sai,OYO 79039 SAI RAM RESIDENCY,Q111073080,1,0,2,"hotel in Hyderabad, India",SAI RAM RESIDENCY,Q27686,,
Sai,"Sai Ram Degree College, Mudinepalli",Q92179329,1,0,2,college affiliated to the Krishna University,,Q189004,,
Yugawa,Yugawa,Q1205591,2,0,1,"village in Kawanuma district, Fukushima prefecture, Japan",,Q4174776,,"Yugawa, Fukushima"
Yugawa,Yu River,Q11563525,2,0,1,"river flowing in Nikko, Japan",Yugawa|Yukawa,Q4022,,
Yugawa,Yugawa,Q26437725,2,0,1,Japanese family name (湯川),湯川|ゆがわ,Q101352,,
