data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Nanclares de la Oca / Langraiz Oka,Nanclares de la Oca / Langraiz Oka,Q2744357,0,0,1,"council and municipal capital of Iruña de Oca/Iruña Oka, Basque Country, Spain",Langraiz Oka|Nanclares de la Oca,Q16543169|Q121289819|Q3055118,,Nanclares de la Oca
Nanclares de la Oca / Langraiz Oka,Nanclares Prison,Q8353091,0,0,2,,,Q40357,,
Villafranca,Villafranca,Q37010391,1,0,1,family name,,Q101352,,Villafranca (surname)
Villafranca,Villafranca,Q620774,1,0,1,"human settlement in Vitoria-Gasteiz, Spain",Villafranca de Estibaliz|Billafranka|Villafranca de Estíbaliz,Q16543169|Q3055118,,Villafranca de Estíbaliz
Villafranca,Villafranca de los Barros,Q613908,1,0,1,"municipality in the province of Badajoz, Spain",Villafranca,Q2074737,,Villafranca de los Barros
Villafranca,Villafranca,Q1912688,1,0,1,"human settlement in Navarre, Spain",Alesbes,Q2074737|Q3957,,"Villafranca, Navarre"
Villafranca,Villafranca de los Caballeros,Q1629782,1,0,1,municipality of Spain,Villafranca,Q2074737,,Villafranca de los Caballeros
Villafranca,Vilafranca / Villafranca del Cid,Q537017,1,0,1,municipality of Spain,Vilafranca|Villafranca del Cid,Q123754112,,Vilafranca
Villafranca,Villafranca Tirrena,Q494805,1,0,1,Italian comune,,Q747074,,Villafranca Tirrena
Villafranca,Villafranca del Condado,Q42298120,1,0,1,"human settlement in Condado de Castilnovo, Segovia Province, Castile and León, Spain",Condado de Castilnovo,Q3055118|Q121289819,,
Villafranca,Villafranca Sicula,Q432684,1,0,1,Italian comune,,Q747074,,Villafranca Sicula
Villafranca,Villafranca,Q18503761,1,0,1,,,Q486972,,
Villafranca,Villafranca del Cid,Q23991990,1,0,2,"capital del municipio homónimo de Los Puertos de Morella, España",,Q121289819,,
Villafranca,town hall of Villafranca del Cid,Q126828179,1,0,2,"municipal building in Villafranca del Cid, Spain",Villafranca del Cid Town Hall|town hall of Vilafranca|Vilafranca Town Hall,Q112793351,,
Villafranca,Villafranca del Cid,Q29612917,1,0,2,Wikimedia disambiguation page,,Q4167410,,
Villafranca,Villafranca di Verona,Q47614,1,0,2,Italian comune,,Q747074,,Villafranca di Verona
Villafranca,Villafranca di Verona,Q30031807,1,0,2,chief town of the homonym municipality,,Q15303838,,
Villafranca,Villafranca di Verona railway station,Q3971326,1,0,2,"railway station in Villafranca di Verona, Italy",,Q55488,,
Villafranca,Villafranca di Verona,Q119369384,1,0,2,"painting by John Arthur Malcolm Aldridge (1905–1983), University of Birmingham",,Q3305213,,
Villafranca,Villafranca di Verona,Q29981447,1,0,2,Wikimedia disambiguation page,,Q4167410,,
