data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
MENfaCS Abell795-7-13-2 SN,supernova,Q3937,0,0,2,star exploding at the end of its stellar lifespan,SN|SNe|supernovae|SNO,Q17444909,Q523|Q179057|Q751989,Supernova
MENfaCS Abell795-7-13-2 SN,Senegal,Q1041,0,0,2,country on the coast of West Africa,Republic of Senegal,Q3624078|Q7270|Q4209223|Q6256,,Senegal
MENfaCS Abell795-7-13-2 SN,substantia nigra,Q753278,0,0,2,neuroanatomical structure,SN,Q112826905,Q66590385|Q112826975,Substantia nigra
MENfaCS Abell795-7-13-2 SN,tin,Q1096,0,0,2,chemical element with symbol Sn and atomic number 50,element 50,Q11344|Q79529|Q1929547,Q19591|Q244982,Tin
MENfaCS Abell795-7-13-2 SN,Great Norwegian Encyclopedia,Q746368,0,0,2,Norwegian encyclopedia,SNL|snl.no|Store norske leksikon|GNE|GNE-dig,Q1239328|Q35127|Q615699|Q18168594,,Store norske leksikon
MENfaCS Abell795-7-13-2 SN,snowboarding,Q178131,0,0,2,snow sport involving a single board,snowboard,Q31629|Q47728|Q268592,Q204686|Q911069|Q212434,Snowboarding
MENfaCS Abell795-7-13-2 SN,SNAC,Q29861311,0,0,2,"online resource that helps users discover biographical and historical information about persons, families, and organizations that created or are documented in historical resources (primary source documents) and their connections to one another",snaccooperative.org|Social Networks and Archival Context,Q8513|Q35127|Q36524|Q194166,,SNAC
MENfaCS Abell795-7-13-2 SN,Science News,Q2313730,0,0,2,American magazine,SN|ScienceNews,Q41298|Q7094076|Q35127,,Science News
MENfaCS Abell795-7-13-2 SN,Shona Wikipedia,Q8571809,0,0,2,Shona-language edition of Wikipedia,snwiki|snwp|snwikipedia|sn.wikipedia.org,Q10876391,,Shona Wikipedia
MENfaCS Abell795-7-13-2 SN,SciGraph,Q65509402,0,0,2,scientific linked data platform,SN SciGraph|Springer Nature SciGraph|Springer Nature SciGraph Explorer|SN SciGraph Explorer,Q8513|Q35127,,SciGraph
N 1955G,,,1,0,0,,,,,
SN 1999w,SN 1999W,Q9327737,2,0,1,supernova,,Q3937,,
SN 1999w,minor planet,Q1022867,2,0,2,astronomical object in direct orbit around the Sun that is neither a planet nor a comet,,Q17444909,Q3132741|Q193275,Minor planet
SN 1999w,Minor Planet Center database,Q106600690,2,0,2,database of minor bodies in the Solar System,MPC database|MPC catalog|Minor Planet Center catalog,Q8513,,
SN 1999w,Minor Planet Center,Q522039,2,0,2,organization,MPC,Q43229,,Minor Planet Center
SN 1999w,minor planet moon,Q657829,2,0,2,natural satellite of a minor planet,asteroid moon|minor planet satellite|satellite of a minor planet|moon of a minor planet,Q17444909,Q2537,Minor-planet moon
SN 1999w,Minor Planet Circulars,Q6382430,2,0,2,periodical by the Minor Planet Center,MPC|Minor Planet Circulars/Minor Planets and Comets,Q1002697,,Minor Planet Circulars
SN 1999w,minor planet group,Q2332332,2,0,2,population of minor planets that share broadly similar orbits,asteroid group,Q17444909,Q6999,List of minor-planet groups
SN 1999w,list of minor planets,Q37651,2,0,2,"numerically sorted list of near-Earth asteroids, Mars-crossers, main-belt asteroids, Jupiter trojans, and distant minor planets in the Solar System",list of asteroids|catalog of minor planets,Q80096233|Q13406463,,Lists of minor planets
SN 1999w,Minor planet designation,Q817125,2,0,2,number-name combination assigned to minor planets,provisional designation of asteroids,Q6961869,Q643921,Minor-planet designation
SN 1999w,Minor Planet Bulletin,Q6869125,2,0,2,journal,The Minor planet bulletin|Minor Planet Bull,Q5633421|Q773668,,The Minor Planet Bulletin
SN 1999w,Minor Planet Catalogue,Q55178248,2,0,2,catalogue of minor planet orbits,,Q605175,,
SN 1999w,asteroid,Q3863,2,0,2,minor planet of the inner Solar System; not a comet,planetoid|asteroids,Q17444909,Q1022867|Q193275,Asteroid
