data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Vtrassen,,,0,0,0,,,,,
ac de la Haute-Sre,,,1,0,0,,,,,
Remicj,,,2,0,0,,,,,
Mushusen,,,3,0,0,,,,,
Weiler-la-Tur,,,4,0,0,,,,,
Monderccnge,,,5,0,0,,,,,
eudelange,,,6,0,0,,,,,
äerjeqg,,,7,0,0,,,,,
Differdang,Differdange,Q16012,8,0,1,"commune in the canton of Esch-sur-Alzette, Luxembourg",Commune of Differdange,Q2919801,,Differdange
Differdang,FC Differdange 03,Q591339,8,0,1,association football club,Football Club Differdange 03|Differdange 03,Q476028,,FC Differdange 03
Differdang,Differdange-Losch,Q644368,8,0,1,cycling team,Continental Differdange|Differdange-Apiflo Vacances|Differdange-Magic-SportFood.de,Q1756006|Q20652655,,Team Differdange–Geba
Differdang,Differdange,Q4844168,8,0,1,human settlement in Luxembourg,,Q515|Q15303838,,
Differdang,Differdange-Losch 2018,Q50228762,8,0,1,,,Q53534649,,
Differdang,Differdange-Losch 2017,Q28092260,8,0,1,,,Q53534649,,
Differdang,Differdange-Losch 2016,Q24262212,8,0,1,,CCD 2016,Q53534649,,
Differdang,Differdange-Losch 2015,Q19952339,8,0,1,,CCD 2015,Q53534649,,
Differdang,Differdange,Q140591881,8,0,1,cadastral commune of Luxembourg,,Q140754208,,
Differdang,Differdange-Magic-SportFood.de 2011,Q1640564,8,0,1,,,Q53534649,,
Differdang,Differdange,Q112618993,8,0,2,family name,,Q101352,,
Differdang,Differdange railway station,Q5275268,8,0,2,"railway station in Differdange, Luxembourg",,Q55488,,Differdange railway station
Qberwampach,,,9,0,0,,,,,
Stadtbreimus,Breim,Q4588602,10,0,2,"former municipality in Sogn og Fjordane, Norway",,Q18663579,,Breim Municipality
Stadtbreimus,Bartholomeus Breenbergh,Q809318,10,0,2,17th-century Dutch painter,Bartholomäus Breenbergh|Bartholomé Brinberc|Bartholomeus Bramberg|Bartholomeus Breemburg|Bartholomeus Breenberch|Bart. Breemberg|Bartholomeus Bremberg|Bartholomeus Breemberg|Bartolomée Briemberg|Bartholomeus Bremburgh|Bartholomeus Bredenberg|Bartelomew Breenbergh|Bartolomeo Breemberg|Bartholomeus Bredenbergh|Bartholomeus Breenburch|Bartholomeus Breembergh|Bartholomeus Breenburg|Bartholomeus Breenburgh|Bartholomeus Breïnberg|Bartholomeus Brumberg|Bartholomeus Beerenberg|Bartholomew Breenberg|Bartholomeus Breenberg|Bartholomeus Breenborch|Bartholomaus Breenberch|Bartholomaus Breenbergh|Bartholomaus Breenberg|Bartholomaus Breenborch|Bartholome Brinberc|Bartolomee Briemberg|Bartolomeus Breenbergh|Bartholomaeus Breenberch|Bartholomaeus Breenberg|Bartholomaeus Breenborch|Fret|Het Fret|Bartholomé Bramberg|Breamberg|Bartholomé Brunberg|Bartholomé Brinberg|B. Brenberg|B. Bréemberg|Bartholomé Brenberg|Bartholom. Bremberg|Bartholom Breenburg|Barthelemy Breenberg|Bartholomé Brehenbergh|Bartholome'e|Bartolemeo|Bartholomé Broemberg|Breemborg|Bartolomée Bréemberg|Bart. Breenberg|Bart Breemberg|Breenberch|Barthélemi Bremberg|B. Breenberg|Bartolomée Brehenberg|B. Van Breenbergh|Bartholomaeus Bremberg|Bartholomäus Brenberg|Barth. Bremberg|Bramberg|Breenberg B.|Bréenberg|Brienbergh|Bartholomé Breemberg|Bartholomé Bréemberg|Bartholomé Breenburg|Bartholomew Breembergh|Bartholomïe Braemberg|Breedenberg|b. breenberg|Bartholomé Breenbergh|Barthol-Bréemberg|Barth. Brumberg|Barthol. Breenbergh|B. Bréenberg|Brumberg|Bartolomé Breemberg|Bartholomeo Breenberg|Breemberghe|Bartholomeus Brenberch|Bartholomäus Breembergh|Brimberg|Bartholomaeus Breemberg|B. Breenburg|Breembergh|Bartotomeo|Breemberge|Brembergh|Bartelomew|Bartolomeo|Breedenbergh|Bartholomée Bréenberg|Breenbergen|Bartholomée Breenberg|Bartholomi Breemberg|Bremberg|Bartolomeo Breenberg|Bartholomé Breenberg|bartholomaeus breenberg|Breenburg|Breimberg|Bartholomeo Bremberg|Bartholomew Breemberg|Bartholome Bréenberg|B. Bremenbergh|Bartholommé Bremberg|B. Broombergh|Bartholome Breemberg|Breenberge|Bartholomeus Brenberg|Bremburgh|Bartholomeus Breënberg|Breenbergh|Bartholomé|Bartholemew Breenberg|Bréemberg|Bartholomée Bréemberg|Bartholomée Breemberg|Bredenberg|Beerenberg|Bréenbergh|Bartholomäus Breenberg|Bréénbergh|M. Bremberg|Breemberg|barth. breenbergh|Branberg|Bartholomée|B. Breembergh|Bartolome Bremberg|Bartholomé Breemeerg|Cornelio Bremberg|Bartholomée Brimberg|Bartholomaeus Breenbergh|B. Breenbergh|Bartholomeo|Bartolomäus Breenberg|Bredenburgh|breenbergh bartholomaus|Bartholomée Brennberg|B. Bredenbergh|Bartholomé Bréenbergh|Breenberg|Barthelemi Bréenberg|Bartholomé Brimberg|Bartholome|Barholomäus Breenberg|B. Breemberg|Barthol. Breemberg|Breemburg|Bartholomi|Barthelmy Bréenberg|Briemberg|Bartaolomé Breemberg|Braindergh Olandese|Barth. Breemberg|Breyenburg|Bartholomy|Bartholomé Brehenberg|B. Bryenberg|Berthomé Breenberg|Bremberck|B. Brimberg|Bartholomé B.|Barthelemy|Bartholomé Brehemberg|Barthol. Breenberg|Bartholom. Breemberg|B. Bremberg|Breenburgh|Bartel Breenbergh|Bredenbergh|Bartholomé Bremberg|Barth. Breenberg|Bartholome Bremberg|Bartholmé Breenbergh|Bar. Brenberg,Q5,,Bartholomeus Breenbergh
Stadtbreimus,Breiman,Q63710696,10,0,2,family name,,Q101352,,
Stadtbreimus,Storelva,Q11962181,10,0,2,"river in Gloppen, Norway",Breimselva,Q4022,,
Stadtbreimus,Tabanidae,Q228241,10,0,2,family of flies,horse-fly,Q16521,,Tabanidae
Stadtbreimus,Breimeier,Q108475016,10,0,2,family name,,Q101352,,
Stadtbreimus,Breimsvassdraget,Q11962184,10,0,2,river system in Norway,,Q285451|Q166620,,
Stadtbreimus,Breimsbygda IL,Q11962182,10,0,2,"sports club in Breim, Gloppen, Vestland, Norway",Breimsbygda Idrettslag,Q847017,,
Stadtbreimus,Breimeyer,Q107419338,10,0,2,family name,,Q101352,,
Stadtbreimus,Breimesser,Q83343001,10,0,2,family name,,Q101352,,
Troisvkerges,Troisvilles,Q658080,11,0,2,"commune in Nord, France",,Q484170,,Troisvilles
Troisvkerges,Troisvilles weather station,Q118246833,11,0,2,"weather station located in Nord, in France",,Q190107,,
Troisvkerges,"Troisvilles Communal Cemetery, Commonwealth Plot",Q2094374,11,0,2,"cemetery located in Nord, in France",,Q56632662|Q14750991,,
Shiflange,,,12,0,0,,,,,
