data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Oude Molen,Oude Molen,Q2495990,0,0,1,"watermill in Valkenburg, Netherlands","Oude of Banmolen, Valkenburg|Banmolen",Q185187,,
Oude Molen,Oude Molenweg,Q19401917,0,0,1,"street in Maastricht, the Netherlands",,Q79007,,
Oude Molen,Oude Molen,Q2296808,0,0,1,"former watermill in Simpelveld, Netherland",,Q185187,,"Oude Molen, Simpelveld"
Oude Molen,Kralingerpolder,Q17606394,0,0,1,"windmill in Maasland, Netherlands",Grote Molen|Oude Molen,Q38720,,
Oude Molen,Oude Molen,Q4493549,0,0,1,"hamlet in Deventer, Netherlands",,Q1484611,,
Oude Molen,Oude Molen,Q2273198,0,0,1,"hamlet in Bergen op Zoom, the Netherlands",,Q1484611,,
Oude Molen,Oude Molen,Q18434539,0,0,1,"watermill in Berlingen, Belgium",,Q185187,,
Oude Molen,Oude Molen,Q108907501,0,0,1,"former windmill in Wuustwezel, Belgium",,Q38720|Q819774,,
Oude Molen,Oude Molen,Q20829753,0,0,1,"watermill in Geenrode, Belgium",,Q185187,,
Oude Molen,Oude Molen,Q56188021,0,0,1,"windmill in Oostkerke (Damme), Belgium",Molen Mengé,Q38720,,
Oude Molen,Vieille Rue du Moulin - Oude Molenstraat,Q85656456,0,0,2,"street in Uccle, Belgium",Vieille Rue du Moulin|Oude Molenstraat,Q79007,,
Oude Molen,Rue du Vieux Moulin - Oude Molenstraat,Q3452634,0,0,2,"street in Auderghem, Belgium",Rue du Vieux Moulin|Oude Molenstraat,Q79007,,
Oude Molen,Oude Molenstraat,Q19401904,0,0,2,"street in Simpelveld, the Netherlands",,Q79007,,
Oude Molen,Oude Molenstraat,Q19401905,0,0,2,"street in Zeeland, the Netherlands",,Q79007,,
Oude Molen,Oude-Molenstraat,Q19403017,0,0,2,"street in Assen, the Netherlands",,Q79007,,
Oude Molen,Oude Molenstraat,Q19401901,0,0,2,"street in Oss, the Netherlands","Oude Molenstraat, Oss",Q79007,,
Oude Molen,Oude Molenstraat,Q19401903,0,0,2,"street in Schoonoord, the Netherlands",,Q79007,,
Oude Molen,"Oude Molenstraat 2, Simpelveld",Q17440633,0,0,2,"building in Simpelveld, Netherlands",,Q41176,,
Oude Molen,Simpelveld,Q9769,0,0,2,"municipality in Limburg, the Netherlands",,Q2039348,,Simpelveld
Oude Molen,Simpelveld,Q14339968,0,0,2,"village in Simpelveld, Netherlands",,Q532|Q1852859,,
Oude Molen,Simpelveld railway station,Q2125635,0,0,2,railway station in the Netherlands,,Q55488,,
Oude Molen,Simpelvelder Straße,Q140756304,0,0,2,"street in Aachen, Germany","Simpelvelder Straße, Aachen|Simpelvelder Straße (Aachen)",Q79007|Q469510,,
Oude Molen,Simpelveld municipal council,Q106219417,0,0,2,,,Q17014622,,
Oude Molen,Simpelveld public library service point,Q61915789,0,0,2,"Public library in Simpelveld, province of Limburg, The Netherlands",,Q28564|Q11396180,,
Oude Molen,Simpelveld Member,Q109801586,0,0,2,,,Q2092603,,
Oude Molen,flag of Simpelveld,Q28103014,0,0,2,"flag of municipality in Limburg, the Netherlands",Simpelveld flag,Q21850100,,
Oude Molen,Simpelveld dialect,Q97263688,0,0,2,,,Q33384,Q102172,
Oude Molen,Simpelveld/Parkstad 5300-5500 junction,Q131149928,0,0,2,"connection of the N281, Netherlands",,Q353070,,
Oude Molenstraat,Vieille Rue du Moulin - Oude Molenstraat,Q85656456,0,1,1,"street in Uccle, Belgium",Vieille Rue du Moulin|Oude Molenstraat,Q79007,,
Oude Molenstraat,Rue du Vieux Moulin - Oude Molenstraat,Q3452634,0,1,1,"street in Auderghem, Belgium",Rue du Vieux Moulin|Oude Molenstraat,Q79007,,
Oude Molenstraat,Oude Molenstraat,Q19401904,0,1,1,"street in Simpelveld, the Netherlands",,Q79007,,
Oude Molenstraat,Oude Molenstraat,Q19401905,0,1,1,"street in Zeeland, the Netherlands",,Q79007,,
Oude Molenstraat,Oude-Molenstraat,Q19403017,0,1,1,"street in Assen, the Netherlands",,Q79007,,
Oude Molenstraat,Oude Molenstraat,Q19401901,0,1,1,"street in Oss, the Netherlands","Oude Molenstraat, Oss",Q79007,,
Oude Molenstraat,Oude Molenstraat,Q19401903,0,1,1,"street in Schoonoord, the Netherlands",,Q79007,,
Oude Molenstraat,"Oude Molenstraat 2, Simpelveld",Q17440633,0,1,1,"building in Simpelveld, Netherlands",,Q41176,,
Oude Molenstraat,Oude Molen,Q2495990,0,1,2,"watermill in Valkenburg, Netherlands","Oude of Banmolen, Valkenburg|Banmolen",Q185187,,
Oude Molenstraat,Oude Molenweg,Q19401917,0,1,2,"street in Maastricht, the Netherlands",,Q79007,,
Oude Molenstraat,Oude Molen,Q2296808,0,1,2,"former watermill in Simpelveld, Netherland",,Q185187,,"Oude Molen, Simpelveld"
Oude Molenstraat,Kralingerpolder,Q17606394,0,1,2,"windmill in Maasland, Netherlands",Grote Molen|Oude Molen,Q38720,,
Oude Molenstraat,Oude Molen,Q4493549,0,1,2,"hamlet in Deventer, Netherlands",,Q1484611,,
Oude Molenstraat,Oude Molen,Q2273198,0,1,2,"hamlet in Bergen op Zoom, the Netherlands",,Q1484611,,
Oude Molenstraat,Oude Molen,Q18434539,0,1,2,"watermill in Berlingen, Belgium",,Q185187,,
Oude Molenstraat,Oude Molen,Q108907501,0,1,2,"former windmill in Wuustwezel, Belgium",,Q38720|Q819774,,
Oude Molenstraat,Oude Molen,Q20829753,0,1,2,"watermill in Geenrode, Belgium",,Q185187,,
Oude Molenstraat,Oude Molen,Q56188021,0,1,2,"windmill in Oostkerke (Damme), Belgium",Molen Mengé,Q38720,,
Oude Molenstraat,Simpelveld,Q9769,0,1,2,"municipality in Limburg, the Netherlands",,Q2039348,,Simpelveld
Oude Molenstraat,Simpelveld,Q14339968,0,1,2,"village in Simpelveld, Netherlands",,Q532|Q1852859,,
Oude Molenstraat,Simpelveld railway station,Q2125635,0,1,2,railway station in the Netherlands,,Q55488,,
Oude Molenstraat,Simpelvelder Straße,Q140756304,0,1,2,"street in Aachen, Germany","Simpelvelder Straße, Aachen|Simpelvelder Straße (Aachen)",Q79007|Q469510,,
Oude Molenstraat,Simpelveld municipal council,Q106219417,0,1,2,,,Q17014622,,
Oude Molenstraat,Simpelveld public library service point,Q61915789,0,1,2,"Public library in Simpelveld, province of Limburg, The Netherlands",,Q28564|Q11396180,,
Oude Molenstraat,Simpelveld Member,Q109801586,0,1,2,,,Q2092603,,
Oude Molenstraat,flag of Simpelveld,Q28103014,0,1,2,"flag of municipality in Limburg, the Netherlands",Simpelveld flag,Q21850100,,
Oude Molenstraat,Simpelveld dialect,Q97263688,0,1,2,,,Q33384,Q102172,
Oude Molenstraat,Simpelveld/Parkstad 5300-5500 junction,Q131149928,0,1,2,"connection of the N281, Netherlands",,Q353070,,
Simpelveld,Simpelveld,Q9769,0,2,1,"municipality in Limburg, the Netherlands",,Q2039348,,Simpelveld
Simpelveld,Simpelveld,Q14339968,0,2,1,"village in Simpelveld, Netherlands",,Q532|Q1852859,,
Simpelveld,Simpelveld railway station,Q2125635,0,2,1,railway station in the Netherlands,,Q55488,,
Simpelveld,Simpelvelder Straße,Q140756304,0,2,1,"street in Aachen, Germany","Simpelvelder Straße, Aachen|Simpelvelder Straße (Aachen)",Q79007|Q469510,,
Simpelveld,Simpelveld municipal council,Q106219417,0,2,1,,,Q17014622,,
Simpelveld,Simpelveld public library service point,Q61915789,0,2,1,"Public library in Simpelveld, province of Limburg, The Netherlands",,Q28564|Q11396180,,
Simpelveld,Simpelveld Member,Q109801586,0,2,1,,,Q2092603,,
Simpelveld,flag of Simpelveld,Q28103014,0,2,1,"flag of municipality in Limburg, the Netherlands",Simpelveld flag,Q21850100,,
Simpelveld,Simpelveld dialect,Q97263688,0,2,1,,,Q33384,Q102172,
Simpelveld,Simpelveld/Parkstad 5300-5500 junction,Q131149928,0,2,1,"connection of the N281, Netherlands",,Q353070,,
Simpelveld,Oude Molen,Q2495990,0,2,2,"watermill in Valkenburg, Netherlands","Oude of Banmolen, Valkenburg|Banmolen",Q185187,,
Simpelveld,Oude Molenweg,Q19401917,0,2,2,"street in Maastricht, the Netherlands",,Q79007,,
Simpelveld,Oude Molen,Q2296808,0,2,2,"former watermill in Simpelveld, Netherland",,Q185187,,"Oude Molen, Simpelveld"
Simpelveld,Kralingerpolder,Q17606394,0,2,2,"windmill in Maasland, Netherlands",Grote Molen|Oude Molen,Q38720,,
Simpelveld,Oude Molen,Q4493549,0,2,2,"hamlet in Deventer, Netherlands",,Q1484611,,
Simpelveld,Oude Molen,Q2273198,0,2,2,"hamlet in Bergen op Zoom, the Netherlands",,Q1484611,,
Simpelveld,Oude Molen,Q18434539,0,2,2,"watermill in Berlingen, Belgium",,Q185187,,
Simpelveld,Oude Molen,Q108907501,0,2,2,"former windmill in Wuustwezel, Belgium",,Q38720|Q819774,,
Simpelveld,Oude Molen,Q20829753,0,2,2,"watermill in Geenrode, Belgium",,Q185187,,
Simpelveld,Oude Molen,Q56188021,0,2,2,"windmill in Oostkerke (Damme), Belgium",Molen Mengé,Q38720,,
Simpelveld,Vieille Rue du Moulin - Oude Molenstraat,Q85656456,0,2,2,"street in Uccle, Belgium",Vieille Rue du Moulin|Oude Molenstraat,Q79007,,
Simpelveld,Rue du Vieux Moulin - Oude Molenstraat,Q3452634,0,2,2,"street in Auderghem, Belgium",Rue du Vieux Moulin|Oude Molenstraat,Q79007,,
Simpelveld,Oude Molenstraat,Q19401904,0,2,2,"street in Simpelveld, the Netherlands",,Q79007,,
Simpelveld,Oude Molenstraat,Q19401905,0,2,2,"street in Zeeland, the Netherlands",,Q79007,,
Simpelveld,Oude-Molenstraat,Q19403017,0,2,2,"street in Assen, the Netherlands",,Q79007,,
Simpelveld,Oude Molenstraat,Q19401901,0,2,2,"street in Oss, the Netherlands","Oude Molenstraat, Oss",Q79007,,
Simpelveld,Oude Molenstraat,Q19401903,0,2,2,"street in Schoonoord, the Netherlands",,Q79007,,
Simpelveld,"Oude Molenstraat 2, Simpelveld",Q17440633,0,2,2,"building in Simpelveld, Netherlands",,Q41176,,
Oude Molen,Oude Molen,Q2495990,1,0,1,"watermill in Valkenburg, Netherlands","Oude of Banmolen, Valkenburg|Banmolen",Q185187,,
Oude Molen,Oude Molenweg,Q19401917,1,0,1,"street in Maastricht, the Netherlands",,Q79007,,
Oude Molen,Oude Molen,Q2296808,1,0,1,"former watermill in Simpelveld, Netherland",,Q185187,,"Oude Molen, Simpelveld"
Oude Molen,Kralingerpolder,Q17606394,1,0,1,"windmill in Maasland, Netherlands",Grote Molen|Oude Molen,Q38720,,
Oude Molen,Oude Molen,Q4493549,1,0,1,"hamlet in Deventer, Netherlands",,Q1484611,,
