data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Kyoto Prefecture,Kyoto Prefecture,Q120730,0,0,1,prefecture of Japan,Kyoto-fu|Kyōto-fu|Kyoto|Kyōto Prefecture|Kyouto-fu,Q50337|Q839328,,Kyoto Prefecture
Kyoto Prefecture,flag of Kyoto prefecture,Q10883252,0,0,1,"flag used by Kyoto prefecture, Japan",Kyoto prefecture flag,Q22807280,,
Kyoto Prefecture,COVID-19 pandemic in Kyōto Prefecture,Q104719941,0,0,1,,"Kyōto Prefecture COVID-19 pandemic|2020 Kyōto Prefecture COVID-19 pandemic|COVID pandemic in Kyōto Prefecture|COVID-19 pandemic in Kyōto Prefecture, Japan",Q3241045,,
Kyoto Prefecture,Agency for Cultural Affairs new administrative building,Q117356120,0,0,1,building in Japan,Kyoto Prefecture Government Building No.3,Q1220959,,
Kyoto Prefecture,Kyoto Prefecture Statistical Yearbook,Q131787510,0,0,1,,,Q567357,,
Kyoto Prefecture,Kyoto Prefecture Museum Forum,Q139621860,0,0,1,Japanese museum association,,Q88667167,,
Kyoto Prefecture,Kyoto Prefecture Archaeological Research Center,Q30266406,0,0,1,"organization in Kyoto, Japan",,Q43229,,
Okayama Prefecture,Okayama Prefecture,Q132936,1,0,1,prefecture of Japan,,Q50337,,Okayama Prefecture
Okayama Prefecture,Okayama Psychiatric Medical Center,Q11472356,1,0,1,hospital in Japan,Okayama Prefecture shōshinkai dormitory Center,Q16917,,
Okayama Prefecture,flag of Okayama prefecture,Q11472270,1,0,1,"flag used by Okayama prefecture, Japan",Okayama prefecture flag,Q22807280,,
Okayama Prefecture,COVID-19 pandemic in Okayama Prefecture,Q104719947,1,0,1,,"Okayama Prefecture COVID-19 pandemic|2020 Okayama Prefecture COVID-19 pandemic|COVID pandemic in Okayama Prefecture|COVID-19 pandemic in Okayama Prefecture, Japan",Q3241045|Q3241045,,
Okayama Prefecture,Okayama Prefecture Mimasaka Rugby Soccer Field,Q1936029,1,0,1,"rugby union and association football venue in Mimasaka, Okayama Prefecture, Japan",Mimasaka Rugby Soccer Field|Mimasaka Rugby Football Field,Q1154710|Q15303456,,
Okayama Prefecture,Okayama Prefectural Education Center,Q17224203,1,0,1,"education organization in Takahashi, Japan",Okayama Prefecture Education Center,Q2385804,,
Okayama Prefecture,Okayama Prefecture Designated Historic Sites,Q11472269,1,0,1,Wikimedia list article,,Q13406463,,
Okayama Prefecture,Okayama derby,Q11472047,1,0,1,association football rivalry between the teams of Okayama Prefecture,Okayama Prefecture derby|Fagiano Okayama vs Mitsubishi Mortors Mizushima FC|Mitsubishi Mortors Mizushima FC vs Fagiano Okayama|Okayama Yunogo Belle  vs Kibi International University Charme Okayama Takahashi|Kibi International University Charme Okayama Takahashi vs Okayama Yunogo Belle,Q116597750,,
Okayama Prefecture,Okayama Prefecture Industrial Promotion Foundation,Q131876410,1,0,1,"nonprofit organization in Okayama, Japan",,Q163740,,
