data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Boon Township,Boon Township,Q2844073,0,0,1,"township in Wexford County, Michigan",,Q17205774,,"Boon Township, Michigan"
Boon Township,Boon Township,Q4943583,0,0,1,"township in Warrick County, Indiana",,Q17201685,,"Boon Township, Warrick County, Indiana"
Boon Township,Boon Township,Q893049,0,0,1,Wikimedia disambiguation page,,Q4167410,,Boon Township
Boon Township,Boon,Q22086086,0,0,2,"human settlement in Boon Township, Wexford County, Michigan, United States of America","Boon, Michigan|Boon, MI",Q498162|Q17343829,,"Boon, Michigan"
Prairie Township,Prairie Township,Q9043674,1,0,1,"township in Fremont County, Iowa","Prairie Township, Fremont County, Iowa",Q17205621,,"Prairie Township, Fremont County, Iowa"
Prairie Township,Prairie Township,Q6031080,1,0,1,"township in Union County, South Dakota",,Q28111,,
Prairie Township,Prairie Township,Q7237988,1,0,1,"township in Crawford County, Illinois",,Q17198545,,"Prairie Township, Crawford County, Illinois"
Prairie Township,Prairie Township,Q7237993,1,0,1,"township in Edgar County, Illinois",,Q17198545,,"Prairie Township, Edgar County, Illinois"
Prairie Township,Prairie Township,Q7238006,1,0,1,"township in Shelby County, Illinois",,Q17198545,,"Prairie Township, Shelby County, Illinois"
Prairie Township,Prairie Township,Q7237995,1,0,1,"township in Franklin County, Ohio",,Q17198620,,"Prairie Township, Franklin County, Ohio"
Prairie Township,Prairie Township,Q11694303,1,0,1,"township in Hancock County, Illinois",,Q17198545,,"Prairie Township, Hancock County, Illinois"
Prairie Township,Prairie Township,Q7238010,1,0,1,"township in Warren County, Indiana",,Q17201685,,"Prairie Township, Warren County, Indiana"
Prairie Township,Prairie Township,Q7238014,1,0,1,"township in Washington County, Arkansas",,Q24027556,,"Prairie Township, Washington County, Arkansas"
Prairie Township,Prairie Township,Q7238007,1,0,1,"township in Tipton County, Indiana",,Q17201685,,"Prairie Township, Tipton County, Indiana"
Prairie Township,"Prairie Township, Ohio",Q7237998,1,0,2,Wikimedia disambiguation page,,Q4167410,,"Prairie Township, Ohio"
Prairie Township,Prairie Township,Q9043674,2,0,1,"township in Fremont County, Iowa","Prairie Township, Fremont County, Iowa",Q17205621,,"Prairie Township, Fremont County, Iowa"
Prairie Township,Prairie Township,Q6031080,2,0,1,"township in Union County, South Dakota",,Q28111,,
Prairie Township,Prairie Township,Q7237988,2,0,1,"township in Crawford County, Illinois",,Q17198545,,"Prairie Township, Crawford County, Illinois"
Prairie Township,Prairie Township,Q7237993,2,0,1,"township in Edgar County, Illinois",,Q17198545,,"Prairie Township, Edgar County, Illinois"
Prairie Township,Prairie Township,Q7238006,2,0,1,"township in Shelby County, Illinois",,Q17198545,,"Prairie Township, Shelby County, Illinois"
Prairie Township,Prairie Township,Q7237995,2,0,1,"township in Franklin County, Ohio",,Q17198620,,"Prairie Township, Franklin County, Ohio"
Prairie Township,Prairie Township,Q11694303,2,0,1,"township in Hancock County, Illinois",,Q17198545,,"Prairie Township, Hancock County, Illinois"
Prairie Township,Prairie Township,Q7238010,2,0,1,"township in Warren County, Indiana",,Q17201685,,"Prairie Township, Warren County, Indiana"
Prairie Township,Prairie Township,Q7238014,2,0,1,"township in Washington County, Arkansas",,Q24027556,,"Prairie Township, Washington County, Arkansas"
Prairie Township,Prairie Township,Q7238007,2,0,1,"township in Tipton County, Indiana",,Q17201685,,"Prairie Township, Tipton County, Indiana"
Prairie Township,"Prairie Township, Ohio",Q7237998,2,0,2,Wikimedia disambiguation page,,Q4167410,,"Prairie Township, Ohio"
Prairie Township,Prairie Township,Q9043674,3,0,1,"township in Fremont County, Iowa","Prairie Township, Fremont County, Iowa",Q17205621,,"Prairie Township, Fremont County, Iowa"
Prairie Township,Prairie Township,Q6031080,3,0,1,"township in Union County, South Dakota",,Q28111,,
Prairie Township,Prairie Township,Q7237988,3,0,1,"township in Crawford County, Illinois",,Q17198545,,"Prairie Township, Crawford County, Illinois"
Prairie Township,Prairie Township,Q7237993,3,0,1,"township in Edgar County, Illinois",,Q17198545,,"Prairie Township, Edgar County, Illinois"
Prairie Township,Prairie Township,Q7238006,3,0,1,"township in Shelby County, Illinois",,Q17198545,,"Prairie Township, Shelby County, Illinois"
Prairie Township,Prairie Township,Q7237995,3,0,1,"township in Franklin County, Ohio",,Q17198620,,"Prairie Township, Franklin County, Ohio"
Prairie Township,Prairie Township,Q11694303,3,0,1,"township in Hancock County, Illinois",,Q17198545,,"Prairie Township, Hancock County, Illinois"
Prairie Township,Prairie Township,Q7238010,3,0,1,"township in Warren County, Indiana",,Q17201685,,"Prairie Township, Warren County, Indiana"
Prairie Township,Prairie Township,Q7238014,3,0,1,"township in Washington County, Arkansas",,Q24027556,,"Prairie Township, Washington County, Arkansas"
Prairie Township,Prairie Township,Q7238007,3,0,1,"township in Tipton County, Indiana",,Q17201685,,"Prairie Township, Tipton County, Indiana"
Prairie Township,"Prairie Township, Ohio",Q7237998,3,0,2,Wikimedia disambiguation page,,Q4167410,,"Prairie Township, Ohio"
Prairie Township,Prairie Township,Q9043674,4,0,1,"township in Fremont County, Iowa","Prairie Township, Fremont County, Iowa",Q17205621,,"Prairie Township, Fremont County, Iowa"
Prairie Township,Prairie Township,Q6031080,4,0,1,"township in Union County, South Dakota",,Q28111,,
Prairie Township,Prairie Township,Q7237988,4,0,1,"township in Crawford County, Illinois",,Q17198545,,"Prairie Township, Crawford County, Illinois"
Prairie Township,Prairie Township,Q7237993,4,0,1,"township in Edgar County, Illinois",,Q17198545,,"Prairie Township, Edgar County, Illinois"
Prairie Township,Prairie Township,Q7238006,4,0,1,"township in Shelby County, Illinois",,Q17198545,,"Prairie Township, Shelby County, Illinois"
Prairie Township,Prairie Township,Q7237995,4,0,1,"township in Franklin County, Ohio",,Q17198620,,"Prairie Township, Franklin County, Ohio"
Prairie Township,Prairie Township,Q11694303,4,0,1,"township in Hancock County, Illinois",,Q17198545,,"Prairie Township, Hancock County, Illinois"
Prairie Township,Prairie Township,Q7238010,4,0,1,"township in Warren County, Indiana",,Q17201685,,"Prairie Township, Warren County, Indiana"
Prairie Township,Prairie Township,Q7238014,4,0,1,"township in Washington County, Arkansas",,Q24027556,,"Prairie Township, Washington County, Arkansas"
Prairie Township,Prairie Township,Q7238007,4,0,1,"township in Tipton County, Indiana",,Q17201685,,"Prairie Township, Tipton County, Indiana"
Prairie Township,"Prairie Township, Ohio",Q7237998,4,0,2,Wikimedia disambiguation page,,Q4167410,,"Prairie Township, Ohio"
Prairie Township,Prairie Township,Q9043674,5,0,1,"township in Fremont County, Iowa","Prairie Township, Fremont County, Iowa",Q17205621,,"Prairie Township, Fremont County, Iowa"
Prairie Township,Prairie Township,Q6031080,5,0,1,"township in Union County, South Dakota",,Q28111,,
Prairie Township,Prairie Township,Q7237988,5,0,1,"township in Crawford County, Illinois",,Q17198545,,"Prairie Township, Crawford County, Illinois"
Prairie Township,Prairie Township,Q7237993,5,0,1,"township in Edgar County, Illinois",,Q17198545,,"Prairie Township, Edgar County, Illinois"
Prairie Township,Prairie Township,Q7238006,5,0,1,"township in Shelby County, Illinois",,Q17198545,,"Prairie Township, Shelby County, Illinois"
Prairie Township,Prairie Township,Q7237995,5,0,1,"township in Franklin County, Ohio",,Q17198620,,"Prairie Township, Franklin County, Ohio"
Prairie Township,Prairie Township,Q11694303,5,0,1,"township in Hancock County, Illinois",,Q17198545,,"Prairie Township, Hancock County, Illinois"
Prairie Township,Prairie Township,Q7238010,5,0,1,"township in Warren County, Indiana",,Q17201685,,"Prairie Township, Warren County, Indiana"
Prairie Township,Prairie Township,Q7238014,5,0,1,"township in Washington County, Arkansas",,Q24027556,,"Prairie Township, Washington County, Arkansas"
Prairie Township,Prairie Township,Q7238007,5,0,1,"township in Tipton County, Indiana",,Q17201685,,"Prairie Township, Tipton County, Indiana"
Prairie Township,"Prairie Township, Ohio",Q7237998,5,0,2,Wikimedia disambiguation page,,Q4167410,,"Prairie Township, Ohio"
Prairie Township,Prairie Township,Q9043674,6,0,1,"township in Fremont County, Iowa","Prairie Township, Fremont County, Iowa",Q17205621,,"Prairie Township, Fremont County, Iowa"
Prairie Township,Prairie Township,Q6031080,6,0,1,"township in Union County, South Dakota",,Q28111,,
Prairie Township,Prairie Township,Q7237988,6,0,1,"township in Crawford County, Illinois",,Q17198545,,"Prairie Township, Crawford County, Illinois"
Prairie Township,Prairie Township,Q7237993,6,0,1,"township in Edgar County, Illinois",,Q17198545,,"Prairie Township, Edgar County, Illinois"
Prairie Township,Prairie Township,Q7238006,6,0,1,"township in Shelby County, Illinois",,Q17198545,,"Prairie Township, Shelby County, Illinois"
Prairie Township,Prairie Township,Q7237995,6,0,1,"township in Franklin County, Ohio",,Q17198620,,"Prairie Township, Franklin County, Ohio"
Prairie Township,Prairie Township,Q11694303,6,0,1,"township in Hancock County, Illinois",,Q17198545,,"Prairie Township, Hancock County, Illinois"
Prairie Township,Prairie Township,Q7238010,6,0,1,"township in Warren County, Indiana",,Q17201685,,"Prairie Township, Warren County, Indiana"
Prairie Township,Prairie Township,Q7238014,6,0,1,"township in Washington County, Arkansas",,Q24027556,,"Prairie Township, Washington County, Arkansas"
Prairie Township,Prairie Township,Q7238007,6,0,1,"township in Tipton County, Indiana",,Q17201685,,"Prairie Township, Tipton County, Indiana"
