data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
1956 Italian Grand Prix,1956 Italian Grand Prix,Q331218,0,0,1,Formula One motor race held in 1956,,Q8036|Q114609228,,1956 Italian Grand Prix
1999 Italian Grand Prix,1999 Italian Grand Prix,Q362986,1,0,1,Formula One motor race held in 1999,,Q8036|Q114609228,,1999 Italian Grand Prix
1999 Italian Grand Prix,Formula 1 Grand Prix,Q11860636,1,0,2,board game,,Q131436,,
1999 Italian Grand Prix,2018 Monaco Grand Prix,Q48311119,1,0,2,6th round of the 2018 Formula One season,Formula 1 Grand Prix de Monaco 2018,Q9102|Q114609228,,2018 Monaco Grand Prix
1999 Italian Grand Prix,2015 Monaco Grand Prix,Q19787992,1,0,2,Formula One motor race held in 2015,Grand Prix de Monaco 2015|Formula 1 Grand Prix de Monaco 2015,Q114609228,,2015 Monaco Grand Prix
1999 Italian Grand Prix,2018 Canadian Grand Prix,Q48311139,1,0,2,motor car race,Formula 1 Grand Prix Heineken du Canada 2018,Q114609228,,2018 Canadian Grand Prix
1999 Italian Grand Prix,2019 Monaco Grand Prix,Q61366337,1,0,2,Formula One race,Formula 1 Grand Prix de Monaco 2019,Q114609228,,2019 Monaco Grand Prix
1999 Italian Grand Prix,2013 Monaco Grand Prix,Q6352450,1,0,2,Formula One motor race,Formula 1 Grand Prix de Monaco 2013,Q114609228,,2013 Monaco Grand Prix
1999 Italian Grand Prix,Formula One Grand Prix,Q11924610,1,0,2,,F1 Grand Prix,,Q87267404|Q18131152,
1999 Italian Grand Prix,2017 Monaco Grand Prix,Q28747719,1,0,2,6th round of the 2017 Formula One season,,Q9102|Q114609228,,2017 Monaco Grand Prix
1999 Italian Grand Prix,2017 Canadian Grand Prix,Q28924289,1,0,2,motor car race,2017 Canada Grand Prix,Q114609228,,2017 Canadian Grand Prix
1999 Italian Grand Prix,2016 Canadian Grand Prix,Q23045166,1,0,2,formula 1 race,,Q114609228,,2016 Canadian Grand Prix
1999 Italian Grand Prix,Italian Grand Prix,Q8036,1,0,2,auto race held in Italy,,Q18608583|Q108886259,Q11924610,Italian Grand Prix
1999 Italian Grand Prix,Italian Grand Prix Gliding,Q6092758,1,0,2,,,Q65743816,,Italian Grand Prix Gliding
1999 Italian Grand Prix,2016 Italian Grand Prix,Q23045185,1,0,2,Formula One motor race held in 2016,,Q114609228,,2016 Italian Grand Prix
1999 Italian Grand Prix,2020 Italian Grand Prix,Q67123918,1,0,2,Formula One race,Formula 1 Gran Premio Heineken d'Italia 2020,Q114609228,,2020 Italian Grand Prix
1999 Italian Grand Prix,2013 Italian Grand Prix,Q6352437,1,0,2,Formula One motor race held in 2013,,Q8036|Q114609228,,2013 Italian Grand Prix
