data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Bolango,Bolango,Q3450578,0,0,1,language,Bolango language,Q34770|Q1288568,,Bolango language
Bolango,Bolango,Q22697312,0,0,1,river in the Central African Republic,,Q4022,,
Bolango,Bolango Sultanate,Q125659289,0,0,1,,,Q3024240,,
Hup,Harvard University Press,Q1587900,1,0,1,American university publishing house,,Q479716|Q1320047,,Harvard University Press
Hup,Piasecki HUP Retriever,Q3382217,1,0,1,utility helicopter series by Piasecki,Piasecki H-25|Piasecki HUP Retriever|H-25 Retriever|Retriever helicopter|Retriever|HUP|UH-25|HUP Retriever|H-25,Q15056993,Q2736067,Piasecki HUP Retriever
Hup,Hup,Q16994468,1,0,1,album by The Wonder Stuff,,Q482994,,Hup (album)
Hup,Hup,Q109249856,1,0,1,photographer,,Q5,,
Hup,Hup,Q37176511,1,0,1,family name,,Q101352,,
Hup,Huperzia,Q2111150,1,0,1,genus of plants,,Q16521,,Huperzia
Hup,Huperzia serrata,Q1044073,1,0,1,species of plant,,Q16521,,Huperzia serrata
Hup,Hospital of the University of Pennsylvania,Q5908783,1,0,1,"hospital in Philadelphia, Pennsylvania",HUP|UPMC|University of Pennsylvania Medical Center|University Hospital|UPenn Hospital,Q16917,,Hospital of the University of Pennsylvania
Hup,Hup,Q108298090,1,0,1,"Dutch artist, active approximately 1656",,Q5,,
Hup,Huperzia lucidula,Q4567960,1,0,1,species of plant,shining firmoss|shining clubmoss,Q16521,,Huperzia lucidula
Istro-Romanian,Istro-Romanian,Q33622,2,0,1,Romance language of the Balkans,Istro Romanian|Istro-Romanian language|Rumârește|Vlășește,Q34770|Q1288568|Q4085712,Q147576,Istro-Romanian language
Istro-Romanian,Istro-Romanians,Q1295763,2,0,1,"ethnic group primarily living in Istria, Croatia",,Q41710,,Istro-Romanians
Istro-Romanian,Istro-Romanian grammar,Q8273224,2,0,1,Grammar of the Istro-Romanian language,,,,Istro-Romanian grammar
Istro-Romanian,Istro-Romanian alphabet,Q85770214,2,0,1,alphabet used for the Istro-Romanian language,,,,Istro-Romanian alphabet
Istro-Romanian,Istro-Romanian proverbs,Q21203857,2,0,1,,,,,
Istro-Romanian,Istro-Romanian,Q6089072,2,0,1,Wikimedia disambiguation page,,Q4167410,,Istro-Romanian
Chukchi,Chukchi,Q33170,3,0,1,Palaeosiberian language,Chukot|Ləɣ'orawetl'at|ckt|Chukchi language,Q33742|Q1288568,Q2606732,Chukchi language
Chukchi,Chukchis,Q106991,3,0,1,ethnic group,Chukchi|Chuckchee,Q41710,Q332801,Chukchi people
Chukchi,Chukchi Sea,Q159252,3,0,1,sea of the Arctic Ocean,Chukotka Sea,Q165,,Chukchi Sea
Chukchi,Chukchi Peninsula,Q1002,3,0,1,peninsula in the extreme North-Eastern Russia,Chukotka,Q34763,,Chukchi Peninsula
Chukchi,Chukchi,Q32650675,3,0,1,river in Russia,,Q4022,,
Chukchi,Chukchia,Q21582287,3,0,1,genus of brown algae,,Q16521,,
Chukchi,Chukotko-Kamchatkan,Q33255,3,0,1,language family,Chukchi–Kamchatkan|Chukotko-Kamchatkan languages,Q25295,Q33909,Chukotko-Kamchatkan languages
Chukchi,Chukchia pedicellata,Q29573529,3,0,1,species of Phaeophyceae,,Q16521,,
Chukchi,Chukchia endophytica,Q29573530,3,0,1,species of Phaeophyceae,,Q16521,,
Chukchi,"Chukchi, English, and Eskimo: A survey of jargons in the Chukotka Peninsula area",Q140049064,3,0,1,book chapter in Language Contact in the Arctic (1996),,Q1980247,,
Chukchi,Chukchi Sea marine ecoregion,Q107554799,3,0,2,bio-geographic region in MEOW scheme,,Q107539356,,
Chukchi,Chukchi Sea Shelf,Q5116015,3,0,2,westernmost part of the continental shelf of North America and the easternmost part of the continental shelf of Asia.,,,,Chukchi Shelf
Chukchi,Chukchi Sea Ice Conditions for the Last Few Centuries: Reconstruction from Sedimentation Records,Q129500837,3,0,2,scholarly article,,Q13442814,,
