data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
X Persei,X Persei,Q4597650,0,0,1,binary star system in the constellation Perseus,HD 24534|HR 1209,Q50053|Q812800|Q2154519|Q1993624|Q1044693|Q6243|Q67206691|Q845169|Q4360|Q72803622|Q71962386,,X Persei
X Persei,X Persei,Q68203436,0,0,1,scientific article published in January 1978,,Q13442814,,
X Persei,X Persei,Q68621518,0,0,1,scientific article published in January 1991,,Q13442814,,
X Persei,X Persei,Q68273954,0,0,1,,,Q13442814,,
X Persei,X Persei,Q68203763,0,0,1,scientific article published in January 1975,,Q13442814,,
X Persei,X PERSEI AND X-RAY SOURCE 3U0352+30,Q100234882,0,0,1,article published in 1977,,Q13442814,,
X Persei,X Persei : the light level decreases,Q68225871,0,0,1,scientific article published in 1989,,Q13442814,,
X Persei,X Persei: optical polarization variation on the 580 day binary-like period,Q68587941,0,0,1,scientific article published in 1983,,Q13442814,,
X Persei,X Persei : the optical 13.9-minute periodicity,Q68609418,0,0,1,scholarly article,,Q13442814,,
X Persei,Alpha Persei,Q13790,0,0,2,star in the constellation Perseus,Mirfak|33 Persei|* alf Per,Q523|Q13890|Q6243|Q67206691|Q1547772|Q71798788|Q67206785,,Alpha Persei
X Persei,Alpha Persei Cluster,Q1072618,0,0,2,open cluster in the constellation Perseus,,Q11387,,Alpha Persei Cluster
X Persei,Gamma Pegasi,Q954716,0,0,2,variable star in the constellation Pegasus,Algenib|88 Pegasi|γ Peg|88 Peg|γ Pegasi|V* gam Peg|gam Peg|HR 39|HD 886|HIC 1067|HIP 1067|HGAM 5|PHL 734|UBV 128|WEB 185|GC 238|GCRV 105|PLX 33|ALS 15090|ROT 69|Algemo,Q13890|Q6243|Q764463|Q67206691|Q71798532|Q67206785|Q71798788|Q523|Q353834,,Gamma Pegasi
X Persei,Algenib,Q83631346,0,0,2,ship built in 1960,IMO 5010830,Q11446,,
X Persei,Algenib,Q117070559,0,0,2,fishing vessel,IMO 7045140,Q1420024,,
X Persei,Algenib,Q23852575,0,0,2,article in Otto's encyclopedia,,Q13433827,,
X Persei,Algenib is a spectroscopic binary,Q68275380,0,0,2,,,Q13442814,,
X Persei,algenib s. m. (supplément),Q56691359,0,0,2,entry in Grand dictionnaire universel du XIXe siècle,,Q3055347|Q1580166,,
X Persei,algenib s. m.,Q56691358,0,0,2,entry in Grand dictionnaire universel du XIXe siècle,,Q3055347|Q1580166,,
X Persei,Algenib,Q910725,0,0,2,Wikimedia disambiguation page,,Q4167410,,Algenib
V4641 Sagittarii,V4641 Sagittarii,Q751252,1,0,1,binary star,,Q50053|Q2154519|Q1457376|Q67206691|Q845169|Q1407562|Q71962386,,V4641 Sagittarii
V4641 Sagittarii,V4641 Sagittarii,Q68381774,1,0,1,scientific article published in January 2002,,Q13442814,,
V4641 Sagittarii,V4641 Sagittarii,Q68176901,1,0,1,scientific article published in January 2000,,Q13442814,,
V4641 Sagittarii,V4641 Sagittarii,Q68176085,1,0,1,scientific article published in January 2003,,Q13442814,,
V4641 Sagittarii,V4641 Sagittarii and GM Sagittarii,Q68317430,1,0,1,scientific article published in January 1999,,Q13442814,,
Messier 32,Messier 32,Q13720,2,0,1,elliptical galaxy in the constellation Andromeda,M32|New General Catalogue 221|NGC 221,Q234077|Q67206691|Q2154519|Q644507,,Messier 32
Messier 32,Messier 32,Q98961064,2,0,1,galaxy Messier 32 as depicted in Star Trek,M32|Star Trek Messier 32,,,
Messier 32,"4,294,967,295",Q16143324,2,0,2,natural number,2³² − 1|M32|four billion two hundred ninety-four million nine hundred sixty-seven thousand two hundred ninety-five,Q16317911|Q10338607|Q50707|Q3879418|Q1816844,,"4,294,967,295"
Messier 32,Chromobox protein homolog 3,Q21498057,2,0,2,mouse protein (annotated by UniProtKB/Swiss-Prot P23198),HP1 gamma|Heterochromatin protein 1 homolog gamma|M32|Modifier 2 protein,Q8054,,
Messier 32,Cbx3,Q18248152,2,0,2,protein-coding gene in the species Mus musculus,HP1g|M32|chromobox 3,Q7187,Q20747295,
Messier 32,M32 motorway,Q1809340,2,0,2,freeway in South Gloucestershire and Bristol,,Q46622,,M32 motorway
Messier 32,M3217,Q47107495,2,0,2,Mersenne prime,2^3217-1,Q186875|Q10338607|Q1816844,,
