data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Tehran,Tehran,Q3616,0,0,1,capital city of Iran,Ṭihrán,Q56557504|Q174844|Q208511|Q108178728,,Tehran
Tehran,Tehran Province,Q590866,0,0,1,province of Iran,,Q1344695,,Tehran province
Tehran,University of Tehran,Q737835,0,0,1,"university in Tehran, Iranian national heritage site",Tehran University|UT|University of Teheran|Teheran University,Q875538|Q209465|Q2065736,,University of Tehran
Tehran,Tehran University of Medical Sciences,Q7694901,0,0,1,"university in Tehran, Iranian national heritage site",TUMS,Q1916585|Q209465|Q2065736,,Tehran University of Medical Sciences
Tehran,Tehran,Q90389788,0,0,1,Israeli spy drama television series,,Q5398426,,Tehran (TV series)
Tehran,Behesht-e Zahra,Q814479,0,0,1,"cemetery in metropolitan Tehran, Iran",Tehran General Cemetery|General Cemetery of Tehran|Bihisht-i Zahra|Behesht-e Zahra Cemetery,Q39614,,Behesht-e Zahra
Tehran,Tehran,Q17361623,0,0,1,British Thoroughbred racehorse and sire,,Q726,,Tehran (horse)
Tehran,Amirkabir University of Technology,Q4746780,0,0,1,"public, research university located in Tehran, Iran",Tehran Polytechnic|Tehran Polytechnic University,Q62078547,,Amirkabir University of Technology
Tehran,Tiran,Q2633350,0,0,1,"city in Isfahan Province, Iran",Tīrān|Tehrān|Tihrān|Tirūn,Q56557504,,"Tiran, Iran"
Tehran,Tehran,Q111905449,0,0,1,episode of Veep,,Q21191270,,
Tehran,Islamic City Council of Tehran,Q5123141,0,0,2,"local authority of Tehran, Iran",Tehran City Council,Q3154693,,Islamic City Council of Tehran
Tehran,City Theater of Tehran,Q2276437,0,0,2,"theater in Tehran, Iranian national heritage site",Tehran City Theater,Q24354|Q42898444|Q2065736,,City Theater of Tehran
Tehran,Tehran City Council,Q39074584,0,0,2,Tehran City Council during the Pahlavi period,,Q3154693,,Tehran City Council (1968–1979)
Tehran,2006 Tehran City Council election,Q39060031,0,0,2,,"Tehran City Council election, 2006",Q40231,,2006 Tehran City Council election
Tehran,2013 Tehran City Council election,Q39060030,0,0,2,Iranian local election,"Tehran City Council election, 2013",Q40231,,2013 Tehran City Council election
Tehran,2003 Tehran City Council election,Q39060034,0,0,2,,"Tehran City Council election, 2003",Q40231,,2003 Tehran City Council election
Tehran,1999 Tehran City Council election,Q39060039,0,0,2,Iranian local election,"Tehran City Council election, 1999",Q40231,,1999 Tehran City Council election
Tehran,2017 Tehran City Council election,Q39060027,0,0,2,,"Tehran City Council election, 2017",Q40231,,2017 Tehran City Council election
Tehran,Tehran Province League,Q45761375,0,0,2,football league,Tehran Football Competitions,Q623109,,Tehran Province League
Sarnen,Sarnen,Q63964,1,0,1,"capital of the canton of Obwalden, Switzerland",Sarnen OW,Q70208|Q14770218|Q54935504,,Sarnen
Sarnen,Sarnen,Q19913612,1,0,1,painting by Thales Fielding,,Q3305213,,
Sarnen,Sarnen railway station,Q7424333,1,0,1,railway station in Switzerland,,Q55488,,Sarnen railway station
Sarnen,Kellner von Sarnen,Q99368051,1,0,1,,"Sarnen, Kellner von|Sarnen",Q8436,,
Sarnen,Sarnen,Q127431196,1,0,1,"The mint in Sarnen, Switzerland",Mint of Sarnen,Q464780,,
Sarnen,Sarnena Sredna gora,Q9350424,1,0,1,mountain range in Bulgaria,,Q8502,,
Sarnen,Sarnen Nord railway station,Q33510439,1,0,1,railway station in Switzerland,,Q55488,,Sarnen Nord railway station
Sarnen,White Book of Sarnen,Q362537,1,0,1,"manuscript cartulary in the Obwalden Chancellery in Sarnen, Switzerland","Sarnen, Staatsarchiv Obwalden, Sig. A.02.CHR.0003",Q87167|Q47461344,,White Book of Sarnen
Sarnen,Sarnentsi,Q1077827,1,0,1,"village in Veliko Tarnovo municipality, Veliko Tarnovo oblast, Bulgaria",,Q15630849,,
Sarnen,Lake Sarnen,Q14505,1,0,1,"lake in at Sarnen, canton of Obwalden, Switzerland",Sarnersee,Q23397|Q14811181,,Lake Sarnen
Moscow,Moscow,Q649,2,0,1,capital and most populous city of Russia,"Moscow, Russia|Moskva Federal City, Russia|Moscow, USSR|Moskva, Russia|City of Moscow|Moscow, Russian Federation|Moscow, Soviet Union|Moscow, Russian SFSR|Москва|Moskva, Rossiya|Mosky|Moskovĭ|Moskvi|Moskve|Moskvë",Q4442912|Q183342|Q1549591|Q174844|Q51929311|Q51929311|Q51929311|Q51929311|Q7930989|Q43263|Q257391|Q486972|Q106389302,,Moscow
Moscow,1980 Summer Olympics,Q8450,2,0,1,"Games of the XXII Olympiad, in Moscow, USSR",Juegos de la XXII Olimpiada|1980 Moscow|Moscow 1980,Q135976384|Q14547231,,1980 Summer Olympics
Moscow,UTC+03:00,Q6760,2,0,1,identifier for a time offset from UTC of +3,Eastern European Summer Time|Further-eastern European Time|Arabia Standard Time|East Africa Time|Kaliningrad Time|Moscow Time|Turkey Time|Turkish Time|TRT,Q17272482,,UTC+03:00
Moscow,Moscow Pedagogical State University,Q1778321,2,0,1,university in Russia,Moscow University for Women|Moscow Pedagogical University|MPGU,Q875538|Q3918,,Moscow Pedagogical State University
Moscow,Lomonosov Moscow State University,Q13164,2,0,1,"public research university in Moscow, Russia",MSU|Lomonosov University|Moscow University|M. V. Lomonosov State University|M.V. Lomonosov Moscow State University|Moscow State University,Q875538,,Moscow State University
Moscow,Moscow,Q499927,2,0,1,"city in Latah County, Idaho, USA","Moscow, Idaho|Moscow, ID",Q1093829,,"Moscow, Idaho"
Moscow,Moscow Oblast,Q1697,2,0,1,administrative division (oblast) in central Russia,Podmoskovye|Moskovskaya oblast'|Moscow Region,Q835714|Q43263,,Moscow Oblast
Moscow,Moscow,Q4304438,2,0,1,"unincorporated community in Muscatine County, Iowa","Moscow, Iowa|Moscow, IA",Q17343829,,"Moscow, Iowa"
Moscow,Moscow Conservatory,Q215539,2,0,1,higher musical education institution in Moscow,Moscow Imperial Conservatory|Moscow Tchaikovsky Conservatory|Moscow State Tchaikovsky Conservatory|Tchaikovsky Moscow State Conservatory,Q184644|Q2319498,,Moscow Conservatory
Moscow,Moscow,Q139886030,2,0,1,,,Q571,,
Moscow,"Russian Capital Flight, Economic Reforms, and U.S. Interests: An Analysis",Q59670485,2,0,2,Congressional Research Service report,,Q6451276,,
Funafuti,Funafuti,Q34126,3,0,1,capital of Tuvalu,Funafuti Island,Q42523|Q515|Q59369306|Q192611|Q139595919,,Funafuti
Funafuti,Funafuti,Q30127899,3,0,1,family name,,Q101352,,
Funafuti,Funafuti Lagoon Hotel,Q897362,3,0,1,hotel in Tuvalu,,Q27686,,Funafuti Lagoon Hotel
Funafuti,Funafutia,Q18593446,3,0,1,genus of molluscs,,Q16521,,
Funafuti,Funafuti,Q25545165,3,0,1,,,Q486972,,
Funafuti,Funafutia levukana,Q13638415,3,0,1,species of mollusc,,Q16521,,
Funafuti,Funafutia crosseana,Q13638414,3,0,1,species of mollusc,,Q16521,,
Funafuti,Funafuti International Airport,Q1327938,3,0,1,airport in Tuvalu,FUN|NGFU,Q644371|Q94993988,,Funafuti International Airport
Funafuti,Funafuti Conservation Area,Q5508708,3,0,1,marine conservation area,,Q1367500,,Funafuti Conservation Area
Funafuti,Fongafale,Q731947,3,0,1,largest of Funafuti's islets in Tuvalu,Fogale|Fagafale,Q207524,,Fongafale
Funafuti,Tuvalu,Q672,3,0,2,country in Oceania,Ellice Islands|tv|TUV,Q112099|Q3624078|Q202686|Q6256|Q11815167,,Tuvalu
Funafuti,Tuvaluan,Q34055,3,0,2,Polynesian language spoken in Tuvalu,Tuvalu|tvl|Tuvaluan language,Q33742|Q1288568,Q3397720,Tuvaluan language
