data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
1990–91 US Quevilly season,1990–91 US Quevilly season,Q109688740,0,0,1,season of football team,,Q26887310,,
1990–91 US Quevilly season,US Quevilly,Q1465560,0,0,2,association football club in France,Union sportive quevillaise|US Quevilly-Rouen|US Quevilly-Rouen Métropole,Q476028,,US Quevilly-Rouen Métropole
1990–91 US Quevilly season,U.S. Quevilly-Rouen Métropole II,Q109503721,0,0,2,,U.S. Quevilly-Rouen Métropole B,Q15944511|Q2412834,,
US Quevilly,US Quevilly,Q1465560,0,1,1,association football club in France,Union sportive quevillaise|US Quevilly-Rouen|US Quevilly-Rouen Métropole,Q476028,,US Quevilly-Rouen Métropole
US Quevilly,U.S. Quevilly-Rouen Métropole II,Q109503721,0,1,1,,U.S. Quevilly-Rouen Métropole B,Q15944511|Q2412834,,
US Quevilly,1990–91 US Quevilly season,Q109688740,0,1,2,season of football team,,Q26887310,,
US Quevilly,men's association football team,Q103229495,0,1,2,men sports team that plays association football,football team|soccer team|association football team|men's football team|men's soccer team,,Q15944511|Q22808963,
men's association football,men's association football,Q31930761,0,2,1,association football when played by men,men's soccer|men's football|men's association football|men's football (soccer)|boys' soccer|boys' football|the men's game,Q10708051,Q2736|Q35555522,
men's association football,men's association football team,Q103229495,0,2,1,men sports team that plays association football,football team|soccer team|association football team|men's football team|men's soccer team,,Q15944511|Q22808963,
men's association football,men's association football club,Q103231176,0,2,1,association football club with men's team,men's soccer club,,Q476028,
men's association football,men's football in Sweden,Q136385609,0,2,1,overview of men's association football in Sweden,men's soccer in Sweden|men's association football in Sweden,Q29791211,Q1318821,
men's association football,men's soccer in the United States,Q136385634,0,2,1,overview of men's association football in the USA,men's association football in the United States|men's football in the United States|men's football in the USA|men's association football in the USA|men's soccer in the USA,Q29791211,Q610674|Q140794164|Q140794248,
men's association football,men's soccer in South Africa,Q136386332,0,2,1,overview of men's association football in South Africa,men's association football in South Africa|men's football in South Africa,Q29791211,Q1478206,
men's association football,men's association football in Europe,Q135490464,0,2,1,overview of men's association football in Europe,men's soccer in Europe|men's football in Europe,Q29791211,Q14215723|Q135647781,
men's association football,men's football in Norway,Q136385614,0,2,1,overview of men's association football in Norway,men's soccer in Norway|men's association football in Norway,Q29791211,Q592271,
men's association football,men's soccer in Australia,Q136346454,0,2,1,overview of men's association football in Australia,men's association football in Australia|men's football in Australia,Q29791211,Q1478113,
men's association football,men's association football in Asia,Q136442402,0,2,1,overview of men's association football in Asia,men's soccer in Asia|men's football in Asia,Q29791211,Q56355039,
men's association football,association football,Q2736,0,2,2,sport that is practiced between two teams of eleven players,football|soccer|footie|footy|futbol|futebol|association soccer|foot ball,Q31629|Q216048|Q212434|Q4356073|Q47728,Q877517,Association football
men's association football,association football player,Q937857,0,2,2,person who plays association football (soccer),football player|association footballer|footballer|soccer player|player|association soccer player,Q28640|Q12737077,Q117321337|Q18536342|Q116763437,
men's association football,goalkeeper,Q201330,0,2,2,position in association football,football goalkeeper|soccer goalkeeper|GK|goalie|goal keeper|keeper|association football goalkeeper,Q4611891,Q172964,Goalkeeper (association football)
men's association football,association football club,Q476028,0,2,2,sports club devoted to association football (soccer),football club|soccer club|association soccer club|FC|F.C.,,Q17270000|Q847017,Football club (association football)
men's association football,association football coach,Q628099,0,2,2,person doing training of association footballers (profession/occupation); for team position (head coach or manager) use Q136659823,soccer manager|football coach|football manager|coach|manager|soccer coach,Q28640,Q41583,Manager (association football)
men's association football,association football referee,Q859528,0,2,2,supervisor of a game of association football,soccer referee|football referee|association soccer referee,Q28640,Q202648|Q38088701|Q116763437,Referee (association football)
men's association football,association football team season,Q26887310,0,2,2,association football team during season,soccer team season|football team season,,Q1539532,
men's association football,association football club match,Q109623729,0,2,2,association football match between club teams,,,Q12166442,
men's association football,association football players who play in this club,Q56465024,0,2,2,Wikidata metaclass,footballers of this club|footballers who play in this club|footballers of this national team,Q19478619,Q937857|Q58840094,
men's association football,captain,Q715772,0,2,2,team captain of an association football team,skipper|association football captain,Q4611891,Q584540|Q937857,Captain (association football)
men's association football,association football federation,Q1478443,0,2,2,governing body of association football (soccer),football association|soccer association|soccer federation|association soccer federation,,Q2485448,Football association
men's association football,Norwegian Football Federation,Q474952,0,2,2,sports governing body organizing association football in Norway,NFF|Norges Fotballforbund|Football Association of Norway,Q1478443|Q130405942,,Norwegian Football Federation
men's association football,Football Association of the Czech Republic,Q337065,0,2,2,governing body of association football in Czechia,Football Association of Czechia|Czechia Football Association|Czechia Football Federation|Czechia FA|Czechia F.A.|Football Federation of Czechia,Q1478443|Q43229|Q2485448,,Football Association of the Czech Republic
men's association football,FA Cup,Q11151,0,2,2,annual knockout football competition,Football Association Challenge Cup,Q8463186,,FA Cup
men's association football,Football Association of Finland,Q474947,0,2,2,sports governing body in Finland,Suomen Palloliitto|Finlands Bollförbund|Suomen Palloliitto ry|Finlands Bollförbund rf,Q1478443,,Football Association of Finland
men's association football,Football Association of Serbia,Q754433,0,2,2,governing body of association football in Serbia,,Q1478443,,Football Association of Serbia
men's association football,Football Association of Iceland,Q478734,0,2,2,association football governing body in Iceland,KSÍ,Q1478443,,Football Association of Iceland
men's association football,Football Association of Ireland,Q497782,0,2,2,Football Association of the Republic of Ireland,FAI|Cumann Peile na h-Éireann,Q1478443,,Football Association of Ireland
men's association football,Albanian Football Federation,Q390598,0,2,2,governing body of association football in Albania,Football Association of Albania,Q1478443,,Albanian Football Federation
1989–90 US Quevilly season,1989–90 US Quevilly season,Q109688739,1,0,1,season of football team,,Q26887310,,
US Quevilly,US Quevilly,Q1465560,1,1,1,association football club in France,Union sportive quevillaise|US Quevilly-Rouen|US Quevilly-Rouen Métropole,Q476028,,US Quevilly-Rouen Métropole
US Quevilly,U.S. Quevilly-Rouen Métropole II,Q109503721,1,1,1,,U.S. Quevilly-Rouen Métropole B,Q15944511|Q2412834,,
US Quevilly,1989–90 US Quevilly season,Q109688739,1,1,2,season of football team,,Q26887310,,
men's association football,men's association football,Q31930761,1,2,1,association football when played by men,men's soccer|men's football|men's association football|men's football (soccer)|boys' soccer|boys' football|the men's game,Q10708051,Q2736|Q35555522,
men's association football,men's association football team,Q103229495,1,2,1,men sports team that plays association football,football team|soccer team|association football team|men's football team|men's soccer team,,Q15944511|Q22808963,
men's association football,men's association football club,Q103231176,1,2,1,association football club with men's team,men's soccer club,,Q476028,
men's association football,men's football in Sweden,Q136385609,1,2,1,overview of men's association football in Sweden,men's soccer in Sweden|men's association football in Sweden,Q29791211,Q1318821,
men's association football,men's soccer in the United States,Q136385634,1,2,1,overview of men's association football in the USA,men's association football in the United States|men's football in the United States|men's football in the USA|men's association football in the USA|men's soccer in the USA,Q29791211,Q610674|Q140794164|Q140794248,
men's association football,men's soccer in South Africa,Q136386332,1,2,1,overview of men's association football in South Africa,men's association football in South Africa|men's football in South Africa,Q29791211,Q1478206,
men's association football,men's association football in Europe,Q135490464,1,2,1,overview of men's association football in Europe,men's soccer in Europe|men's football in Europe,Q29791211,Q14215723|Q135647781,
men's association football,men's football in Norway,Q136385614,1,2,1,overview of men's association football in Norway,men's soccer in Norway|men's association football in Norway,Q29791211,Q592271,
men's association football,men's soccer in Australia,Q136346454,1,2,1,overview of men's association football in Australia,men's association football in Australia|men's football in Australia,Q29791211,Q1478113,
men's association football,men's association football in Asia,Q136442402,1,2,1,overview of men's association football in Asia,men's soccer in Asia|men's football in Asia,Q29791211,Q56355039,
men's association football,association football,Q2736,1,2,2,sport that is practiced between two teams of eleven players,football|soccer|footie|footy|futbol|futebol|association soccer|foot ball,Q31629|Q216048|Q212434|Q4356073|Q47728,Q877517,Association football
men's association football,association football player,Q937857,1,2,2,person who plays association football (soccer),football player|association footballer|footballer|soccer player|player|association soccer player,Q28640|Q12737077,Q117321337|Q18536342|Q116763437,
men's association football,goalkeeper,Q201330,1,2,2,position in association football,football goalkeeper|soccer goalkeeper|GK|goalie|goal keeper|keeper|association football goalkeeper,Q4611891,Q172964,Goalkeeper (association football)
men's association football,association football club,Q476028,1,2,2,sports club devoted to association football (soccer),football club|soccer club|association soccer club|FC|F.C.,,Q17270000|Q847017,Football club (association football)
men's association football,association football coach,Q628099,1,2,2,person doing training of association footballers (profession/occupation); for team position (head coach or manager) use Q136659823,soccer manager|football coach|football manager|coach|manager|soccer coach,Q28640,Q41583,Manager (association football)
men's association football,association football referee,Q859528,1,2,2,supervisor of a game of association football,soccer referee|football referee|association soccer referee,Q28640,Q202648|Q38088701|Q116763437,Referee (association football)
men's association football,association football team season,Q26887310,1,2,2,association football team during season,soccer team season|football team season,,Q1539532,
men's association football,association football club match,Q109623729,1,2,2,association football match between club teams,,,Q12166442,
men's association football,association football players who play in this club,Q56465024,1,2,2,Wikidata metaclass,footballers of this club|footballers who play in this club|footballers of this national team,Q19478619,Q937857|Q58840094,
men's association football,captain,Q715772,1,2,2,team captain of an association football team,skipper|association football captain,Q4611891,Q584540|Q937857,Captain (association football)
men's association football,association football federation,Q1478443,1,2,2,governing body of association football (soccer),football association|soccer association|soccer federation|association soccer federation,,Q2485448,Football association
men's association football,Norwegian Football Federation,Q474952,1,2,2,sports governing body organizing association football in Norway,NFF|Norges Fotballforbund|Football Association of Norway,Q1478443|Q130405942,,Norwegian Football Federation
men's association football,Football Association of the Czech Republic,Q337065,1,2,2,governing body of association football in Czechia,Football Association of Czechia|Czechia Football Association|Czechia Football Federation|Czechia FA|Czechia F.A.|Football Federation of Czechia,Q1478443|Q43229|Q2485448,,Football Association of the Czech Republic
men's association football,FA Cup,Q11151,1,2,2,annual knockout football competition,Football Association Challenge Cup,Q8463186,,FA Cup
