data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Rupert,Rupert,Q19688756,0,0,1,male given name,Rupert (given name)|Rupert (first name),Q12308941,,
Rupert,Rupert,Q26234451,0,0,1,family name,,Q101352|Q98775491,,
Rupert,Rupert,Q16281049,0,0,1,name,,Q82799,,Rupert (name)
Rupert,Rupert Everett,Q208685,0,0,1,British actor,Rupert Hector Everett,Q5,,Rupert Everett
Rupert,Rupert Murdoch,Q53944,0,0,1,American businessman,Keith Rupert Murdoch|Murdoch|Keith Murdoch|Keiþ Murdoch|Keiþ Rupert Murdoch,Q5,,Rupert Murdoch
Rupert,Rupert,Q7380240,0,0,1,"hamlet in La Pêche, Quebec, Canada","Rupert, Quebec",Q5084|Q5084,,"Rupert, Quebec"
Rupert,Rupert Grint,Q19190,0,0,1,English actor (born 1988),Rupert Alexander Lloyd Grint,Q5,,Rupert Grint
Rupert,Rupert,Q113043976,0,0,1,Abbot of the Benedictine Abbey Plankstetten,,Q5,,
Rupert,Rupert Friend,Q314659,0,0,1,British actor,Rupert William Anthony Friend,Q5,,Rupert Friend
Rupert,Rupert,Q57326,0,0,1,King of Germany and Elector Palatine (1352-1410),Ruprecht|Rupert of the Palatinate|Rupert of Germany,Q5,,"Rupert, King of the Romans"
Rupert,Rupert Murdoch Research Fellow,Q96318677,0,0,2,endowed academic position at Stanford University,,Q1706722|Q1363750,,
Rupert,"Rupert Murdoch: Blair says BBC ""hates America""",Q17617277,0,0,2,Wikinews article,,Q17633526,,
Rupert,Rupert Murdoch: The Untold Story of the World's Greatest Media Wizard,Q124415631,0,0,2,,,Q3331189,,
Rupert,Rupert Murdoch Explores Reuniting His Media Empire by Recombining Fox and News Corp,Q114685639,0,0,2,"Wall Street Journal article (October 14, 2022)",,Q5707594,,
Rupert,Rupert Murdoch: A Reassessment,Q136208562,0,0,2,book 2014,,Q3331189,,
Rupert,Rupert Murdoch invests in data security,Q113444012,0,0,2,scientific article published on 09 July 2003,,Q13442814,,
Rupert,Rupert Murdoch planerar affärsversion av Fox News,Q19781609,0,0,2,Wikimedia portal,,Q4663903,,
Rupert,"Rupert Grint, Harry Potter's ""Ron Weasley"", recovers from H1N1 swine flu virus",Q17614029,0,0,2,Wikinews article,,Q17633526,,
Rupert,Rupert Grint tužan zbog kraja serijala o Hariju Poteru,Q17752113,0,0,2,Wikinews article,,Q17633526,,
Rupert,Rupert Grint o životu posle Harija Potera,Q17717113,0,0,2,Wikinews article,,Q17633526,,
Rupert,Rupert Grint bi da igra negativca,Q17717104,0,0,2,Wikinews article,,Q17633526,,
Rupert,Rupert E. Billingham,Q7380279,0,0,2,British American immunologist,Rupert Everett Billingham|Rupert Billingham,Q5,,Rupert E. Billingham
Rupert,Rupert Everett Billingham. 15 October 1921 - 16 November 2002: Elected F.R.S. 1961,Q29391911,0,0,2,biographical article,,Q18918145,,
Rupert,Rupert Penry-Jones,Q359210,0,0,2,British actor,,Q5,,Rupert Penry-Jones
Folsom,Folsom,Q984155,1,0,1,"city in Sacramento County, California, United States","Folsom, California|Granite City|Folsom, CA",Q13218357|Q13218391,,"Folsom, California"
