data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Khlong Lan Phatthana,Khlong Lan Phatthana,Q16739360,0,0,1,"subdistrict in Khlong Lan district, Kamphaeng Phet province, Thailand",,Q1077097,,Khlong Lan Phatthana
Khlong Lan Phatthana,Khlong Lan Phatthana,Q110779999,0,0,1,"subdistrict municipality in Khlong Lan district, Kamphaeng Phet province, Thailand",,Q15141625|Q15140073,,
Sala Daeng,Sala Daeng,Q16648970,1,0,1,"subdistrict in Bang Nam Priao district, Chachoengsao province, Thailand",,Q1077097,,
Sala Daeng,Sala Daeng,Q17354737,1,0,1,"subdistrict in Mueang Ang Thong district, Ang Thong province, Thailand",,Q1077097,,
Sala Daeng,Sala Daeng,Q13026418,1,0,1,"road intersection in Bangkok, Thailand",,Q285783,,Sala Daeng
Sala Daeng,Sala Daeng,Q111507114,1,0,1,"subdistrict administrative organization in Bang Nam Priao district, Chachoengsao province, Thailand",,Q15140073,,
Sala Daeng,Sala Daeng,Q65122996,1,0,1,"subdistrict municipality in Bang Nam Priao district, Chachoengsao province, Thailand",,Q15141625|Q7635776,,
Sala Daeng,Sala Daeng,Q26736103,1,0,1,"subdistrict in Krok Phra district, Nakhon Sawan province, Thailand",,Q1077097,,
Sala Daeng,Sala Daeng,Q16306909,1,0,1,"neighborhood in Bangkok, Thailand",,Q123705,,
Sala Daeng,Sala Daeng BTS Station,Q13021833,1,0,1,"railway station in Bangkok, Thailand",,Q928830|Q11670533,,Sala Daeng BTS station
Sala Daeng,Sala Daeng Road,Q132168279,1,0,1,street in Bangkok,Thanon Sala Daeng,Q34442,,
Sala Daeng,Sala Daeng,Q132075043,1,0,1,,,Q43229,,
Sala Daeng,Sky Bar,Q7537248,1,0,2,American candy bar,,Q16323605,Q11312555,Sky Bar
Sala Daeng,Sky Bar,Q23306140,1,0,2,,,,,Sky Bar (Bangkok)
Sala Daeng,Sky Barrandov,Q52161391,1,0,2,flat house in Prague,,Q3947,,
Sala Daeng,Sky Barn,Q125697618,1,0,2,building on Syracuse University campus,Skybarn,Q1303167,,
