data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Vela,Vela,Q10521,0,0,1,constellation in the southern celestial hemisphere,Vel|Velorum|The Sails,Q8928,,Vela (constellation)
Vela,Vela,Q18595900,0,0,1,genus of crustaceans,,Q16521,,
Vela,Vela,Q45879,0,0,1,civil parish in Guarda,,Q1131296,,
Vela,Vela,Q18691985,0,0,1,"human settlement in Achaea, Greece",Vella,Q486972,,
Vela,Vela,Q108548757,0,0,1,female given name,Вела,Q11879590,,
Vela,Velasco,Q436257,0,0,1,family name,,Q101352,,Velasco
Vela,Vela,Q2877182,0,0,1,family name,,Q101352,,
Vela,Vela,Q118848560,0,0,1,artist,,Q5,,
Vela,Velarifictorus,Q10713705,0,0,1,genus of insects,,Q310890,,Velarifictorus
Vela,Velaux,Q686054,0,0,1,"commune in Bouches-du-Rhône, France",Velaurs,Q484170,,Velaux
Vela,Spanish ship Velasco,Q131995180,0,0,2,Wikimedia disambiguation page,,Q4167410,,Spanish ship Velasco
Tgllus,,,1,0,0,,,,,
Wranus,,,2,0,0,,,,,
Petr L,Petr Lněnička,Q102317221,3,0,1,Czech actor,,Q5,,
Petr L,Petr Lacina,Q2080017,3,0,1,badminton player,,Q5,,
Petr L,Petr Levchenko,Q53465502,3,0,1,researcher,P Levchenko|Pyotr Levchenko|Pyotr Mikhaylovich Levchenko,Q5,,
Petr L,Petr Linhart,Q12044948,3,0,1,Czech singer,,Q5,,
Petr L,Petr Letocha,Q100824625,3,0,1,Czech politician and entrepreneur,,Q5,,
Petr L,Petr Lom,Q12044950,3,0,1,Czech diplomat and doctor (1935-2003),,Q5,,
Petr L,Petr Lisonek,Q102338433,3,0,1,Dr. techn. Johannes Kepler Universität Linz 1994,,Q5,,
Petr L,Petr Lepša,Q15951720,3,0,1,"Czech actor, painter and translator",Petr Lepsa,Q5,,
Petr L,Petr Ludík,Q65116922,3,0,1,badminton player,Petr Ludik,Q5,,
Petr L,Petr Lessy,Q12044947,3,0,1,Czech police officer,,Q5,,
Petr L,Petr Lax,Q105561453,3,0,2,Holocaust victim (born 1929),,Q5,,
Aiadne,Aeaea,Q403366,4,0,2,island of Circe in Greek mythology,Aiaia|Circe's isle|Island of Circe,Q33513999,,Aeaea
Aiadne,Aiaia 1 (Pauly-Wissowa),Q19982611,4,0,2,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Aiadne,Aiaia 2 (Pauly-Wissowa),Q19982612,4,0,2,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Aiadne,Aiaia 3 (Pauly-Wissowa),Q19982613,4,0,2,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Aiadne,Aea,Q60790565,4,0,2,unlocated ancient city of Malis or Thessaly,Aia|Aiaia|Aeaea,Q15661340,,Aea (Malis)
Aiadne,Aeaea,Q128898366,4,0,2,epithet of several female characters in Greek mythology,Aiaia,Q207869,,
Aiadne,Aiaia,Q23851102,4,0,2,article in Otto's encyclopedia,,Q13433827,,
Aiadne,Aiaiai,Q2827757,4,0,2,Miliyah Kato song,,Q134556,,Aiaiai
Aiadne,AIAIAI (feat. Yasutaka Nakata),Q65227525,4,0,2,2019 single by Kizuna AI,,Q134556,,
Aiadne,aiaiaai,Q119816479,4,0,2,Wikimedia artist discography,,Q104635718,,
Noordvljet,,,5,0,0,,,,,
MS!Corvus,Microsoft,Q2283,6,0,2,American multinational technology corporation,microsoft.com,Q1058914|Q4830453|Q18388277|Q891723,,Microsoft
MS!Corvus,Microsoft Knowledge Base,Q3857015,6,0,2,containing information on problems encountered by users of Microsoft products,Microsoft Corporation,,,Microsoft Knowledge Base
MS!Corvus,Microsoft (Finland),Q30272342,6,0,2,"company in Espoo, Finland",Microsoft Corporation,Q4830453,,
MS!Corvus,Microsoft Corporation v. United States of America,Q22906897,6,0,2,2015 Supreme Court case about data privacy and extraterritoriality,,Q19692072,,Microsoft Corp. v. United States
MS!Corvus,Microsoft Corp. v European Commission,Q1176811,6,0,2,antitrust case,European Union Microsoft competition case,Q2334719,,Microsoft Corp. v European Commission
