data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Bhopal,Bhopal,Q80989,0,0,1,"metropolis and state capital in Madhya Pradesh, India",City of Lakes|Bhojpal|Bhoopal|Bhupal,Q1549591|Q515,,Bhopal
Bhopal,Bhopal district,Q1797245,0,0,1,"district of Madhya Pradesh, India",Bhoopal,Q1149652,,Bhopal district
Bhopal,Bhopal disaster,Q129029,0,0,1,"gas leak accident in Bhopal, India on 3 December 1984",Bhopal gas tragedy|brunenger,Q977367,,Bhopal disaster
Bhopal,Bhopal State,Q855044,0,0,1,"18th century tributary state, princely salute state 1818–1947, and independent state in India",Bhopal,Q1336152|Q10711424,,Bhopal State
Bhopal,Raja Bhoj Airport,Q7285421,0,0,1,"airport serving Bhopal in Madhya Pradesh, India",Bhopal Airport|BHO|VABP|BHOPAL,Q1248784|Q94993988,,Raja Bhoj Airport
Bhopal,Bhopal Lok Sabha constituency,Q4901994,0,0,1,Lok Sabha Constituency in Madhya Pradesh,,Q47481352,,Bhopal Lok Sabha constituency
Bhopal,Barkatullah University,Q4860912,0,0,1,"state public university in Bhopal, Madhya Pradesh, India","BU|Bhopal University|Barkatullah Vishwavidyalaya Bhopal|Barkatullah University, Bhopal",Q3918|Q7603893,,Barkatullah University
Bhopal,Bhopal,Q4901993,0,0,1,play written by Rahul Varma,,Q7725634,,Bhopal (play)
Bhopal,Bhopal Junction railway station,Q4902004,0,0,1,"Railway junction station in Madhya Pradesh, India",,Q55488,,Bhopal Junction railway station
Bhopal,Bhopal railway division,Q24088851,0,0,1,Railway division of India,,Q63383616,,Bhopal railway division
Bhopal,bhopal gas tragedy,Q16312623,0,0,2,,,,,
Bhopal,Bhopal Gas Tragedy: review of clinical and experimental findings after 25 years.,Q37612602,0,0,2,scientific article published on January 2009,,Q13442814,,
Bhopal,Bhopal gas tragedy: Model simulation of the dispersion scenario,Q127203857,0,0,2,scholarly article,,Q13442814,,
Bhopal,Bhopal Municipal Corporation,Q58942571,0,0,2,,,Q6936225,,
Bhopal,Bhopal Municipal Corporation,Q16951506,0,0,2,organization,,Q6936225,,Bhopal Municipal Corporation
Bhopal,Bhopal Municipal Corporation area,Q58954455,0,0,2,area of jurisdiction of Bhopal Municipal Corporation,,Q58953536,,
Kyiv,Kyiv,Q1899,1,0,1,capital and largest city of Ukraine,Kyjiw|Kyiw|Kyïv|Kief|Kieff|Kiew|Kioff|Kiof|Kiowia|Kiovia|Kiow|Kiou|Kyїv|Kiyev,Q51929311|Q7930989|Q1200957|Q12131624,,Kyiv
Kyiv,Kyiv Oblast,Q170036,1,0,1,oblast of Ukraine,Kyivshchyna|Kyiv Region,Q3348196,,Kyiv Oblast
Kyiv,Taras Shevchenko National University of Kyiv,Q84151,1,0,1,"public university in Kyiv, Ukraine",National University of Kyiv|Taras Shevchenko University|Shevchenko University|Kyiv University|Kyiv State University|Kyiv National University named after Taras Shevchenko|University of Kiev|Taras Shevchenko University of Kiev,Q875538|Q15936437|Q45400320|Q811165,,Taras Shevchenko National University of Kyiv
Kyiv,Kyiv Aviation University,Q2387454,1,0,1,"university in Kyiv, Ukraine","NAU|State University ""Kyiv Aviation Institute""|KAI|National University ""Kyiv Aviation Institute""|KAI University",Q137222210,,National Aviation University
Kyiv,Kiev Gymnasium,Q4348927,1,0,1,School in Kiev,Kyiv Gymnasium,Q55043,,
Kyiv,Igor Sikorsky Kyiv Polytechnic Institute,Q85449,1,0,1,"university in Kyiv, Ukraine","NTUU KPI|Igor Sikorsky KPI|National Technical University of Ukraine «Kyiv Polytechnical Institute»|KPI|Kyiv Polytechnic Institute|National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""|National Technical University of Ukraine",Q3918,,Kyiv Polytechnic Institute
Kyiv,Kyi,Q723160,1,0,1,legendary prince of Kyiv,Kyiv,Q15632617|Q13002315|Q204335,,Kyi
Kyiv,Ukrainian National Academy of Music,Q1515426,1,0,1,"conservatoire in Kyiv, Ukraine",Kyiv Conservatory|Petro Tchaikovsky National Music Academy of Ukraine|Ukrainian National Tchaikovsky Academy of Music,Q184644|Q28469887|Q811165,,Ukrainian National Academy of Music
Kyiv,"Kyiv National I. K. Karpenko-Kary Theatre, Cinema and Television University",Q4220226,1,0,1,"public university in Kyiv, Ukraine","National University of Theatre, Film and TV in Kyiv|Kyiv's National I. K. Karpenko-Kary Theatre, Cinema and Television University|National I. K. Karpenko-Kary Theatre, Cinema and Television University",Q383092|Q3918,,"Kyiv National I. K. Karpenko-Kary Theatre, Cinema and Television University"
Kyiv,Kiev,Q111190407,1,0,1,Wikimedia duplicated page,,,,
Kyiv,Kiev,Q576829,1,0,2,1972 Kiev-class aircraft carrier,Soviet aircraft carrier Kyiv,Q1430687|Q575727|Q130326199,,Soviet aircraft carrier Kiev
Kyiv,2171 Kiev,Q372831,1,0,2,asteroid,Kiev,Q3863,,2171 Kiev
Kyiv,Kiev Governorate,Q1437277,1,0,2,governorate of the Russian Empire,Kyiv Guberniia|Kyiv Government,Q86622,,Kiev Governorate
Kyiv,Dovzhenko Film Studios,Q577589,1,0,2,Ukrainian film company,Oleksandr Dovzhenko National Film Studio|Kiev Film Studio,Q1762059|Q375336|Q11396960,,Dovzhenko Film Studios
Kyiv,Kiev Theological Academy,Q1973040,1,0,2,former higher educational institution of the Russian Orthodox Church (1819–1919),Kyiv Theological Academy,Q2385804,,Kiev Theological Academy
Kyiv,Kievan Rus',Q1108445,1,0,2,former federation of East Slavic tribes,Rus|Kyivska Rus'|Kyivan Rus|Kyivan Rus'|Kyivan Rusʼ|Kyivan Rusʹ|Kyivan state|Kievan Rus,Q3024240|Q4389937|Q43702,,Kievan Rus'
Kyiv,Nezamozhnik,Q573851,1,0,2,Fidonisy-class destroyer,Nezamozhnyk|Zante|Kyiv|Kiev|Незаможний|Незаможник|Nezamozhny|Занте,Q174736,,Soviet destroyer Nezamozhnik
Kyiv,Women's Higher Courses (Kyiv),Q12110298,1,0,2,women's higher education institution in Ukraine in (1878–1889) and (1906–1917),,Q4129789,,Women's Higher Courses (Kyiv)
Ljubljana,Ljubljana,Q437,2,0,1,capital city of Slovenia,"Ljubljana, Slovenia|Lublana|Labacum",Q515|Q1549591|Q51929311|Q108178728,,Ljubljana
Ljubljana,Ljubljana City Municipality,Q3434113,2,0,1,city municipality of Slovenia,City Municipality of Ljubljana|Mestna Občina Ljubljana,Q6960199|Q12357832,,Urban Municipality of Ljubljana
Ljubljana,University of Ljubljana,Q1377,2,0,1,Slovene public university,"Univerza v Ljubljani|uni-lj.si|Universitas Labacensis|Universitas Alexandrina|Universität Laibach|R. universita di Lubiana|Univerza Kraljevine Srbov, Hrvatov in Slovencev v Ljubljani|Univerza kralja Aleksandra I. v Ljubljani|Univerza Edvarda Kardelja v Ljubljani|Ljubljana University",Q875538|Q96888669,,University of Ljubljana
Ljubljana,NK Ljubljana,Q6957751,2,0,1,football club,Ljubljana,Q476028,,NK Ljubljana
Ljubljana,Ljubljana railway station,Q1817806,2,0,1,railway station in Slovenia,,Q55488|Q18564289,,Ljubljana railway station
Ljubljana,Yugoslav destroyer Ljubljana,Q1263660,2,0,1,1938 Beograd-class destroyer,,Q174736,,Yugoslav destroyer Ljubljana
Ljubljana,Ljubljana Magazine,Q81333158,2,0,1,municipal newsletter of Ljubljana,Glasilo Ljubljana|Glasilo Mestne občine Ljubljana|Ljubljana,Q41298|Q100282728,,
Ljubljana,Ljubljana,Q30609706,2,0,1,album by Craig Taborn,,Q482994,,Ljubljana (album)
Ljubljana,Ljubljana,Q28750096,2,0,1,2002 film directed by Igor Šterk,,Q11424,,
Ljubljana,Ljubljana,Q23861476,2,0,1,article in Otto's encyclopedia,,Q13433827,,
