data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Asian Games,2018 Asian Games,Q1209909,0,0,1,18th edition of the Asian Games,18th Asian Games|XVIII Asiad|XVIII Asian Games|Asian Games|Asian Games 2018|Indonesia 2018|Jakarta-Palembang 2018,Q167170,,2018 Asian Games
Asian Games,Asian Games,Q483463,0,0,1,Asian multi-sport event,,Q135741070,,Asian Games
Asian Games,Asian Games,Q18354675,0,0,1,"1993 live album by Yōsuke Yamashita, Bill Laswell and Ryuichi Sakamoto",,Q482994,,Asian Games (album)
Asian Games,Asian Games sports,Q4806651,0,0,1,,,Q31629,Q51031626,Asian Games sports
Asian Games,Asian Games Village Station,Q86726478,0,0,1,station of Hangzhou Metro,,Q928830|Q22808403,,Asian Games Village station
Asian Games,Sukhjeet Singh,Q9347962,0,0,1,Indian rower,Asian Games medalist and Junior commissioned officer in Indian Army. He won silver medal in Asian Games in coxless four which is in Doha Qatar.,Q5,,
Asian Games,Asian Games Federation,Q4806648,0,0,1,defunct governing body of sports in Asia,,Q43229,,Asian Games Federation
Asian Games,list of Asian Games records in swimming,Q6562380,0,0,1,Wikimedia list article,Asian Games records in swimming,Q13406463,,List of Asian Games records in swimming
Asian Games,Asian Games medalists in badminton,Q22230868,0,0,1,winners in badminton tournaments,,Q57733494,,List of Asian Games medalists in badminton
Asian Games,Asian Games Village,Q4806647,0,0,1,located in the Siri Fort area,,,,Asian Games Village (New Delhi)
Asian Games,rowing at the Asian Games,Q10882833,0,0,2,rowing events at the Asian Games,,Q18608583,Q21224061,Rowing at the Asian Games
rowing at the Asian Games,rowing at the Asian Games,Q10882833,0,1,1,rowing events at the Asian Games,,Q18608583,Q21224061,Rowing at the Asian Games
rowing at the Asian Games,2018 Asian Games,Q1209909,0,1,2,18th edition of the Asian Games,18th Asian Games|XVIII Asiad|XVIII Asian Games|Asian Games|Asian Games 2018|Indonesia 2018|Jakarta-Palembang 2018,Q167170,,2018 Asian Games
rowing at the Asian Games,Asian Games,Q483463,0,1,2,Asian multi-sport event,,Q135741070,,Asian Games
rowing at the Asian Games,Asian Games,Q18354675,0,1,2,"1993 live album by Yōsuke Yamashita, Bill Laswell and Ryuichi Sakamoto",,Q482994,,Asian Games (album)
rowing at the Asian Games,Asian Games sports,Q4806651,0,1,2,,,Q31629,Q51031626,Asian Games sports
rowing at the Asian Games,Asian Games Village Station,Q86726478,0,1,2,station of Hangzhou Metro,,Q928830|Q22808403,,Asian Games Village station
rowing at the Asian Games,Sukhjeet Singh,Q9347962,0,1,2,Indian rower,Asian Games medalist and Junior commissioned officer in Indian Army. He won silver medal in Asian Games in coxless four which is in Doha Qatar.,Q5,,
rowing at the Asian Games,Asian Games Federation,Q4806648,0,1,2,defunct governing body of sports in Asia,,Q43229,,Asian Games Federation
rowing at the Asian Games,list of Asian Games records in swimming,Q6562380,0,1,2,Wikimedia list article,Asian Games records in swimming,Q13406463,,List of Asian Games records in swimming
rowing at the Asian Games,Asian Games medalists in badminton,Q22230868,0,1,2,winners in badminton tournaments,,Q57733494,,List of Asian Games medalists in badminton
rowing at the Asian Games,Asian Games Village,Q4806647,0,1,2,located in the Siri Fort area,,,,Asian Games Village (New Delhi)
European Team Championships,European Team Championships,Q1630626,1,0,1,athletics competition,,Q13406554|Q18608583,Q11783626,European Athletics Team Championships
European Team Championships,European Squash Team Championships,Q12877393,1,0,1,squash championship,European Team Championships,Q18608583,Q1375427,European Squash Team Championships
European Team Championships,European Team Championships,Q18061350,1,0,1,biennial bridge championship,,Q18608583,Q1375427,European Team Championships (bridge)
European Team Championships,European Team Championships in Athletics 2017 - Superligaen,Q56405253,1,0,1,,,,,
European Team Championships,2010 European Team Championships,Q2625464,1,0,1,athletics team competitions,,Q1630626,,2010 European Team Championships
European Team Championships,2011 European Team Championships,Q2638739,1,0,1,international athletics competition,,Q27020041,,2011 European Team Championships
European Team Championships,2009 European Team Championships,Q2638660,1,0,1,track and field athletics tournament,,Q27020041,,2009 European Team Championships
European Team Championships,European Team Championships,Q107015881,1,0,1,Wikimedia disambiguation page,,Q4167410,,European Team Championships
2010 European Team Championships,2010 European Team Championships,Q2625464,1,1,1,athletics team competitions,,Q1630626,,2010 European Team Championships
2010 European Team Championships,2010 European Team Championships Super League – Results,Q4617159,1,1,1,Wikimedia list article,,Q13406463,,2010 European Team Championships Super League
