data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Tuvlu,,,0,0,0,,,,,
Saufi Arabia,Arabic,Q13955,1,0,2,Semitic language and lingua franca of the Arab world,Arabic language|Arabian|Arabian language,Q34770|Q152559|Q1288568|Q20162172|Q1097949|Q399495|Q33742,Q34049,Arabic
Saufi Arabia,UTC+03:00,Q6760,1,0,2,identifier for a time offset from UTC of +3,Eastern European Summer Time|Further-eastern European Time|Arabia Standard Time|East Africa Time|Kaliningrad Time|Moscow Time|Turkey Time|Turkish Time|TRT,Q17272482,,UTC+03:00
Saufi Arabia,Arabia Petraea,Q221353,1,0,2,Roman province (106–630s),Arabia|Petran Arabia,Q182547,,Arabia Petraea
Saufi Arabia,Arabian Peninsula,Q31945,1,0,2,peninsula in Western Asia,Arabia,Q34763|Q3502482|Q34876,,Arabian Peninsula
Saufi Arabia,Arab world,Q143487,1,0,2,"geographic and cultural region; collective term for the Arabic-speaking countries of Asia and Africa, or of Asia only",Arabophone|Arabian world|Arabic countries|Arabic-speaking countries|GAFTA countries|Greater Arab Free Trade Area countries|Arab States|Arab countries|Arabic world|Arabsphere|Arabia,Q137186904|Q3502482|Q52110228|Q1149061|Q66747521,,Arab world
Saufi Arabia,Arabianranta,Q2655652,1,0,2,"quarter in Toukola, Helsinki, Finland",Arabiastranden,Q123705|Q79696253,,Arabianranta
Saufi Arabia,Red Sea,Q23406,1,0,2,seawater inlet of the Indian Ocean,Sinus Arabicus|Al Baḩr al Aḩmar|Erythraean Sea|Arabian Gulf|the Red Sea,Q165,,Red Sea
Saufi Arabia,Arabia,Q200849,1,0,2,titular see,,Q15217609,,
Saufi Arabia,Persian Gulf,Q34675,1,0,2,extension of the Indian Ocean,Gulf of Iran|Al-Farsi Gulf|The Gulf|Arabian Gulf,Q165|Q1322134,,Persian Gulf
Saufi Arabia,Camelus dromedarius,Q71516,1,0,2,a large camel of the genus Camelus with one hump on its back,Arabian camel|hygeen|hajeen|mehari|dromedary camel|dromedary,Q16521,Q7375,Dromedary
Saufi Arabia,Saudi Arabia,Q851,1,0,2,country in West Asia,Kingdom of Saudi Arabia|Saudi,Q3624078|Q417175|Q6256,,Saudi Arabia
