data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Frýdek-Místek,Frýdek-Místek,Q48194,0,0,1,city in the Czech Republic,,Q15978299|Q257978|Q5153359|Q8452914|Q7841907|Q7819319,,Frýdek-Místek
Frýdek-Místek,Frýdek-Místek District,Q175781,0,0,1,district of the Czech Republic,,Q548611,,Frýdek-Místek District
Frýdek-Místek,Frýdek-Místek,Q9264036,0,0,1,"railway station in Frýdek, Czech Republic",,Q55488,,
Frýdek-Místek,31650 Frýdek-Místek,Q2611016,0,0,1,asteroid,(31650) Frydek-Mistek|Frýdek-Místek,Q3863,,31650 Frýdek-Místek
Frýdek-Místek,Frýdek-Místek,Q121918943,0,0,1,book edition published in 1978,,Q3331189,,
Frýdek-Místek,Frýdek-Místek Symphony Orchestra,Q23891902,0,0,1,orchestra based in the Czech Republic,,Q239582,,
Frýdek-Místek,Frýdek-Místek: tady jsem doma = my hometown,Q122124870,0,0,1,book edition published in 2022,,Q3331189,,
Frýdek-Místek,Frýdek-Místek Labyrinth,Q122407417,0,0,1,,Městský labyrint Frýdek-Místek,Q48963,,
Frýdek-Místek,Frýdek-Místek 14. března 1939 a za nacistické okupace,Q122130109,0,0,1,book edition published in 1979,,Q3331189,,
Frýdek-Místek,Frýdek-Místek v proměnách času,Q122006376,0,0,1,book edition published in 2017,,Q3331189,,
Frýdek-Místek District,Frýdek-Místek District,Q175781,0,1,1,district of the Czech Republic,,Q548611,,Frýdek-Místek District
Frýdek-Místek District,Frýdek-Místek,Q48194,0,1,2,city in the Czech Republic,,Q15978299|Q257978|Q5153359|Q8452914|Q7841907|Q7819319,,Frýdek-Místek
Frýdek-Místek District,Frýdek-Místek,Q9264036,0,1,2,"railway station in Frýdek, Czech Republic",,Q55488,,
Frýdek-Místek District,31650 Frýdek-Místek,Q2611016,0,1,2,asteroid,(31650) Frydek-Mistek|Frýdek-Místek,Q3863,,31650 Frýdek-Místek
Frýdek-Místek District,Frýdek-Místek,Q121918943,0,1,2,book edition published in 1978,,Q3331189,,
Frýdek-Místek District,Frýdek-Místek Symphony Orchestra,Q23891902,0,1,2,orchestra based in the Czech Republic,,Q239582,,
Frýdek-Místek District,Frýdek-Místek: tady jsem doma = my hometown,Q122124870,0,1,2,book edition published in 2022,,Q3331189,,
Frýdek-Místek District,Frýdek-Místek Labyrinth,Q122407417,0,1,2,,Městský labyrint Frýdek-Místek,Q48963,,
Frýdek-Místek District,Frýdek-Místek 14. března 1939 a za nacistické okupace,Q122130109,0,1,2,book edition published in 1979,,Q3331189,,
Frýdek-Místek District,Frýdek-Místek v proměnách času,Q122006376,0,1,2,book edition published in 2017,,Q3331189,,
Kolín,Kolín,Q470369,1,0,1,town in the Czech Republic,,Q5153359|Q15978299|Q8452914|Q7841907|Q7819319,,Kolín
Kolín,Kolín train station,Q166594,1,0,1,"railway station in Kolín, Czech Republic",,Q55488,,Kolín railway station
Kolín,Kolín,Q56900381,1,0,1,family name,Kolín (family name)|Kolín (surname),Q101352,,
Kolín,Kolín District,Q847318,1,0,1,district of the Czech Republic,Kolin District,Q548611,,Kolín District
Kolín,Kolinda Grabar-Kitarović,Q3176299,1,0,1,Croatian politician and diplomat,Grabar-Kitarović,Q5,,Kolinda Grabar-Kitarović
Kolín,Cologne,Q365,1,0,1,"most populous city in North Rhine-Westphalia, Germany","Kreisfreie Stadt Köln|Cologne, Germany|Cologne (Germany)|Kölle|Colonia Claudia Ara Agrippinensium - in Laitn",Q707813|Q200250|Q2202509|Q42744322|Q1549591|Q85635630|Q57318,,Cologne
Kolín,Kolín II,Q12029877,1,0,1,"neighborhood of Kolín, Czech Republic",,Q61089180,,
Kolín,Kolin,Q11122976,1,0,1,Taiwanese record label,Kolin Denon Entertainment Inc.|Kolin Denon,Q18127,,
Kolín,Kolin,Q123819966,1,0,1,,,Q202444,,
Kolín,Kolin E. Rubel,Q104595845,1,0,1,researcher,Kolin Rubel,Q5,,
Kolín District,Kolín District,Q847318,1,1,1,district of the Czech Republic,Kolin District,Q548611,,Kolín District
