data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
British Trust for Ornithology,British Trust for Ornithology,Q2925763,0,0,1,British research organization,BTO,Q43229|Q708676|Q4117139,,British Trust for Ornithology
British Trust for Ornithology,British Trust for Ornithology,Q60113241,0,0,1,scientific article published in Nature,,Q13442814,,
British Trust for Ornithology,British Trust for Ornithology,Q60103421,0,0,1,scholarly article published in 1939,,Q13442814,,
British Trust for Ornithology,British Trust for Ornithology,Q60266195,0,0,1,article published May 1935 in Nature,,Q13442814,,
British Trust for Ornithology,British Trust for Ornithology: Mr. K. Williamson,Q58943605,0,0,1,scientific article published in Nature,,Q13442814,,
British Trust for Ornithology,BtoB,Q491067,0,0,2,South Korean musical group; boy band,,Q215380,,BtoB (band)
British Trust for Ornithology,Rinconada Bikol,Q12633026,0,0,2,"Bikol language spoken in Camarines Sur, Bicol Region",Rinconada Bikol language|bto|Rinconada,Q34770|Q1288568,Q35455,Rinconada Bikol language
British Trust for Ornithology,Western Union,Q7988404,0,0,2,European military alliance,WU|Brussels Treaty Organisation|Brussels Treaty Organization|BTO|Five Powers,Q1127126|Q484652,,Western Union (alliance)
British Trust for Ornithology,BRENDA Tissue Ontology,Q4836352,0,0,2,"provides a comprehensive structured encyclopedia of more than 4600 different anatomical structures, tissues, cell types and cell lines",BTO|BRaunschweig ENzyme DAtabase|Comprehensive enzyme information system|BRENDA tissue / enzyme source|bto,Q324254|Q4117139|Q33002955,,BRENDA tissue ontology
British Trust for Ornithology,Build to order,Q1003004,0,0,2,production approach,BTO|make to order|MTO,Q3271199,,Build to order
British Trust for Ornithology,Botopassi Airstrip,Q3813667,0,0,2,airport in Suriname,BTO|SMBO|Botopasi Airstrip|Botopasi Airport,Q3631092|Q1248784|Q94993988,,Botopasi Airstrip
British Trust for Ornithology,Betchworth railway station,Q2041117,0,0,2,"railway station in Betchworth, Surrey, England, UK",Betchworth Station|BTO,Q55488,,Betchworth railway station
British Trust for Ornithology,Busan Tourism Organization,Q12598750,0,0,2,,BTO,Q10438042,,
British Trust for Ornithology,Bachman–Turner Overdrive,Q4838897,0,0,2,1984 album by Bachman-Turner Overdrive,BTO,Q482994,,Bachman–Turner Overdrive (1984 album)
GBshape: a genome browser database for DNA shape annotations,GBshape: a genome browser database for DNA shape annotations,Q111309307,1,0,1,"The database currently contains annotations for minor groove width (MGW), propeller twist (ProT), Roll, helix twist (HelT), and hydroxyl radical cleavage (ORChID2) for 94 organisms.",GBshape|a genome browser database for DNA shape annotations,Q4117139,,
GBshape: a genome browser database for DNA shape annotations,GBshape: a genome browser database for DNA shape annotations,Q35254905,1,0,1,scientific article,,Q13442814,,
DNA,deoxyribonucleic acid,Q7430,1,1,1,molecule that encodes the genetic instructions used in the development and functioning of all known living organisms and many viruses,DNA spiral|deoxyribose nucleic acid|DNA,Q47154513,Q123619|Q422649|Q66560214,DNA
DNA,DNA,Q3279549,1,1,1,2012 debut studio album by Little Mix,,Q482994,,DNA (Little Mix album)
DNA,DNA,Q8061,1,1,1,Finnish telecommunications company,,Q4830453|Q891723,,DNA Oyj
DNA,DNA,Q17216833,1,1,1,2013 studio album by Monkey Majik,,Q482994,,
DNA,DNA,Q27669329,1,1,1,2016 studio album by Trapt,,Q482994,,DNA (Trapt album)
DNA,DNA binding,Q14633858,1,1,1,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,GO:0003677|Protein-DNA interaction,Q14860489,Q14864825,
DNA,mitochondrial DNA,Q27075,1,1,1,DNA located in organelles called mitochondria,"mtDNA|mDNA|mitochondrial DNAs|mtDNAs|DNA, Mitochondrial|mitogenome",,Q5422184|Q7020,Mitochondrial DNA
DNA,"transcription, DNA-templated",Q14763010,1,1,1,The cellular synthesis of RNA on a template of DNA.,"transcription, DNA-dependent|GO:0006351|DNA-templated transcription|cellular transcription, DNA-dependent|DNA-dependent transcription",Q2996394,Q22281057,
DNA,DNA repair,Q210538,1,1,1,process of restoring DNA after damage,GO:0006281|DNA damage repair,Q2996394,Q14818018|Q14877613,DNA repair
DNA,DNA methylation,Q874745,1,1,1,the covalent transfer of a methyl group to either N-6 of adenine or C-5 or N-4 of cytosine,GO:0006306,Q2996394,Q22260795|Q22260804|Q22260806,DNA methylation
DNA,DNA molecule region,Q66590608,1,1,2,,,,Q66560214,
DNA,DNA molecules and configurations in a solid-state nanopore microscope,Q31155110,1,1,2,scientific article,,Q13442814,,
DNA,DNA molecule provides a computing machine with both data and fuel,Q30771435,1,1,2,scientific article,,Q13442814,,
DNA,DNA Molecules in Microfluidic Oscillatory Flow,Q41351286,1,1,2,scientific article published on January 2005,,Q13442814,,
DNA,DNA molecules descending a nanofluidic staircase by entropophoresis.,Q51542449,1,1,2,scientific article published on 26 January 2012,,Q13442814,,
DNA,DNA molecule classification using feature primitives,Q33264195,1,1,2,scientific article published on 6 September 2006,,Q13442814,,
DNA,DNA molecules can drive the assembly of other DNA molecules into specific four-stranded structures,Q77946039,1,1,2,scientific article published on 01 February 1999,,Q13442814,,
DNA,DNA molecule manipulation by motor proteins for analysis at the single-molecule level,Q46584458,1,1,2,scientific article published on 21 May 2008,,Q13442814,,
DNA,DNA molecule dynamics in converging-diverging microchannels,Q33318294,1,1,2,scientific article,,Q13442814,,
DNA,DNA molecule stretching through thermo-electrophoresis and thermal convection in a heated converging-diverging microchannel,Q34588492,1,1,2,"scientific article published on February 18, 2013",,Q13442814,,
DNA,DNA-directed DNA polymerase activity,Q14877608,1,1,2,Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1); the synthesis of DNA from deoxyribonucleotide triphosphates in the presence of a DNA template and a 3'hydroxyl group.,deoxyribonucleic acid duplicase activity|DNA nucleotidyltransferase (DNA-directed) activity|deoxynucleoside-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed) activity|DNA replicase activity|deoxyribonucleic duplicase activity|DNA-dependent DNA polymerase activity|DNA duplicase activity|GO:0003887,Q14860489,Q22321469,
DNA,DNA-directed 5'-3' RNA polymerase activity,Q15335000,1,1,2,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain",DNA-dependent ribonucleate nucleotidyltransferase activity|DNA-dependent RNA nucleotidyltransferase activity|GO:0003899|RNA nucleotidyltransferase (DNA-directed) activity|deoxyribonucleic acid-dependent ribonucleic acid polymerase activity|DNA-dependent RNA polymerase activity|nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed) activity,Q14860489,Q22321453,
DNA,DNA,Q61439042,1,1,2,play written by D. Kelly,D.N.A.|DeoxyriboNucleic Acid,Q7725634,,
DNA,DNA polymerase,Q206286,1,1,2,Enzyme that synthesizes DNA from a nucleic acid template,deoxyribonucleic acid polymerase|deoxynucleate polymerase|DNA nucleotidyltransferase|deoxyribonucleic polymerase|deoxyribonucleate nucleotidyltransferase,Q67015883,Q416878|Q407355|Q408939|Q106925586,DNA polymerase
