data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
PTF 12cc,PTF 12cci,Q79212101,0,0,1,supernova in the constellation Boötes,,Q3937,,
PTF 12cc,PTF 12ccx,Q75027430,0,0,1,,,Q3937,,
PTF 12cc,PTF 12ccz,Q75027608,0,0,1,,,Q3937,,
PTF 12cc,PTF 12ccy,Q75027623,0,0,1,,,Q3937,,
SN 2019ie,SN 2019iex,Q79206654,1,0,1,supernova in the constellation Pegasus,,Q3937,,
PVF 10fym,,,2,0,0,,,,,
N 209ng,Route nationale 209,Q3444863,3,0,2,road in France,N209|N 209|N209 road|National road 209,Q1426271,,
N 209ng,N209 road,Q2961119,3,0,2,"road in South Holland, the Netherlands",,Q2145163,,
N 209ng,N209 road,Q15879582,3,0,2,road in Belgium,N209,Q1821082,,
N 209ng,Route nationale 209a,Q3444865,3,0,2,road in France,N209a|N 209a|N209a road|National road 209a,Q1426271,,
N 209ng,N209i,Q11234236,3,0,2,Japanese mobile phone,,Q19723444,Q17517,
N 209ng,N209,Q2618172,3,0,2,Wikimedia disambiguation page,,Q4167410,,
N 196<H,,,4,0,0,,,,,
SN 200cv,,,5,0,0,,,,,
SN 1965,SN 1965M,Q9326530,6,0,1,supernova,,Q3937,,
SN 1965,SN 1965N,Q9326533,6,0,1,supernova,,Q3937,,
SN 1965,SN 1965H,Q9326526,6,0,1,supernova,,Q3937,,
SN 1965,SN 1965C,Q9326521,6,0,1,supernova,,Q3937,,
SN 1965,SN 1965O,Q11835514,6,0,1,supernova,,Q3937,,
SN 1965,SN 1965F,Q9326525,6,0,1,supernova,,Q3937,,
SN 1965,SN 1965G,Q9326524,6,0,1,supernova,,Q3937,,
SN 1965,SN 1965J,Q9326528,6,0,1,supernova,,Q3937,,
SN 1965,SN 1965L,Q9326531,6,0,1,supernova,,Q3937,,
SN 1965,SN 1965E,Q9326523,6,0,1,supernova,,Q3937,,
SN1975S,,,7,0,0,,,,,
SN2001ie,Supernova 2001ie in UGC 5542,Q66361887,8,0,2,scientific article published in January 2001,,Q13442814,,
SN2001ie,Supernova 2001ie in UGC 5542,Q68654475,8,0,2,,,Q13442814,,
SN2001ie,Supernova 2001ie in UGC 5542,Q68316618,8,0,2,scientific article published in 2001,,Q13442814,,
SN2001ie,SN 2001ie,Q9328348,8,0,2,supernova,,Q3937,,
PTF 1bui,,,9,0,0,,,,,
SN 006ef,,,10,0,0,,,,,
