data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Chicagoland Speedway,Chicagoland Speedway,Q764291,0,0,1,motorsport track in the United States,,Q2338524,,Chicagoland Speedway
Chicagoland Speedway,Chicagoland Speedway,Q61667748,0,0,1,"heliport in Will County, Illinois, United States",IL98,Q502074,,
Virgil,Virgil,Q1398,1,0,1,Roman poet (1st century BC),Publius Vergilius Maro|Vergil|Mantuan Swan|Swan of Mantua,Q5,,Virgil
Virgil,Virgil,Q17505763,1,0,1,male given name,Virgil (given name)|Virgil (first name),Q12308941,,
Virgil,V. Craig Jordan,Q7906022,1,0,1,American pharmacologist (1947–2024),V Craig Jordan|Virgil Craig Jordan,Q5,,V. Craig Jordan
Virgil,Virgilio,Q694010,1,0,1,male given name,Virgilio (first name)|Virgilio (given name),Q12308941,,
Virgil,Virgil Percec,Q12743550,1,0,1,Romanian chemist,,Q5,,Virgil Percec
Virgil,Virgil van Dijk,Q133903,1,0,1,Dutch association football player (born 1991),,Q5,,Virgil van Dijk
Virgil,Virgilia oroboides,Q13035160,1,0,1,species of plant,,Q16521,,
Virgil,Virgil L. Sharpton,Q7933781,1,0,1,American scientist,Buck Sharpton|V. L. Sharpton|Virgil Sharpton,Q5,,Virgil L. Sharpton
Virgil,Virgil Snyder,Q7933817,1,0,1,American mathematician (1869-1950),,Q5,,Virgil Snyder
Virgil,Virgil Solis,Q563366,1,0,1,German printmaker (1514-1562),"Virgilius I Solis|Vergilio Sole|Virgilius Solis|Vergilius Solis|Virgilius Solis the Elder|Virgilius, the elder Solis|Virgilio Sole|Virgilius, I Solis|Virgilius Solis (I)|Virgil Solis (I)|Virgilius Solis (1514)|Virgil: Solis|virgil solls|virgil solis|virgil solis des alteren|solis virgil|V. Solis|Solis",Q5,,Virgil Solis
Calhoun,Calhoun,Q21452672,2,0,1,family name,,Q101352,,Calhoun (surname)
Calhoun,Springfield,Q28515,2,0,1,capital city of the U.S. state of Illinois and county seat of Sangamon County,"Springfield, Illinois|Springfield, IL|Calhoun",Q110071194|Q62049|Q21518270|Q1549591|Q1093829,,"Springfield, Illinois"
Calhoun,Clemson,Q1984097,2,0,1,"city in South Carolina, United States","Clemson, South Carolina|Clemson, SC|Calhoun|Calhoun, South Carolina",Q1093829,,"Clemson, South Carolina"
Calhoun,Calhoun County,Q108856,2,0,1,"county in Alabama, United States","Calhoun County, Alabama|Calhoun County, AL",Q13410400,,"Calhoun County, Alabama"
Calhoun,Calhoun,Q1022996,2,0,1,"city in Gordon County, Georgia, United States","Calhoun, Georgia|Calhoun, GA",Q1093829|Q76514543,,"Calhoun, Georgia"
Calhoun,Calhoun County,Q156632,2,0,1,"county in Georgia, United States","Calhoun County, Georgia|Calhoun County, GA",Q13410428,,"Calhoun County, Georgia"
Calhoun,Calhoun,Q2281064,2,0,1,"city in Kentucky, United States","Calhoun, Kentucky|Calhoun, KY",Q1093829|Q62049,,"Calhoun, Kentucky"
Calhoun,Calhoun,Q962525,2,0,1,"city in Missouri, United States","Calhoun, Missouri|Calhoun, MO",Q1093829,,"Calhoun, Missouri"
Calhoun,Calhoun,Q1908794,2,0,1,"human settlement in McMinn County, Tennessee, United States of America","Calhoun, Tennessee|Calhoun, TN",Q15127012,,"Calhoun, Tennessee"
Calhoun,Calhoun County,Q137516,2,0,1,"county in Michigan, United States","Calhoun County, Michigan|Calhoun County, MI",Q13410496,,"Calhoun County, Michigan"
Calhoun,Calhoun County,Q26605,2,0,2,"county in Texas, United States","Calhoun County, Texas|Calhoun County, TX",Q11774097,,"Calhoun County, Texas"
Calhoun,Calhoun County,Q490958,2,0,2,"county in West Virginia, United States","Calhoun County, West Virginia|Calhoun County, Virginia|Calhoun County, WV",Q13415370|Q13415368,,"Calhoun County, West Virginia"
Calhoun,Calhoun County,Q489377,2,0,2,"county in South Carolina, United States","Calhoun County, South Carolina|Calhoun County, SC",Q13414765,,"Calhoun County, South Carolina"
Calhoun,Calhoun County,Q174913,2,0,2,"county in Florida, United States","Calhoun County, Florida|Calhoun County, FL",Q13410422,,"Calhoun County, Florida"
Calhoun,Calhoun County,Q111633,2,0,2,"county in Illinois, United States","Calhoun County, Illinois|Calhoun County, IL",Q11812346,,"Calhoun County, Illinois"
Calhoun,Calhoun County,Q109512,2,0,2,"county in Mississippi, United States","Calhoun County, Mississippi|Calhoun County, MS",Q13410508,,"Calhoun County, Mississippi"
Calhoun,Calhoun County,Q61461,2,0,2,"county in Arkansas, United States","Calhoun County, Arkansas|Calhoun County, AR",Q11774062,,"Calhoun County, Arkansas"
Calhoun,Calhoun County,Q111530,2,0,2,"county in Iowa, United States","Calhoun County, Iowa|Calhoun County, IA",Q11774149,,"Calhoun County, Iowa"
Calhoun,Calhoun,Q3885642,2,0,2,"unincorporated suburban community and census-designated place in Ouachita Parish, Louisiana, United States","Calhoun, Louisiana|Calhoun, LA",Q498162|Q17343829,,"Calhoun, Louisiana"
