data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Red-Figure Bell Krater with Dionysiac Scenes,Red-Figure Bell Krater with Dionysiac Scenes,Q99669502,0,0,1,Christie painter in the Museo Arqueológico Nacional de España,,Q41971267|Q1531905,,
Red-Figure Bell Krater with Dionysiac Scenes,Red-Figure Bell Krater with Dionysiac Scenes,Q99669306,0,0,1,"Christie painter, Walters Art Museum",,Q41971267,,
Red-Figure Bell Krater with Dionysiac Scenes,Red-figure bell krater,Q105092067,0,0,2,ceramics by Haverford Painter,,Q476968,,
Red-Figure Bell Krater with Dionysiac Scenes,"Red-Figure Bell-Krater (Mixing Vessel): Bust of Dionysos and Comic Actors (A); Dionysos, Satyr, Maenad (B)",Q60750590,0,0,2,ceramic by unknown artist (1989.73),,Q17379525|Q13464614,,
Red-Figure Bell Krater with Dionysiac Scenes,Red-Figure Bell Krater (Mixing Vessel): Aphrodite and Eros,Q79893093,0,0,2,"(1924.534) ceramic by Graz Painter (South Italian, Apulian, active c. 380-360 BC)",,Q13464614,,
Red-Figure Bell Krater with Dionysiac Scenes,Red-Figure Bell Krater with Dionysiac Scenes,Q99669502,1,0,1,Christie painter in the Museo Arqueológico Nacional de España,,Q41971267|Q1531905,,
Red-Figure Bell Krater with Dionysiac Scenes,Red-Figure Bell Krater with Dionysiac Scenes,Q99669306,1,0,1,"Christie painter, Walters Art Museum",,Q41971267,,
Red-Figure Bell Krater with Dionysiac Scenes,Red-figure bell krater,Q105092067,1,0,2,ceramics by Haverford Painter,,Q476968,,
Red-Figure Bell Krater with Dionysiac Scenes,"Red-Figure Bell-Krater (Mixing Vessel): Bust of Dionysos and Comic Actors (A); Dionysos, Satyr, Maenad (B)",Q60750590,1,0,2,ceramic by unknown artist (1989.73),,Q17379525|Q13464614,,
Red-Figure Bell Krater with Dionysiac Scenes,Red-Figure Bell Krater (Mixing Vessel): Aphrodite and Eros,Q79893093,1,0,2,"(1924.534) ceramic by Graz Painter (South Italian, Apulian, active c. 380-360 BC)",,Q13464614,,
