data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
BKH2010] J204438.85+412437.1,,,0,0,0,,,,,
2MASS J21732897+4715304,,,1,0,0,,,,,
^GY92] 255,,,2,0,0,,,,,
2MASS J0534456300526553,2MASS J05344563-0526553,Q78241719,3,0,2,young stellar object in the constellation Orion,,Q497654|Q72803622,,
2MASS J0534456300526553,[RHS2000] 1-503,Q78244732,3,0,2,,,Q523|Q1352333|Q6232,,
2MASS J0534456300526553,2MASS J05345837-0521166,Q78250893,3,0,2,star in the constellation Orion,,Q523|Q72803622|Q72802977|Q497654|Q67206785,,
2MASS J0534456300526553,2MASS J05345064-0042351,Q87993871,3,0,2,low-mass star in the constellation Orion,,Q12795622,,
2MASS J0534456300526553,2MASS J05342490-0423586,Q78245416,3,0,2,variable star,,Q6243|Q1352333,,
2MASS J0534456300526553,2MASS J05345156-0528275,Q78241225,3,0,2,variable star,,Q1141054,,
2MASS J0534456300526553,2MASS J05344083-0528095,Q78246960,3,0,2,,,Q1062509|Q72803622|Q497654,,
2MASS J0534456300526553,2MASS J05345971-0451578,Q84215967,3,0,2,star in the constellation Orion,,Q523,,
2MASS J0534456300526553,2MASS J05343581-0536458,Q84204196,3,0,2,emission-line star in the constellation Orion,,Q72803622|Q497654,,
2MASS J0534456300526553,2MASS J05345714-0533294,Q78249433,3,0,2,,,Q1062509|Q72803622|Q497654,,
2MASS J0534456300526553,2MASSI J0534584-151143,Q80947137,3,0,2,,,Q101600|Q2247863|Q12795622,,
2MASSJ05402731-0725444,,,4,0,0,,,,,
2MASS J03283651+5119289,,,5,0,0,,,,,
2MASS J0401989+3514379,,,6,0,0,,,,,
