data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Dumbrtoo,,,0,0,0,,,,,
Rpley,Robert P. Lee,Q130843024,1,0,2,,,Q5,,
Rpley,Robert P. Lee,Q128807100,1,0,2,"American rower, Syracuse (1949–1951)",Robert Lee,Q5,,
Turhdl,,,2,0,0,,,,,
Sunn{ Beach,Sunset Beach,Q1030972,3,0,2,American television series,,Q5398426,,Sunset Beach (TV series)
Sunn{ Beach,Sunset Beach,Q2025406,3,0,2,"town in Brunswick County, North Carolina, United States of America","Sunset Beach, North Carolina|Sunset Beach, NC",Q15127012|Q132680629,,"Sunset Beach, North Carolina"
Sunn{ Beach,Sunset Beach,Q3322861,3,0,2,"neighborhood of Huntington Beach, California; formerly a census-designated place in Orange County, California, USA","Sunset Beach, California|Sunset Beach, CA",Q123705,,"Sunset Beach, California"
Sunn{ Beach,Sunset Beach,Q7641216,3,0,2,"summer village in Alberta, Canada","Sunset Beach, Alberta|Sunset Beach, AB",Q486972|Q6641762,,"Sunset Beach, Alberta"
Sunn{ Beach,Sunset Beach,Q7641231,3,0,2,"in Vancouver, British Columbia, Canada",,Q40080,,Sunset Beach (Vancouver)
Sunn{ Beach,Sunset Beach,Q7641228,3,0,2,beach on the North Shore of Oahu in Hawaii,,Q40080,,Sunset Beach (Oahu)
Sunn{ Beach,Sunset Beach,Q49324903,3,0,2,,,Q40080,,
Sunn{ Beach,Sunset Beach,Q31538432,3,0,2,,,,,
Sunn{ Beach,Sunset Beach,Q3475976,3,0,2,unincorporated community in Oregon,"Sunset Beach, OR",Q17343829,,"Sunset Beach, Oregon"
Sunn{ Beach,Sunset Beach,Q7641227,3,0,2,"beach in Cape May County, New Jersey",,Q40080,,Sunset Beach (New Jersey)
Sunn{ Beach,Sunnyside Beach,Q21955792,3,0,2,,,Q40080,,
Sunn{ Beach,Sunnyside Beach,Q22445396,3,0,2,"beach in Saskatchewan, Canada",,Q40080,,
Sunn{ Beach,Sunnyside Beach,Q22445387,3,0,2,"beach in Thunder Bay District, Ontario, Canada",,Q40080,,
Sunn{ Beach,Sunnyside Beach,Q22445378,3,0,2,"beach in Grey County, Ontario, Canada",,Q40080,,
Sunn{ Beach,Sunnyside Beach,Q24261864,3,0,2,"beach in Toronto, Ontario, Canada",,Q40080,,
Sunn{ Beach,Sunnyside Beach,Q22445358,3,0,2,"beach in British Columbia, Canada",,Q40080,,
Sunn{ Beach,Sunnyside Beach,Q22445368,3,0,2,"beach in New Brunswick, Canada",,Q40080,,
Sunn{ Beach,Sunnyside Beach,Q115865948,3,0,2,"human settlement in Saskatchewan, Canada",,Q486972,,
Sunn{ Beach,Sunnyside Beach,Q115667312,3,0,2,"locality in Manitoba, Canada",,Q3257686,,
Sunn{ Beach,Sunnyside Beach Park,Q49567582,3,0,2,park in the United States of America,,Q22698,,
Llnden,Llandenny,Q6661206,4,0,2,"village in Monmouthshire, United Kingdom",Llandenni,Q532,,Llandenny
Llnden,Llandenny railway station,Q6661199,4,0,2,"railway station in Monmouthshire, Wales, UK",Llandenny Station,Q4663385,,Llandenny railway station
Llnden,"Llandeniolen Church, North Wales",Q25905973,4,0,2,"print; view of St. Deiniol's Church, Llanddeiniolen",,Q11060274,,
Llnden,Llandenny,Q114245964,4,0,2,historic church parish in Wales,,Q102496,,
Llnden,Llandenni Walks,Q107032636,4,0,2,hamlet in Monmouthshire,,Q5084,,
Llnden,Llandenny Court,Q129979691,4,0,2,country house in Raglan,,Q16884952,,
Llnden,Cyncoed Baptist Chapel,Q56179969,4,0,2,chapel in Wales,Kingcoed,Q108325,,
Kurumn,Kurum,Q105534214,5,0,2,family name,,Q101352,,
Kurumn,Kürüm,Q10783271,5,0,2,"mahalle (administrative quarter) in Şahinbey, Gaziantep, south-central Turkey",,Q17051044,,"Kürüm, Şahinbey"
Kurumn,Kurume Medical Journal,Q15755907,5,0,2,scientific journal,,Q5633421,,
Kurumn,Kurume,Q320934,5,0,2,"city in Fukuoka prefecture, Japan",Kurume-shi,Q1137833|Q1549591|Q12357832,,Kurume
Kurumn,Kurumi Yonao,Q1794362,5,0,2,Japanese badminton player,Yonao Kurumi,Q5,,Kurumi Yonao
Kurumn,Kurum,Q6980427,5,0,2,"village in Şırnak, Turkey",,Q532,,
Kurumn,Kurum,Q11751365,5,0,2,king of Sumer,,Q5,,Kurum
Kurumn,Higashikurume,Q317830,5,0,2,"city in Tokyo, Japan",Higashi-kurume|Kurume,Q494721|Q1549591,,"Higashikurume, Tokyo"
Kurumn,Kurume University,Q8191850,5,0,2,"private university in Fukuoka, Japan",Kurume Daigaku|KU,Q902104,,Kurume University
Kurumn,Kurum,Q109115427,5,0,2,mantle of loose rocks moving by creeping on gentle slopes,,,,Kurum (landform)
Hapak,Hapaka grāvis,Q18543577,6,0,1,river in Latvia,,Q4022|Q12284,,
Hapak,Hapakuku Moetara,Q137772489,6,0,1,Māori chief,Tuohu Moetara,Q5,,Hapakuku Moetara
Hapak,hapaxanth,Q354608,6,0,1,a botanical life strategy,monocarpy|monocarpic|semelparous|semelpary,,Q756,Monocarpy
Hapak,hapax legomenon,Q168417,6,0,1,"word that occurs only once in a language's written record, an author's corpus, or a text",hapax,,Q8171,Hapax legomenon
Hapak,József Hapák,Q110089673,6,0,1,Hungarian photographer (1945-2012),,Q5,,
Hapak,Hapakjaure,Q18137688,6,0,1,"lake in Gällivare Municipality, Sweden",,Q23397|Q30092776,,
Hapak,Hapaki mõis,Q30250425,6,0,1,manor in Latvia,,Q2066754,,
Hapak,Hapag-Lloyd,Q819094,6,0,2,German transportation company,HLAG,Q1468664|Q2127330,,Hapag-Lloyd
Hapak,Hapag-Lloyd Flug,Q2915439,6,0,2,former German charter airline,Hapagfly,Q46970,,Hapag-Lloyd Flug
Hapak,Hapag-Lloyd Express,Q699933,6,0,2,former German no frills airline,,Q46970,,Hapag-Lloyd Express
Hapak,Hapag-Lloyd Cruises,Q1576783,6,0,2,cruise brand by TUI Cruises,,Q740752,,Hapag-Lloyd cruises
Hapak,Hapag-Lloyd Flight 3378,Q655671,6,0,2,aviation accident,,Q744913,,Hapag-Lloyd Flight 3378
Hapak,Hapag-Lloyd Executive,Q26271878,6,0,2,,,Q46970,,
Hapak,Hapag-Lloyd cruises,Q120568026,6,0,2,German cruise line,,,,
Hapak,Hapag Lloyd AG — Konzernabschluss zum 31.12.2018,Q127657218,6,0,2,scholarly article,,Q13442814,,
