data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
September 24,September 24,Q2890,0,0,1,day of the year,September 24th|24th of September|24 September|Sep 24,Q14795564,Q11187312,September 24
September 24,September 24,Q7452199,0,0,1,day in the Eastern Orthodox liturgical calendar,24 September,Q47164206|Q14795564,Q11187312,September 24 (Eastern Orthodox liturgics)
September 24,"September 24, 2012",Q17982357,0,0,1,date,2012-09-24|24 September 2012,Q2890|Q47150325,,Portal:Current events/2012 September 24
September 24,"September 24, 2008",Q12965959,0,0,1,date,24 September 2008|2008-09-24,Q2890|Q47150325,,Portal:Current events/2008 September 24
September 24,"September 24, 2015",Q21034776,0,0,1,Thursday in September 2015,2015-09-24|24 September 2015,Q2890|Q47150325,,Portal:Current events/2015 September 24
September 24,"September 24, 2019",Q57350556,0,0,1,Tuesday in September 2019,2019-09-24|24 September 2019,Q47150325|Q2890|Q51203130|Q51156404,,Portal:Current events/2019 September 24
September 24,"September 24, 2017",Q37787972,0,0,1,Sunday in September 2017,2017-09-24|24 September 2017,Q47150325|Q2890|Q21605452,,Portal:Current events/2017 September 24
September 24,"September 24, 2014",Q17982360,0,0,1,date,2014-09-24|24 September 2014,Q2890|Q47150325,,Portal:Current events/2014 September 24
September 24,"September 24, 2020",Q57396905,0,0,1,Thursday in September 2020,2020-09-24|24 September 2020,Q47150325|Q2890|Q51156409,,
September 24,"September 24, 2018",Q45921325,0,0,1,Monday in September 2018,"24 September 2018|Monday, 24 September 2018|2018-09-24",Q47150325|Q2890|Q17018301|Q51156401|Q51203125|Q21605452,,
September 24,September 24th; On the Genus Podothecus; Description of a New Generic Type of Blennoids; Monograph of the Tridigitate Uranoscopoids; Synopsis of the Polynematoids; Homoptera of the North Pacific Exploring Expedition under Com'rs. Rodgers and…,Q106954536,0,0,2,scientific article published in 1861,,Q13442814,,
September 24,"September 24, 2023",Q69306932,0,0,2,date in Gregorian calendar,24 September 2023|2023-09-24,Q2890|Q47150325|Q51156414,,
September 24,"September 24, 2022",Q69306564,0,0,2,date in Gregorian calendar,24 September 2022|2022-09-24,Q2890|Q47150325|Q51156412,,
September 24,"September 24, 2021",Q69306186,0,0,2,date in Gregorian calendar,24 September 2021|2021-09-24,Q2890|Q47150325|Q27925543,,
May 20,May 20,Q2579,1,0,1,date,20 May|May 20th|20th of May,Q14795564,Q11187215,May 20
May 20,World Metrology Day,Q575238,1,0,1,world day to celebrate the International System of Units on the anniversary of the signing of the Metre Convention,World Metrology day|20 May|metre day|measuring day|May 20|World Meteorological Day (confusion),Q422695|Q2558684,,World Metrology Day
May 20,May 20,Q6796378,1,0,1,day in the Eastern Orthodox liturgical calendar,20 May,Q47164206|Q14795564,Q11187215,May 20 (Eastern Orthodox liturgics)
May 20,May 2016,Q19249071,1,0,1,month of 2016,2016-05,Q119|Q47018478|Q66010158,,
May 20,May 2017,Q23994850,1,0,1,month of 2017,2017-05,Q119|Q47018478|Q66010119,,
May 20,May 2015,Q16726271,1,0,1,month of 2015,2015-05,Q119|Q47018478|Q66010148,,May 2015
May 20,May 2014,Q7131335,1,0,1,month of 2014,2014-05,Q119|Q47018478|Q66010139,,
May 20,May 2013,Q2159002,1,0,1,month of 2013,2013-05,Q119|Q47018478|Q66010132,,
May 20,May 2010,Q239311,1,0,1,month of 2010,2010-05,Q119|Q47018478|Q66010153,,May 2010
May 20,May 2009,Q236764,1,0,1,month of 2009,2009-05,Q119|Q47018478|Q66010148,,
May 20,Stade Tata Raphaël,Q3495887,1,0,2,"multi-purpose stadium in Kinshasa, Democratic Republic of the Congo",Father Raphael Stadium|Stade Roi Baudouin|King Baudouin Stadium|Stade du 20 Mai|20 May Stadium|20th May Stadium,Q483110,,Stade Tata Raphaël
May 20,20,Q40292,1,0,2,natural number,twenty|XX|1*20|20*1|the number 20|⑳|⒛|⒇,Q16317911|Q223722|Q13366104|Q13825533|Q1486643|Q975166|Q11606|Q10886944|Q50707|Q375355,,20 (number)
May 20,SARS-CoV-2,Q82069695,1,0,2,virus that causes COVID-19,nCoV2019|nCoV-2019|Wuhan seafood market pneumonia virus|Chinese coronavirus|2019nCoV|2019 nCoV|NCP|Novel coronavirus (2019-nCoV)|Severe acute respiratory syndrome coronavirus 2|SARS-CoV2|novel coronavirus|COVID-19 virus|Wuhan virus|Severe acute respiratory syndrome-related coronavirus 2|Coronavirus|Corona virus|Acute respiratory syndrome coronavirus 2|severe acute respiratory syndrome coronavirus clade 2|SARS-CoV-2 virus|Coronavirus SARS-COV2|SARS coronavirus 2|human coronavirus 2019|HCoV-19|hCoV-19|Severe Acute Respiratory Syndrome Coronavirus 2|virus that causes COVID-19|the coronavirus,Q75913269|Q808|Q16521,Q57751738,SARS-CoV-2
May 20,2013,Q1998,1,0,2,year,2013 AD|2013 CE|twenty thirteen|MMXIII|two thousand and thirteen,Q235729|Q3186692|Q235684,,2013
May 20,2018,Q25291,1,0,2,year,MMXVIII|twenty eighteen|two thousand and eighteen|2018 AD|2018 CE,Q3186692|Q235687,,2018
May 20,2011,Q1994,1,0,2,year,MMXI|2011 CE|2011 AD|twenty eleven|two thousand and eleven,Q235729|Q3186692|Q235673,,2011
May 20,2015,Q2002,1,0,2,year,2015 AD|2015 CE|twenty fifteen|two thousand and fifteen|MMXV,Q3186692|Q235690,,2015
May 20,2010,Q1995,1,0,2,calendar year,MMX|2010 AD|2010 CE|twenty ten|two thousand and ten,Q235729|Q3186692|Q235680,,2010
May 20,2020,Q25337,1,0,2,year,MMXX|twenty twenty|2020 AD|2020 CE|two thousand and twenty|2020 Adelaide International,Q3186692|Q19828|Q217015,,2020
May 20,2000,Q1985,1,0,2,calendar year,MM|two thousand|the second millenium,Q3311614|Q3186692|Q217026,,2000
May 20,2000s,Q35024,1,0,2,decade from 2000 to 2009,decade 2000|the 2000s|00's|aughts|naughties|two thousands,Q39911,,2000s
March 16,March 16,Q2417,2,0,1,day of the year,16 March|March 16th|16th of March|Mar 16,Q14795564,Q11185405,March 16
March 16,March 16,Q9023327,2,0,1,day in the Eastern Orthodox liturgical calendar,16 March,Q47164206|Q14795564,Q11185405,March 16 (Eastern Orthodox liturgics)
March 16,March 1605 papal conclave,Q1773050,2,0,1,one of two papal conclaves in 1605,"Papal conclave, March 1605",Q186431|Q29102902,,March–April 1605 conclave
March 16,"March 16, 2012",Q17981739,2,0,1,date,2012-03-16|16 March 2012,Q2417|Q47150325,,Portal:Current events/2012 March 16
March 16,"March 16, 2017",Q33122575,2,0,1,Thursday in March 2017,2017-03-16|16 March 2017,Q47150325|Q2417,,"March 16, 2017"
March 16,"March 16, 2014",Q17923081,2,0,1,Sunday in March 2014,16 March 2014|2014-03-16,Q2417|Q47150325,,Portal:Current events/2014 March 16
March 16,"March 16, 2008",Q12965920,2,0,1,date,16 March 2008|2008-03-16,Q2417|Q47150325,,Portal:Current events/2008 March 16
March 16,"March 16, 2010",Q12966123,2,0,1,date,2010-03-16|16 March 2010,Q2417|Q47150325,,Portal:Current events/2010 March 16
March 16,"March 16, 2011",Q22664274,2,0,1,Wednesday in March 2011,2011-03-16|16 March 2011,Q2417|Q47150325,,Portal:Current events/2011 March 16
March 16,"March 16, 2013",Q17981741,2,0,1,date,2013-03-16|16 March 2013,Q2417|Q47150325,,Portal:Current events/2013 March 16
March 16,"March 16, 2023",Q69306739,2,0,2,date in Gregorian calendar,16 March 2023|2023-03-16,Q2417|Q47150325|Q51155605,,Portal:Current events/2023 March 16
March 16,"March 16, 2022",Q69306368,2,0,2,date in Gregorian calendar,16 March 2022|2022-03-16,Q2417|Q47150325|Q51155603|Q47150325,,
March 16,"March 16, 2021",Q69305990,2,0,2,date in Gregorian calendar,16 March 2021|2021-03-16,Q2417|Q47150325|Q51155601,,
March 16,"March 16, 2020",Q57396668,2,0,2,Monday in March 2020,2020-03-16|16 March 2020,Q47150325|Q2417|Q51155598,,
March 16,"March 16, 2019",Q57349935,2,0,2,Saturday in March 2019,2019-03-16|16 March 2019,Q47150325|Q2417|Q51155608,,
March 16,"March 16, 2018",Q45919972,2,0,2,Friday in March 2018,"Friday, 16 March 2018|16 March 2018|2018-03-16",Q47150325|Q2417|Q6756824|Q51155607,,Portal:Current events/2018 March 16
March 16,March 16,Q2417,3,0,1,day of the year,16 March|March 16th|16th of March|Mar 16,Q14795564,Q11185405,March 16
March 16,March 16,Q9023327,3,0,1,day in the Eastern Orthodox liturgical calendar,16 March,Q47164206|Q14795564,Q11185405,March 16 (Eastern Orthodox liturgics)
March 16,March 1605 papal conclave,Q1773050,3,0,1,one of two papal conclaves in 1605,"Papal conclave, March 1605",Q186431|Q29102902,,March–April 1605 conclave
March 16,"March 16, 2012",Q17981739,3,0,1,date,2012-03-16|16 March 2012,Q2417|Q47150325,,Portal:Current events/2012 March 16
March 16,"March 16, 2017",Q33122575,3,0,1,Thursday in March 2017,2017-03-16|16 March 2017,Q47150325|Q2417,,"March 16, 2017"
March 16,"March 16, 2014",Q17923081,3,0,1,Sunday in March 2014,16 March 2014|2014-03-16,Q2417|Q47150325,,Portal:Current events/2014 March 16
March 16,"March 16, 2008",Q12965920,3,0,1,date,16 March 2008|2008-03-16,Q2417|Q47150325,,Portal:Current events/2008 March 16
March 16,"March 16, 2010",Q12966123,3,0,1,date,2010-03-16|16 March 2010,Q2417|Q47150325,,Portal:Current events/2010 March 16
March 16,"March 16, 2011",Q22664274,3,0,1,Wednesday in March 2011,2011-03-16|16 March 2011,Q2417|Q47150325,,Portal:Current events/2011 March 16
March 16,"March 16, 2013",Q17981741,3,0,1,date,2013-03-16|16 March 2013,Q2417|Q47150325,,Portal:Current events/2013 March 16
March 16,"March 16, 2023",Q69306739,3,0,2,date in Gregorian calendar,16 March 2023|2023-03-16,Q2417|Q47150325|Q51155605,,Portal:Current events/2023 March 16
March 16,"March 16, 2024",Q69307107,3,0,2,date in Gregorian calendar,16 March 2024|2024-03-16,Q2417|Q47150325|Q51155608,,
March 16,"March 16, 2025",Q69307477,3,0,2,date in Gregorian calendar,16 March 2025,Q2417|Q47150325|Q51155611,,
March 16,"March 16, 2026",Q69307849,3,0,2,date in Gregorian calendar,16 March 2026,Q2417|Q47150325|Q51155598,,
March 16,"March 16, 2027",Q69308218,3,0,2,date in Gregorian calendar,16 March 2027|2027-03-16,Q2417|Q47150325,,
June 30,June 30,Q2657,4,0,1,day of the year,June 30th|30th of June|30 June|Jun 30,Q14795564,Q11187571,June 30
June 30,June 30,Q6312175,4,0,1,day in the Eastern Orthodox liturgical calendar,30 June,Q47164206|Q14795564,Q11187571,June 30 (Eastern Orthodox liturgics)
June 30,"June 30, 2016",Q24717659,4,0,1,Thursday in June 2016,2016-06-30|30 June 2016,Q47150325|Q2657,,Portal:Current events/2016 June 30
June 30,June 30,Q130260193,4,0,1,Egyptian-made combat drone,,Q15056995,Q1195578|Q20036057|Q22815214,
June 30,"June 30, 2017",Q33122452,4,0,1,date,2017-06-30|30 June 2017,Q47150325|Q2657,,Portal:Current events/2017 June 30
June 30,"June 30, 2012",Q17982791,4,0,1,date,2012-06-30|30 June 2012,Q2657|Q47150325,,Portal:Current events/2012 June 30
June 30,"June 30, 2013",Q17982792,4,0,1,date,2013-06-30|30 June 2013,Q2657|Q47150325,,Portal:Current events/2013 June 30
June 30,"June 30, 2018",Q45920675,4,0,1,Saturday in June 2018,"Saturday, 30 June 2018|2018-06-30|30 June 2018",Q47150325|Q2657|Q13365055|Q51156108|Q51203024,,"June 30, 2018"
June 30,"June 30, 2019",Q57350258,4,0,1,date,2019-06-30|30 June 2019,Q47150325|Q2657|Q51203030|Q51156110,,
June 30,"June 30, 2014",Q17372575,4,0,1,date,2014-06-30|30 June 2014,Q2657|Q47150325,,Portal:Current events/2014 June 30
June 30,"June 30th, June 30th",Q28154104,4,0,2,1978 poetry collection by Richard Brautigan,,Q7725634,,"June 30th, June 30th"
June 30,"June 30th, 1857; Notes on the Geology of the Mauvaises Terres of White River, Nebraska; Prodromus descriptionis animalium evertebratorum, quæ in Expeditione ad Oceanum Pacificum Septentrionalem, a Republica Federata missa, Cadwaladaro Ringgold et…",Q106954650,4,0,2,,,Q13442814,,
June 30,"June 30, 2023",Q69306846,4,0,2,date in Gregorian calendar,30 June 2023|2023-06-30,Q2657|Q47150325|Q51156101,,
June 30,"June 30, 2022",Q69306476,4,0,2,,30 June 2025,Q2657|Q47150325|Q51156097,,Portal:Current events/2022 June 30
June 30,"June 30, 2021",Q69306098,4,0,2,date in Gregorian calendar,30 June 2021|2021-06-30,Q2657|Q47150325|Q51156094,,
June 30,"June 30, 2020",Q57396798,4,0,2,Tuesday in June 2020,2020-06-30|30 June 2020,Q47150325|Q2657|Q51156088,,
April 24,April 24,Q2529,5,0,1,day of the year,24 April|April 24th|24th of April|Apr 24,Q14795564,Q11187312,April 24
April 24,April 24,Q4781971,5,0,1,day in the Eastern Orthodox liturgical calendar,24 April,Q47164206|Q14795564,Q11187312,April 24 (Eastern Orthodox liturgics)
April 24,24th day of the 4th month in the Chinese calendar,Q839640,5,0,1,Day of the East Asian Lunisolar Calendar,April 24 (Lunisolar),Q14795564,Q11187312,
April 24,"April 24, 2014",Q17923515,5,0,1,Thursday in April 2014,2014-04-24|24 April 2014,Q2529|Q47150325,,Portal:Current events/2014 April 24
April 24,"April 24, 2019",Q57350063,5,0,1,Wednesday in April 2019,2019-04-24|24 April 2019,Q47150325|Q2529|Q51202961|Q51155721,,
April 24,"April 24, 2016",Q24714472,5,0,1,date,2016-04-24|24 April 2016,Q47150325|Q2529,,Portal:Current events/2016 April 24
April 24,"April 24, 2017",Q33122531,5,0,1,date,2017-04-24|24 April 2017,Q47150325|Q2529,,Portal:Current events/2017 April 24
April 24,"April 24, 2015",Q19765109,5,0,1,Friday in April 2015,2015-04-24|24 April 2015,Q2529|Q47150325,,Portal:Current events/2015 April 24
April 24,"April 24, 2018",Q45920236,5,0,1,Tuesday in April 2018,"Tuesday, 24 April 2018|24 April 2018|2018-04-24",Q47150325|Q2529|Q4781845|Q51155717|Q51202956,,Portal:Current events/2018 April 24
April 24,"April 24, 2011",Q22664315,5,0,1,Sunday in April 2011,2011-04-24|24 April 2011,Q47150325|Q2529|Q51224536,,Portal:Current events/2011 April 24
April 24,April 24th,Q126693029,5,0,2,2024 video game,,Q7889,,
April 24,April 24th 2008,Q119582798,5,0,2,"painting by David A. Light (b.1959), Llyfrgell Genedlaethol Cymru / The National Library of Wales",,Q3305213,,
April 24,"April 24th; Analytical Table of the Species of Hydroporus Found in the United States, with Descriptions of New Species; Synopsis of the Lathridiides of the United States, and Northern Contiguous Territories; Notes Derived from Observations Made on…",Q106950467,5,0,2,scientific article published in 1854,,Q13442814,,
April 24,"April 24th; Conspectus Piscium in Expeditione ad Oceanum Pacificum Septentrionalem, C. Ringold et J. Rodgers ducibus, a Gulielmo Stimpson collectorum. Sicydianæ; Monograph of the Genus Labrosomus Sw.; Monograph of the Genus Labrax, of Cuvier;…",Q106951983,5,0,2,,,Q13442814,,
April 24,"April 24th, 1849; On Ciliary Cells in Some Marine Naked Mollusca, in Embryo",Q106954567,5,0,2,scientific article published in 1848,,Q13442814,,
April 24,"April 24th, 1860",Q56159533,5,0,2,,,Q13442814,,
April 24,"April 24, 2023",Q69306779,5,0,2,date in Gregorian calendar,24 April 2023|2023-04-24,Q2529|Q47150325|Q51155710,,
April 24,"April 24, 2022",Q69306409,5,0,2,date in Gregorian calendar,24 April 2022|2022-04-24,Q2529|Q47150325|Q51155732,,
April 24,"April 24, 2021",Q69306030,5,0,2,date in Gregorian calendar,24 April 2021|2021-04-24,Q2529|Q47150325|Q51155730,,
April 24,"April 24, 2020",Q57396716,5,0,2,Friday in April 2020,2020-04-24|24 April 2020,Q47150325|Q2529|Q51155727,,
August 11,August 11,Q2778,6,0,1,day of the year,August 11th|11th of August|11 August|Aug 11,Q14795564,Q11185228,August 11
August 11,August 11,Q4820491,6,0,1,day in the Eastern Orthodox liturgical calendar,11 August,Q47164206|Q14795564,Q11185228,August 11 (Eastern Orthodox liturgics)
August 11,"August 11, 2011",Q22664422,6,0,1,Thursday in August 2011,2011-08-11|11 August 2011,Q47150325|Q2778,,Portal:Current events/2011 August 11
August 11,"August 11, 2012",Q17981368,6,0,1,Saturday in August 2012,2012-08-11|11 August 2012,Q2778|Q47150325,,Portal:Current events/2012 August 11
August 11,"August 11, 2014",Q17922826,6,0,1,Monday in August 2014,2014-08-11|11 August 2014,Q2778|Q47150325,,Portal:Current events/2014 August 11
August 11,"August 11, 2008",Q19617815,6,0,1,Monday in August 2008,11 August 2008|2008-08-11,Q2778|Q47150325,,Portal:Current events/2008 August 11
August 11,"August 11, 2010",Q12966052,6,0,1,date,2010-08-11|11 August 2010,Q47150325|Q2778,,Portal:Current events/2010 August 11
August 11,"August 11, 2009",Q14615570,6,0,1,date,2009-08-11|11 August 2009,Q2778|Q47150325,,Portal:Current events/2009 August 11
August 11,"August 11, 2015",Q20804512,6,0,1,Tuesday in August 2015,2015-08-11|11 August 2015,Q2778|Q47150325,,Portal:Current events/2015 August 11
August 11,"August 11, 2013",Q17981371,6,0,1,Sunday in August 2013,2013-08-11|11 August 2013,Q2778|Q47150325,,Portal:Current events/2013 August 11
December 11,December 11,Q2363,7,0,1,day of the year,11 December|December 11th|11th of December|Dec 11,Q14795564,Q11185228,December 11
December 11,December 11,Q5248912,7,0,1,day in the Eastern Orthodox liturgical calendar,11 December,Q47164206|Q14795564,Q11185228,December 11 (Eastern Orthodox liturgics)
December 11,"December 11, 2009",Q22663934,7,0,1,Friday in December 2009,2009-12-11|11 December 2009,Q47150325|Q2363,,Portal:Current events/2009 December 11
December 11,"December 11, 2019",Q57350884,7,0,1,date,2019-12-11|11 December 2019,Q47150325|Q2363|Q51156656,,
December 11,"December 11, 2008",Q19617847,7,0,1,Thursday in December 2008,11 December 2008|2008-12-11,Q2363|Q47150325,,Portal:Current events/2008 December 11
December 11,"December 11, 2012",Q17981381,7,0,1,Tuesday in December 2012,2012-12-11|11 December 2012,Q2363|Q47150325,,Portal:Current events/2012 December 11
December 11,"December 11, 2016",Q27989790,7,0,1,Sunday in December 2016,2016-12-11|11 December 2016,Q47150325|Q2363,,Portal:Current events/2016 December 11
December 11,"December 11, 2014",Q19767849,7,0,1,Thursday in December 2014,11 December 2014|2014-12-11,Q2363|Q47150325,,Portal:Current events/2014 December 11
December 11,"December 11, 2018",Q45922005,7,0,1,Tuesday in December 2018,"11 December 2018|Tuesday, 11 December 2018|2018-12-11",Q47150325|Q2363|Q7064761|Q51156651,,
