data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Palmar,Palmar,Q1654701,0,0,1,Colombian municipality of the department of Santander,,Q2555896,,"Palmar, Santander"
Palmar,Palmar,Q50745903,0,0,1,subgenus of insects,,Q16521,,
Palmar,Palmar,Q37448438,0,0,1,family name,,Q101352,,
Palmar,Palmar,Q19839040,0,0,1,genus of insects,,Q16521,,
Palmar,Pálmar,Q16423856,0,0,1,male given name,,Q12308941,,
Palmar,Palmar de Bravo Municipality,Q6058970,0,0,1,"municipality in the State of Puebla, Mexico",Palmar Municipality|Palmar de Bravo|Palmar,Q1952852,,Palmar de Bravo
Palmar,Palmaria palmata,Q864648,0,0,1,species of edible alga,dulse|red dulse,Q16521|Q192935,,Palmaria palmata
Palmar,Palmar,Q20271012,0,0,1,"human settlement in Ixcatepec, Mexico",,Q486972|Q20202352,,
Palmar,Palmar,Q20271013,0,0,1,human settlement in Mexico,,Q486972|Q20202352,,
Palmar,Palmar,Q61305079,0,0,1,"town in Othón P. Blanco Municipality, State of Quintana Roo, Mexico",,Q20202352,,
Palmar,Palmar island flaps used to cover dorsolateral finger defects.,Q40112380,0,0,2,scientific article,,Q13442814,,
Palmar,Palmar island skin flaps,Q69271361,0,0,2,scientific article published on 01 May 1973,,Q13442814,,
Palmar,Palmar Sur,Q7128132,0,0,2,human settlement in Costa Rica,,Q486972,,Palmar Sur
Palmar,palm,Q2001588,0,0,2,central region of the front (ventral side) of the human hand or other primate hand,hand|✋|🖐|palm of the hand|palmar surface|palm of hand,Q112826905,Q17781690|Q66516309|Q112826975,Palm of the hand
Palmar,Palmar Sur Archeological Excavations,Q2888517,0,0,2,archaeological site in Costa Rica,,Q839954,,Palmar Sur Archeological Excavations
Palmar,palmar surface of finger,Q66516614,0,0,2,,,,Q66516565,
Palmar,palmar surface of scaphoid,Q66515484,0,0,2,,,,Q66515483,
Palmar,palmar surface of index finger,Q66516652,0,0,2,,,,Q66516614,
Palmar,Palmar Sur Airport,Q3497729,0,0,2,airport in Costa Rica,PMZ|MRPM,Q1248784|Q94993988,,Palmar Sur Airport
Palmar,palmar surface of trapezoid,Q66523721,0,0,2,,,,Q66523720,
Palmar,palmar surface of lunate,Q66515521,0,0,2,,,,Q66515520,
Palmar,palmar surface of middle finger,Q66516653,0,0,2,,,,Q66516614,
Armero,Armero,Q584880,1,0,1,Colombian municipality of the department of Tolima,"Armero, Colombia",Q2555896,,Armero
Armero,Armero,Q21510635,1,0,1,family name,,Q101352|Q829026,,Armero (surname)
Armero,Armero,Q41992770,1,0,1,2017 film directed by Christian Mantilla-Vargas,,Q11424,,
Armero,gunsmith,Q1371796,1,0,1,"person who repairs, modifies, designs, or builds firearms",gunmaker|gun maker,Q28640|Q12737077|Q16335296|Q778000,Q1294787|Q2588761,Gunsmith
Armero,armory,Q1412205,1,0,1,place where arms and ammunition are made and stored,armoury,,Q83405|Q181623|Q656720,
Armero,Armero tragedy,Q2532815,1,0,1,November 1985 volcanic eruption in Colombia,Tragedia de Armero,Q7692360,,Armero tragedy
Armero,gun safe,Q2538968,1,0,1,secure storage container for firearms,,,Q471898,Gun safe
Armero,"Armeros vascos. Repaso histórico, raíces y desarrollo",Q125545598,1,0,1,written work by Ramiro Larrañaga,,Q47461344,,
Armero,"Armeros vascos. Repaso histórico, raíces y desarrollo",Q125545641,1,0,1,2001 edition of written work by Ramiro Larrañaga,,Q3331189,,
Armero,"Armero, un luto permanente",Q133255084,1,0,1,,,Q3331189,,
Silvia,Silvia,Q837124,2,0,1,female given name,Silvia (given name)|Silvia (first name),Q11879590,,Silvia
Silvia,Silvia,Q2418703,2,0,1,Colombian municipality of the department of Cauca,La Suiza de américa|La Suiza de america,Q2555896,,"Silvia, Cauca"
Silvia,Sílvia,Q21282998,2,0,1,female given name,Sílvia (first name)|Sílvia (given name),Q11879590,,
Silvia,Silvia Resconi,Q113178626,2,0,1,Italian particle physicist,,Q5,,
Silvia,Queen Silvia of Sweden,Q152308,2,0,1,queen consort of Sweden,"Silvia of Sweden|Queen Silvia|Silvia Sommerlath|Silvia Renate, Queen of Sweden|Queen Silvia Renate of Sweden",Q5,,Queen Silvia of Sweden
Silvia,Silvia Franchino,Q112821743,2,0,1,particle physicist,,Q5,,
Silvia,Silvia Fracchia,Q113529790,2,0,1,particle physicist,,Q5,,
Silvia,Silvia Costantini,Q112898375,2,0,1,researcher,,Q5,,
Silvia,Silvia Bordiga,Q37828504,2,0,1,Italian chemist (born 1964),,Q5,,
Silvia,Silvia Miglioranzi,Q113579766,2,0,1,Italian particle physicist,,Q5,,
Silvia,Silvia Romano,Q46133526,2,0,2,researcher (ORCID 0000-0003-0499-8843),,Q5,,
Silvia,Silvia Romano,Q57630106,2,0,2,researcher ORCID ID = 0000-0002-8432-7611,S. Romano,Q5,,
Silvia,Silvia Romano-Moreno,Q91048928,2,0,2,researcher (ORCID 0000-0002-4885-3745),,Q5,,
Silvia,Silvia Pfeiffer,Q102763562,2,0,2,Dr. rer. nat. Universität Mannheim 1999,,Q5,,
Silvia,Silvia Pfeiffer,Q131672221,2,0,2,Swiss politician (born 1945),,Q5,,
Silvia,Sílvia Pfeifer,Q737527,2,0,2,Brazilian actress,Silvia Pfeifer,Q5,,Sílvia Pfeifer
Silvia,Silvia Colloca,Q271625,2,0,2,"Italian singer, actress, author and TV cooking personality",Silvia Rosa Colloca,Q5,,Silvia Colloca
Boavita,Boavita,Q1576227,3,0,1,Colombian municipality of the department of Boyacá,,Q2555896,,Boavita
Boavita,Boavita,Q23696347,3,0,1,,,Q486972,,
Boavita,Boavita,Q29447855,3,0,1,Wikimedia disambiguation page,,Q4167410,,
Sincelejo,Sincelejo,Q1043513,4,0,1,capital of the Colombian department of Sucre,,Q63209072|Q2555896,,Sincelejo
Sincelejo,Sincelejo,Q23682708,4,0,1,,,Q486972,,
Sincelejo,Sincelejo metropolitan area,Q6173815,4,0,1,metropolitan area in Colombia,,Q1907114,,
Sincelejo,flag of Sincelejo,Q111598354,4,0,1,,Sincelejo flag,Q21850100,,
Sincelejo,Sincelejo Pride,Q129664485,4,0,1,,,Q51404,,
Sincelejo,Roman Catholic Diocese of Sincelejo,Q876553,4,0,1,diocese of the Catholic Church in Colombia,Diocese of Sincelejo,Q3146899,,Diocese of Sincelejo
Matanza,Matanzas,Q272471,5,0,1,capital of the Cuban province of Matanzas,Matanza,Q515|Q558330|Q1549591,,Matanzas
Matanza,Matanza,Q3623038,5,0,1,Brazilian musical group; rock band,,Q215380,,Matanza (band)
