data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sosnowiec,Sosnowiec,Q105060,0,0,1,"city in the Dąbrowa Basin (the Lesser Poland part of the Silesian Voivodeship), Poland",Sosnovets|Sosnovitze|Sosnovice|Sosnovits|Sosnovitz|Sosnovyets|Sosnowez,Q925381|Q515|Q1549591|Q2616791,,Sosnowiec
Sosnowiec,Zagłębie Sosnowiec,Q140487,0,0,1,Polish association football club,Zagłębie|Sosnowiec,Q476028,,Zagłębie Sosnowiec
Sosnowiec,Sosnowiec,Q7563886,0,0,1,"village in Świętokrzyskie, Poland","Sosnowiec, Świętokrzyskie Voivodeship",Q3558970,,"Sosnowiec, Świętokrzyskie Voivodeship"
Sosnowiec,Sosnowiec,Q7563884,0,0,1,"village in Greater Poland, Poland","Sosnowiec, Greater Poland Voivodeship",Q3558970,,"Sosnowiec, Greater Poland Voivodeship"
Sosnowiec,Sosnowiec Maczki,Q2605868,0,0,1,"railway station in Sosnowiec, Poland",,Q55488|Q811165|Q1339195|Q358|Q1402443,,
Sosnowiec,Sosnowiec,Q768900,0,0,1,village of Poland,,Q3558970,,"Sosnowiec, Zgierz County"
Sosnowiec,Sosnowiec,Q7563883,0,0,1,"settlement in Łódź, Poland",,Q3558970,,"Sosnowiec, Piotrków County"
Sosnowiec,Sejm Constituency no. 32,Q11797359,0,0,1,electoral district for the Sejm of the Republic of Poland,Sosnowiec parliamentary district|Sosnowiec electoral district,Q11797473,,Sejm Constituency no. 32
Sosnowiec,Sosnowiec Ghetto,Q4429542,0,0,1,"Nazi ghetto in Dabrowa Basin, Poland",,Q2583015,,Sosnowiec Ghetto
Sosnowiec,Sosnowiec Główny,Q2585729,0,0,1,"main railway station in Sosnowiec, Poland",,Q55488|Q811165|Q1339195|Q358|Q55677|Q1402443,,Sosnowiec Główny railway station
Zgierz,Zgierz,Q104407,1,0,1,city and urban gmina of Poland,,Q2616791,,Zgierz
Zgierz,Gmina Zgierz,Q2314140,1,0,1,rural gmina of Poland,Zgierz,Q3504085,,Gmina Zgierz
Zgierz,Zgierz County,Q1125855,1,0,1,powiat of Poland,powiat zgierski,Q247073,,Zgierz County
Zgierz,Zgierz railway station,Q2436634,1,0,1,"railway station in Zgierz, Poland",,Q55488,,Zgierz railway station
Zgierz,Zgierz,Q33728666,1,0,1,,,,,
Zgierz,Zgierz massacre,Q112210783,1,0,1,"public execution of 100 Poles (96 men and 4 women) carried out by the Germans on March 20, 1942 in Zgierz",,Q3199915|Q750215|Q135010,,
Zgierz,"Zgierz, Pomeranian Voivodeship",Q8070013,1,0,1,"village in Słupsk County, Pomeranian, Poland",,Q3558970,,"Zgierz, Pomeranian Voivodeship"
Zgierz,Zgierz Kontrewers,Q653460,1,0,1,"railway station in Zgierz, Poland",,Q55488,,
Zgierz,Zgierzynka,Q8070014,1,0,1,"village in Greater Poland, Poland",,Q3558970,,Zgierzynka
Zgierz,Zgierz Północ,Q2599845,1,0,1,"railway station in Zgierz, Poland",,Q55488,,
Gniezno,Gniezno,Q51432,2,0,1,city in central-western Poland,Gnesna,Q2616791|Q515|Q13416557|Q129268952,,Gniezno
Gniezno,Gmina Gniezno,Q555805,2,0,1,rural gmina of Poland,Gniezno,Q3504085,,Gmina Gniezno
Gniezno,Gniezno County,Q133166,2,0,1,powiat of Poland,,Q247073,,Gniezno County
Gniezno,Gniezno,Q2304534,2,0,1,"railway station in Gniezno, Poland",,Q55488,,Gniezno railway station
Gniezno,Gniezno,Q19139313,2,0,1,poem by Władysław Syrokomla,,Q7725634,,
Gniezno,Gniezno,Q104636809,2,0,1,painting by Henryk Musiałowicz,,Q3305213,,
Gniezno,Gniezno,Q33676383,2,0,1,,,,,
Gniezno,Gniezno,Q103927065,2,0,1,encyclopedia article,,Q13433827,,
Gniezno,Gniezno Voivodeship,Q1904883,2,0,1,former administrative division of the Kingdom of Poland,,Q84582639,,Gniezno Voivodeship
Gniezno,Gniezno Południe junction,Q138570153,2,0,1,"road junction in Poland, in Greater Poland Voivodeship; it connects expressway S5 with voivodeship road 194 (former national road 5) near Gniezno",,Q353070,,
Gniezno,Gniezno Cathedral Library,Q129783113,2,0,2,Cathedral library of Gniezno,Gniezno Biblioteca Katedralna,Q1236923,,
Gniezno,Gniezno Cathedral. Fragment of the decoration of the mitre from the tomb of Archbishop Oleśnicki (carved by Veit Stoss),Q140194508,2,0,2,"drawing by Stanisław Wyspiański from a sketchbook from a journey in 1890, so-called ""Ehrenpreiss Album"". Page II-20 recto",,Q93184,,
Turek,Turek,Q924132,3,0,1,city and urban gmina of Poland,,Q2616791|Q515,,"Turek, Poland"
Turek,Turek,Q15726898,3,0,1,family name,,Q101352,,
Turek,Gmina Turek,Q557410,3,0,1,rural gmina of Poland,Turek,Q3504085,,Gmina Turek
Turek,Turek County,Q133260,3,0,1,powiat of Poland,powiat turecki,Q247073,,Turek County
Turek,Turek,Q18915777,3,0,1,"hill in Jeníkovice, Czech Republic",,Q54050,,
Turek,Turek,Q1983290,3,0,1,"railway station in Turek, Poland",,Q55488,,
Turek,"Turek, Masovian Voivodeship",Q733092,3,0,1,village of Poland,Turek,Q3558970,,"Turek, Masovian Voivodeship"
Turek,Turks,Q84072,3,0,1,Turkic ethnic group,Turkish people,Q33829|Q6266|Q2472587|Q41710|Q231002,Q22947|Q4058325|Q100448011|Q394067,Turkish people
Turek,Turekisa,Q24705837,3,0,1,"village in Ngada Regency, East Nusa Tenggara, Indonesia",,Q26211545,,
Turek,Turekhan Akhmedov,Q102378922,3,0,1,Ph.D. Al-Farabi Kazakh National University 2008,,Q5,,
Turek,"Turek, Poland",Q7452480,3,0,2,,,,,
Bielsk Podlaski,Bielsk Podlaski,Q850714,4,0,1,city and urban gmina of Poland,Byelsk|Bielsk|Bilsk|Bielsko Podlaskie|Byelsk Podlaski|Bielsk-Podliask|Bielsk Podlaski (Poland),Q2616791,,Bielsk Podlaski
Bielsk Podlaski,Gmina Bielsk Podlaski,Q615412,4,0,1,rural gmina of Poland,Bielsk Podlaski,Q3504085,,Gmina Bielsk Podlaski
Bielsk Podlaski,Bielsk Podlaski train station,Q2106173,4,0,1,"railway station in Bielsk Podlaski, Poland",,Q55488,,
