data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
NPP Zvezdb,NPP Zvezda,Q541905,0,0,2,"aerospace company in Tomilino, Moscow Region, Russia","Zvezda (Russia)|Research-and-production enterprise ""Zvezda"" to them. GI Severin|Zvezda Research and Production Enterprise|K-36DM",Q936518|Q6881511,,NPP Zvezda
NPP Zvezdb,NPP Zvezda K-36,Q4206119,0,0,2,Ejection seat,K-36DM,Q623544,Q16693356,NPP Zvezda K-36
NPP Zvezdb,NPP Zvezda SKS-94,Q25327012,0,0,2,aircraft ejection system,,,Q16693356,NPP Zvezda SKS-94
Raven Eurore,,,1,0,0,,,,,
Aerospace Industrial Gevelopment Corporation,Aerospace Industrial Development Corporation,Q293494,2,0,2,company in Taiwan,AIDC,Q936518|Q1934969,,Aerospace Industrial Development Corporation
Aeonca,,,3,0,0,,,,,
Rag Aviation,,,4,0,0,,,,,
iro Naval Atsenal,,,5,0,0,,,,,
STVOBB,,,6,0,0,,,,,
hönix,,,7,0,0,,,,,
Darzhavna Aeroplanna Tabotilnitsa,,,8,0,0,,,,,
Fakrchild Industries,,,9,0,0,,,,,
Helko Aircraft Company,,,10,0,0,,,,,
oeiqg,0,Q628001,11,0,2,numerical digit,digit 0|digit zero,Q29961325,Q82990,
oeiqg,1 BC,Q25299,11,0,2,year,1 aCn|1 Before Common Era|1 B.C.|1 B.C.E.|1BCE|1 BCE|753 AUC|1 AC|0 astronomic era|0 AE|0 astronomique time|0 AT|0|0 astr.,Q29964144,,1 BC
oeiqg,0,Q87496002,11,0,2,digit zero (U+0030): Arabic-Latin digit,0|DIGIT ZERO|zero,Q29654788,Q29961325,
oeiqg,⁰,Q87523522,11,0,2,Unicode character,0|SUPERSCRIPT ZERO,Q29654788,,
oeiqg,０,Q87544564,11,0,2,fullwidth digit zero (U+FF10),0|FULLWIDTH DIGIT ZERO|zero (fullwidth)|0 (fullwidth),Q29654788,Q87496002,
