data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Phu [en,Phu,Q37477601,0,0,2,family name,,Q101352,,
Phu [en,Feng,Q202664,0,0,2,family name (馮/冯),馮|冯|Féng|Fong|Fung|Ferng|Fùhng|Phùng|Pung|Hùng|Pâng|Bang,Q1093580|Q101352,,Féng
Phu [en,Phumosia,Q14537178,0,0,2,genus of insects,,Q16521,,
Phu [en,ward of Vietnam,Q687188,0,0,2,administrative unit of local government in Vietnam.,phường|phuong,Q28872924,Q5153984,Wards of Vietnam
Phu [en,Phương,Q112128223,0,0,2,Vietnamese middle name and given name,Phuong,Q202444|Q108486313,,
Phu [en,Phùng,Q16909356,0,0,2,family name,,Q101352,,Phùng
Phu [en,Phú Nhuận,Q2194003,0,0,2,"former urban district in Ho Chi Minh City, Vietnam",Quan Phu Nhuan,Q6644510,,Phú Nhuận district
Phu [en,Sunthorn Phu,Q1209915,0,0,2,Thai nobleman and poet,Phra Sunthonwohan (Phu)|Phra Sunthonwohan|Phu|Sunthon Phu|Sounthone-Bhou|Phra Sunthorn Vohara (Phu)|Sunthonphu,Q5,,Sunthorn Phu
Phu [en,Phuong,Q15918084,0,0,2,unisex given name,,Q3409032,,
Phu [en,Phú,Q112126247,0,0,2,Vietnamese middle name and given name,Phu,Q202444|Q108486313,,
Phu [en,Phú Quốc,Q146695,0,0,2,"Special zone of An Giang province, Vietnam","Phu Quoc Island|Phu Quoc special zone|Phu Quoc, An Giang|Phú Quốc, An Giang",Q23442|Q3249005|Q134999516,,Phú Quốc
An Ging,,,1,0,0,,,,,
