data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
KIC 8517859,KIC 8517859,Q78119066,0,0,1,Delta Scuti variable star in the constellation Cygnus,,Q836976|Q66619666|Q1362543,,
SDSS J025235.71+001743.9,SDSS J025235.71+001743.9,Q77975127,1,0,1,Delta Scuti variable star in the constellation Cetus,,Q836976|Q72803426,,
KOI-6535,KOI-6535,Q95158283,2,0,1,Delta Scuti variable star in the constellation Lyra,,Q836976,,
TYC 3124-1120-1,TYC 3124-1120-1,Q95158259,3,0,1,Delta Scuti variable star in the constellation Lyra,,Q836976|Q1362543,,
TYC 3124-1120-1,space probe,Q26529,3,0,2,"unmanned robotic spacecraft that doesn't orbit the Earth, but, instead, explores further into outer space",,,Q1378139,Space probe
TYC 3124-1120-1,Space Probe,Q7572462,3,0,2,tower drop ride in Sydney,,Q1282871,,Space Probe (Wonderland Sydney)
TYC 3124-1120-1,Space Probe,Q113954762,3,0,2,1974 studio album by Sun Ra and his Arkestra,"A Tonal View of Times Tomorrow, Vol. 1",Q482994,,
TYC 3124-1120-1,Space Probe,Q125093919,3,0,2,decorative artwork by Philip Weber,,Q631931,,
TYC 3124-1120-1,Space Probe,Q140190873,3,0,2,novel by Donald S. Rowland,,Q7725634,,
TYC 3124-1120-1,Space Probe,Q119373895,3,0,2,"painting by James Cumming (1922–1991), Art in Healthcare",,Q3305213,,
TYC 3124-1120-1,Space Probes,Q122343049,3,0,2,2020 video game,,Q7889,,
TYC 3124-1120-1,Space Probe Taurus,Q7572463,3,0,2,1965 film by Leonard Katzman,Space Monster,Q11424,,Space Probe Taurus
TYC 3124-1120-1,Space probes of the Soviet Union timeline,Q109941838,3,0,2,Wikimedia template,,Q11266439,,
TYC 3124-1120-1,Space Probe Launcher,Q136537072,3,0,2,LEGO set,,Q6518582,,
TYC 3124-1120-1,Mars probe,Q121878252,3,0,2,space probe that explores Mars,Mars space probe|Martian probe,,Q26529,
TYC 3124-1120-1,Mars Probes,Q6773159,3,0,2,anthology edited by Peter Crowther,,Q7725634,,Mars Probes
TYC 3124-1120-1,Mars probe poised to solve red planet’s methane mystery,Q58929849,3,0,2,scientific article published in Nature,,Q13442814,,
TYC 3124-1120-1,Mars-probe loss is a chance for ESA to learn,Q58928390,3,0,2,scientific article published in Nature,,Q13442814|Q871232,,
TYC 3124-1120-1,Mars probe lost through 'management faults',Q60067169,3,0,2,scientific article published in Nature,,Q13442814,,
TYC 3125-3570-1,TYC 3125-3570-1,Q95158255,4,0,1,Delta Scuti variable star in the constellation Lyra,,Q836976|Q2168098|Q1362543,,
TYC 3125-3570-1,space probe,Q26529,4,0,2,"unmanned robotic spacecraft that doesn't orbit the Earth, but, instead, explores further into outer space",,,Q1378139,Space probe
TYC 3125-3570-1,Space Probe,Q7572462,4,0,2,tower drop ride in Sydney,,Q1282871,,Space Probe (Wonderland Sydney)
TYC 3125-3570-1,Space Probe,Q113954762,4,0,2,1974 studio album by Sun Ra and his Arkestra,"A Tonal View of Times Tomorrow, Vol. 1",Q482994,,
TYC 3125-3570-1,Space Probe,Q125093919,4,0,2,decorative artwork by Philip Weber,,Q631931,,
TYC 3125-3570-1,Space Probe,Q140190873,4,0,2,novel by Donald S. Rowland,,Q7725634,,
TYC 3125-3570-1,Space Probe,Q119373895,4,0,2,"painting by James Cumming (1922–1991), Art in Healthcare",,Q3305213,,
TYC 3125-3570-1,Space Probes,Q122343049,4,0,2,2020 video game,,Q7889,,
TYC 3125-3570-1,Space Probe Taurus,Q7572463,4,0,2,1965 film by Leonard Katzman,Space Monster,Q11424,,Space Probe Taurus
TYC 3125-3570-1,Space probes of the Soviet Union timeline,Q109941838,4,0,2,Wikimedia template,,Q11266439,,
TYC 3125-3570-1,Space Probe Launcher,Q136537072,4,0,2,LEGO set,,Q6518582,,
TYC 3121-719-1,TYC 3121-719-1,Q95158244,5,0,1,Delta Scuti variable star in the constellation Lyra,,Q836976|Q1362543,,
TYC 3121-719-1,TYC 3121-232-1,Q83593660,5,0,2,star in the constellation Lyra,** COU 1800,Q523|Q67206691|Q13890,,
TYC 3121-719-1,TYC 3121-984-1,Q74681651,5,0,2,,,Q836976|Q1362543,,
TYC 3121-719-1,TYC 3121-1453-1,Q75208355,5,0,2,,,Q830831|Q1153690|Q1362543,,
TYC 3121-719-1,BD+37 3399,Q89095556,5,0,2,star in the constellation Lyra,,Q523|Q67206691,,
TYC 3121-719-1,TYC 3121-1775-1,Q91167735,5,0,2,star in the constellation Lyra,,Q523|Q67206691,,
TYC 3121-719-1,TYC 3121-117-1,Q95158204,5,0,2,star in the constellation Lyra,,Q523|Q67206691,,
TYC 3121-719-1,TYC 3121-1754-1,Q88443816,5,0,2,star in the constellation Lyra,,Q523|Q67206691,,
TYC 3121-719-1,TYC 3121-1865-1,Q83601577,5,0,2,star in the constellation Lyra,,Q523|Q67206691,,
TYC 3121-719-1,TYC 3121-1452-1,Q88443427,5,0,2,star in the constellation Lyra,,Q523,,
TYC 3121-719-1,TYC 3121-462-1,Q89019904,5,0,2,star in the constellation Lyra,,Q523|Q67206691,,
TYC 3121-1037-1,TYC 3121-1037-1,Q95158111,6,0,1,Delta Scuti variable star in the constellation Lyra,,Q836976|Q1362543,,
TYC 3121-1037-1,space probe,Q26529,6,0,2,"unmanned robotic spacecraft that doesn't orbit the Earth, but, instead, explores further into outer space",,,Q1378139,Space probe
TYC 3121-1037-1,Space Probe,Q7572462,6,0,2,tower drop ride in Sydney,,Q1282871,,Space Probe (Wonderland Sydney)
